language_first,count,pct
LATIN,139,48.6
FRENCH,53,18.5
DUTCH,21,7.3
ENGLISH,20,7.0
GREEK,16,5.6
GERMAN,13,4.5
ITALIAN,12,4.2
SPANISH,6,2.1
CHINESE,2,0.7
SWEDISH,2,0.7
PORTUGUESE,1,0.3
ARABIC,1,0.3
