classification_key,year,city,language_first,author_or_editor,elements_books_group,elements_books,natural_dominant_mode,natural_mode_count,primary_classes,mode_practical_public,utility_public_book,method_access_book,claim_method_demonstration_order,claim_accessibility_clarity_pedagogy,claim_utility_practice_application,claim_translation_vernacularization_transfer,claim_augmentation_enrichment_composition,religious_institutional_arena,military_fortification_arena,no_visible_social_arena,rich_claim_text_raw,rich_social_text_raw
Amsterdam_1702,1702,Amsterdam,DUTCH,Henrick Coets,books_1_6,1–6,pedagogical/method,3,Theoretical Mathematics,False,False,False,True,False,False,False,False,False,False,False,GEDEMONSTREERT | DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS | Lector in de MATHESIS tot LEYDEN | DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS | EUCLIDIS,Lector in de MATHESIS tot LEYDEN
Ansbach_1610,1610,Ansbach,GERMAN,Simon Marius,books_1_6,1-6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,True,False,False,False,False,False,False,False,False,False,True,"übergesetzet | erkläret | jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Die Ersten Sechs Bücher Elementorum EVCLIDIS | In welchen die Anfäng vnd Gründe der Geometria ordenlich gelehret, vnd gründtlich erwiesen werden | Franc. Fürstlichen Brandenb | Die Ersten Sechs Bücher Elementorum EVCLIDIS | mit verständtlichen Exempeln in Linien vnd gemeinen Rational Zahlen | Auch mit Newen Figuren | Griechischer | deutsche | EVCLIDIS","jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Franc. Fürstlichen Brandenb | Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen"
Arnhem_1603,1603,Arnhem,LATIN,Christoffer Dybvad,books_1_6,1-6,pedagogical/method,2,Theoretical Mathematics,False,False,False,True,False,False,False,False,False,False,False,IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris | comprehensam Demonstratio Linealis | IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris | EVCLIDIS,CHRISTIANVM IV. Serenissimum Daniæ & Septentrionis Regem
Bamberg_1677,1677,Bamberg,LATIN,Gaspar Schott,books_1_6,1–6,institutional-composite,3,Theoretical Mathematics,False,False,False,True,False,False,False,True,True,False,False,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | REGIS -CURIANI, E SOCIETATE JESU | Additis INDICIBUS locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | ejusdem SOCIETATIS IESU Gymnasio Matheseos | REGIS -CURIANI, E SOCIETATE JESU"
Basel_1550,1550,Basel,LATIN,Johannes Scheubel,books_1_6,1-6,institutional-composite,5,Theoretical Mathematics,False,False,False,True,False,False,True,True,False,False,False,"adiectis | præmissæ | studiosorum | SEX LIBRI PRIORES | DE Geometricis principijs, Græci & Latini, unà cum demonstrationibus propositionum, absque literarum notis, ueris ac proprijs, & alijs quibusdam, usum earum concernentibus | IN inclyta Academia Tubingensi Euclidis professore ordinario | SEX LIBRI PRIORES | adiectis | ALGEBRAE PORRO REGVLAE, PROPTER NVMErorum exempla, passim propositionibus adiecta, his libris præmissæ sunt, eædemque demonstratæ | ALGEBRAE PORRO REGVLAE | Megarensis, Philosophi & MatheMATICI EXCEL-LENTISSIMI | Euclidis professore ordinario | Græci | Latini | EVCLIDIS Megarensis | Euclidis",studiosorum | Academia Tubingensi | IN inclyta Academia Tubingensi Euclidis professore ordinario
Basel_1562,1562,Basel,GERMAN,Wilhelm Xylander,books_1_6,1-6,institutional-composite,5,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,True,"gebracht | erklärt | geziert | gegeben | genant | den Kunstliebenden Teütschen | Die Sechs Erste Bücher Euclidis | Vom anfang oder grund der Geometrj | von Augspurg | Die Sechs Erste Bücher Euclidis | aigenttlich erklärt | verstentlichen Exempeln, gründlichen Figurn | allerlaj den nutz füraugen stellenden Anhängen | Griechischer | Teütsch | Euclidis",den Kunstliebenden Teütschen | von Augspurg
Beijing_1607,1607,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",books_1_6,1–6,low-signal/other,0,,False,False,False,False,False,False,False,False,False,False,True,幾何原本 | 幾何原本,
Beijing_1629,1629,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci, Li Zhizao",books_1_6,1–6,low-signal/other,0,Theoretical Mathematics,False,False,False,False,False,False,False,False,False,False,True,,
Berlin_1824,1824,Berlin,GREEK,"Johann Wilhelm von Camerer, Karl Friedrich Hauber",books_1_6,1-6,institutional-composite,6,,False,False,False,False,False,False,True,True,False,False,True,"EDIDIT | COMPLECTENS | LIBRI SEX PRIORES | COMPLECTENS LIBR. I–III | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI | EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | COMMENTARIO E SCRIPTIS VETERUM AC RECENTIORUM MATHEMATICORUM ET PFLEIDERERI, MAXIME ILLUSTRATI | CUM X. TABULIS | GRAECE | LATINE | GRAECE | LATINE | EUCLIDIS",GYMNASII STUTTGARDIANI | GYMNASII STUTTGARDIANI RECTOR | PFLEIDERERI
Bologna_1651,1651,Bologna,ITALIAN,Giovanni Ricci,books_1_6,1–6,humanist/vernacular transfer,4,,False,False,False,False,False,False,True,False,False,False,True,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA
