period,n_period,mode,count,pct,overall_pct,delta
unknown,4,utility_practice_application,1,25.0,14.4,10.6
unknown,4,correction_revision_accuracy,1,25.0,15.4,9.6
unknown,4,augmentation_enrichment_composition,1,25.0,32.9,-7.9
unknown,4,translation_vernacularization_transfer,0,0.0,14.5,-14.5
unknown,4,ancient_authority_restoration,3,75.0,36.2,38.8
unknown,4,novelty_modernity_invention,0,0.0,12.1,-12.1
unknown,4,visual_material_aids,0,0.0,14.8,-14.8
unknown,4,completeness_totality_system,0,0.0,13.5,-13.5
unknown,4,selection_extraction_abridgment,2,50.0,10.7,39.3
unknown,4,sparse_canonical_identity,1,25.0,6.4,18.6
unknown,4,procedural_pedagogical_identity,2,50.0,26.3,23.7
unknown,4,composite_workshop_book,1,25.0,28.8,-3.8
unknown,4,utility_public_book,1,25.0,7.1,17.9
unknown,4,humanist_transfer_book,0,0.0,9.5,-9.5
unknown,4,method_access_book,0,0.0,6.2,-6.2
