elements_books_group,n,pedagogical_procedural_pct,pedagogical_procedural_n,composite_workshop_pct,composite_workshop_n,sparse_canonical_pct,sparse_canonical_n,utility_public_pct,utility_public_n,humanist_transfer_pct,humanist_transfer_n,method_access_pct,method_access_n,method_order_pct,method_order_n,accessibility_pct,accessibility_n,utility_practice_pct,utility_practice_n,correction_pct,correction_n,translation_transfer_pct,translation_transfer_n,augmentation_pct,augmentation_n,visual_aids_pct,visual_aids_n,religious_institution_pct,religious_institution_n,pedagogical_school_pct,pedagogical_school_n,learned_scholarly_pct,learned_scholarly_n,professional_practical_pct,professional_practical_n,general_public_pct,general_public_n,no_visible_social_pct,no_visible_social_n,metadata_additional_content_pct,metadata_additional_content_n
books_1_6,81,54.3,44,35.8,29,7.4,6,0.0,0,21.0,17,9.9,8,48.1,39,12.3,10,6.2,5,22.2,18,21.0,17,42.0,34,13.6,11,17.3,14,24.7,20,24.7,20,8.6,7,12.3,10,45.7,37,0.0,0
near_complete_or_expanded,67,77.6,52,50.7,34,4.5,3,1.5,1,41.8,28,7.5,5,49.3,33,13.4,9,1.5,1,34.3,23,41.8,28,55.2,37,25.4,17,19.4,13,11.9,8,28.4,19,1.5,1,0.0,0,52.2,35,29.9,20
unknown_books,56,35.7,20,35.7,20,10.7,6,0.0,0,25.0,14,5.4,3,19.6,11,10.7,6,5.4,3,10.7,6,32.1,18,39.3,22,19.6,11,21.4,12,26.8,15,41.1,23,0.0,0,1.8,1,42.9,24,57.1,32
books_1_6_plus_solids,39,66.7,26,17.9,7,5.1,2,25.6,10,2.6,1,28.2,11,64.1,25,35.9,14,28.2,11,30.8,12,2.6,1,25.6,10,10.3,4,48.7,19,33.3,13,43.6,17,2.6,1,7.7,3,17.9,7,0.0,0
selected_later_books,21,38.1,8,23.8,5,4.8,1,4.8,1,23.8,5,0.0,0,38.1,8,0.0,0,4.8,1,4.8,1,23.8,5,23.8,5,9.5,2,9.5,2,23.8,5,38.1,8,0.0,0,9.5,2,47.6,10,9.5,2
partial_from_book_1,8,50.0,4,37.5,3,0.0,0,0.0,0,12.5,1,12.5,1,25.0,2,12.5,1,0.0,0,37.5,3,12.5,1,50.0,4,0.0,0,0.0,0,12.5,1,12.5,1,25.0,2,0.0,0,50.0,4,0.0,0
near_complete_or_expanded_enunciations,7,71.4,5,42.9,3,0.0,0,0.0,0,57.1,4,0.0,0,0.0,0,57.1,4,0.0,0,14.3,1,57.1,4,57.1,4,0.0,0,0.0,0,28.6,2,14.3,1,0.0,0,0.0,0,71.4,5,14.3,1
books_1_13,5,60.0,3,20.0,1,20.0,1,0.0,0,0.0,0,0.0,0,40.0,2,20.0,1,0.0,0,40.0,2,0.0,0,20.0,1,0.0,0,0.0,0,40.0,2,40.0,2,0.0,0,40.0,2,60.0,3,0.0,0
