classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
bib-110,1692,Paris,FRENCH,Bernard Lamy,Practical Geometry,Geometry/Theory,True,True,True,0.7477143208774266,19,ELEMENS DE GEOMETRIE | ce qu’Euclide en a enseigné | Prêtre de l’Oratoire | Ar- chimede | ELEMENS DE GEOMETRIE | les plus belles Propositions d’Ar- chimede | l’Analyse | Propositions d’Archimede | Analyse | Euclide,l’Oratoire | Prêtre de l’Oratoire | Ar- chimede
ustc-60,1623,Paris,FRENCH,Denis Henrion,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7452384456427331,19,a mis en lumiere | POVR LES TRADVCTEVRS ET INTERPRETES | Elemens Geometriques d'Euclide | Professeur és Matheratiques | P. le Mardelé | Elemens Geometriques d'Euclide | vne pretendue traduction d'iceux Elemens | d'Euclide,POVR LES TRADVCTEVRS ET INTERPRETES | Professeur és Matheratiques | P. le Mardelé
bib-124,1624,Rome,ITALIAN,Giovanni Pomodoro,Practical Geometry,Geometry/Theory,True,True,True,0.7449922275343964,21,"Cauata da | Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame, dalle quali con facilità possono apprendere tutte le cose, che al buon Geometra s’appartengono | Matematico | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame | Euclide",Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | Matematico | SIG. PAOLO SAVELLO
bib-104,1681,Rome,LATIN,Paolo Giòvio,,No primary family,True,True,False,0.7447500508223831,17,solemniter propositum | solutum | Omnibus totius Orbis Geometris | tribus Libris Euclidis | CANONICO | tribus Libris Euclidis | Euclidis,Omnibus totius Orbis Geometris | Universitate Pragensi | Universitate Romana | Seminarii Romani Coniurctoris | CANONICO | D. LIVIVM ODESCALCVM
Bologna_1693,1693,Bologna,LATIN,Geminiano Rondelli,,No primary family,True,True,True,0.7405137376734557,22,"explicata | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | PHILOSOPHIÆ DOCT | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | EVCLIDIS",Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN | PHILOSOPHIÆ DOCT
bib-76,1598,Venice,LATIN,Franciscus Barocius,Cosmography,Cosmos/Earth,True,False,True,0.7348444487960337,27,"DISTRIBVTA | recognita | aucta | COSMOGRAPHIA | IN QUATVOR LIBROS DISTRIBVTA,  SVMMO ORDINE, MIRAQ. FACILITATE, ac brevitate ad Magnam Ptolemaei Mathematicam Constructionem, ad universamque Astrologiam instituens | nuper in hac secunda editione ab ipso Authore | IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco | aucta | Communia Mathematica | Arithmetica | Geometrica principia | Index eorum | Communia Mathematica | Arithmetica | Geometrica principia | Index","IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco"
London_1678a,1678,London,LATIN,Nicholas Mercator,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7343949493151194,20,"DEMONSTRATA | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | NOVO ORDINE AC METHODO FERÈ DEMONSTRATA | Novo Ordine ac Methodo FERE, DEMONSTRATA | Introductione brevi, Quâ Magnitudinum Ortus ex genuinis Principiis, & ortarum Affectiones ex ipsa Genesi derivantur | EVCLIDIS ELEMENTA GEOMETRICA | EUCLIDIS ELEMENTA GEOMETRICA | Introductione brevi | NICOLAI MERCATORIS IN GEOMETRIAM | IN GEOMETRIAM | EVCLIDIS | EUCLIDIS",
bib-24,1575,Bordeaux,LATIN,Elie Vinet,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7343589522029951,15,"INTERPRETATÆ | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | DEFINITIONES | ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS | EVCLIDIS",
bib-120,1648,London,LATIN,William Oughtred,Arithmetic | Theoretical Mathematics,Geometry/Theory | Arithmetic/Commerce,True,True,True,0.7331830764614641,18,"accedit | intexitur | decimi elementi Euclidis | de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Anglo | decimi elementi Euclidis | Tractatus de Resolutione Æquatio- num qualitercunque adfectarum in numeris | Declaratio tum decimi elementi Euclidis de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Logistica decimalis, & Logarithmorum Doctrina | Tractatus de Resolutione Æquatio- num qualitercunque adfectarum in numeris | Declaratio tum decimi elementi Euclidis de lateribus incommensurabilibus: tum decimi tertii & decimi quarti ele- menti de quinque solidis Regularibus | Logistica decimalis, & Logarithmorum Doctrina | Tractatus de Resolutione Æquationum | Declaratio | Logistica decimalis | Logarithmorum Doctrina | Euclidis",Anglo
bib-9,1544,Strasbourg,LATIN,Oronce Finé,Practical Geometry,Geometry/Theory,True,True,True,0.7323839622370683,22,"emissus | LIBER DE GEOMETRIA PRACTICA | SIVE DE practicis longitudinum, planorum & so- lidorum: hoc est, linearum, superficio- rum, & corporum mensonibus; aliisqꝫ mechanicis, ex demonstratis EVCLIDIS elementis corollarius | NUNC PRIMVM APVD GERMA- nos in lucem emissus | LUTETIAE LIBERALIVM disciplinarum Professoris regij | EVCLIDIS elementis | ex demonstratis EVCLIDIS elementis corollarius | EVCLIDIS",LUTETIAE LIBERALIVM disciplinarum Professoris regij
