stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
bookgroup_format,elements_books_group=selected_later_books | format_group=octavo,elements_books_group + format_group,9,3.33,1.11,11.22,6.69,1,11.1,0,0.0,3,33.3
bookgroup_format,elements_books_group=selected_later_books | format_group=quarto,elements_books_group + format_group,9,2.33,1.0,10.33,5.4,1,11.1,0,0.0,5,55.6
period_language_bookgroup,period=1650-1699 | language_first=FRENCH | elements_books_group=books_1_6_plus_solids,period + language_first + elements_books_group,9,4.44,1.11,10.78,7.71,1,11.1,1,11.1,2,22.2
period_format,period=1600-1649 | format_group=quarto,period + format_group,20,4.05,1.2,11.7,7.59,2,10.0,0,0.0,8,40.0
period_language_format,period=pre-1550 | language_first=LATIN | format_group=folio,period + language_first + format_group,20,3.6,1.1,11.35,6.97,2,10.0,2,10.0,8,40.0
language_format,language_first=DUTCH | format_group=octavo,language_first + format_group,10,7.4,1.8,12.7,11.74,1,10.0,1,10.0,0,0.0
language_format,language_first=FRENCH | format_group=duodecimo,language_first + format_group,10,5.0,0.6,10.5,7.7,1,10.0,1,10.0,4,40.0
bookgroup_format,elements_books_group=books_1_6 | format_group=folio,elements_books_group + format_group,10,3.8,1.7,13.5,8.2,1,10.0,0,0.0,3,30.0
period_language,period=1650-1699 | language_first=FRENCH,period + language_first,21,3.86,0.62,10.19,6.51,2,9.5,1,4.8,11,52.4
bookgroup_format,elements_books_group=near_complete_or_expanded | format_group=folio,elements_books_group + format_group,21,4.0,0.57,13.05,7.18,2,9.5,1,4.8,14,66.7
period_format,period=pre-1550 | format_group=folio,period + format_group,22,3.45,1.05,10.95,6.69,2,9.1,2,9.1,9,40.9
period_language_format,period=1600-1649 | language_first=LATIN | format_group=octavo,period + language_first + format_group,13,4.08,0.92,10.0,7.0,1,7.7,1,7.7,6,46.2
language_format,language_first=FRENCH | format_group=octavo,language_first + format_group,27,4.33,1.22,11.7,7.9,2,7.4,0,0.0,8,29.6
period_language_format,period=1550-1599 | language_first=LATIN | format_group=octavo,period + language_first + format_group,14,4.0,0.57,10.0,6.57,1,7.1,0,0.0,9,64.3
period_language_format,period=1650-1699 | language_first=LATIN | format_group=octavo,period + language_first + format_group,16,3.75,1.44,10.75,7.34,1,6.2,1,6.2,7,43.8
bookgroup_format,elements_books_group=books_1_6_plus_solids | format_group=octavo,elements_books_group + format_group,17,3.94,2.65,11.82,8.95,1,5.9,1,5.9,1,5.9
period_format,period=1650-1699 | format_group=quarto,period + format_group,19,3.21,1.11,11.53,6.62,1,5.3,0,0.0,7,36.8
bookgroup_format,elements_books_group=unknown_books | format_group=folio,elements_books_group + format_group,19,3.32,1.21,9.58,6.44,1,5.3,1,5.3,6,31.6
language_format,language_first=LATIN | format_group=folio,language_first + format_group,39,3.67,1.18,11.72,7.19,2,5.1,2,5.1,16,41.0
period_language,period=1550-1599 | language_first=LATIN,period + language_first,30,3.97,1.0,11.13,7.19,1,3.3,0,0.0,15,50.0
period_format,period=1600-1649 | format_group=octavo,period + format_group,32,5.19,1.34,11.62,8.86,1,3.1,1,3.1,9,28.1
period_language,period=1600-1649 | language_first=FRENCH,period + language_first,22,5.09,1.5,12.55,9.1,0,0.0,0,0.0,4,18.2
city_format,city=Paris | format_group=quarto,city + format_group,19,3.21,1.84,10.47,7.15,0,0.0,0,0.0,7,36.8
city_format,city=Paris | format_group=folio,city + format_group,15,4.07,1.13,13.27,7.85,0,0.0,0,0.0,6,40.0
period_language_format,period=1600-1649 | language_first=FRENCH | format_group=octavo,period + language_first + format_group,14,5.0,1.36,12.43,8.84,0,0.0,0,0.0,2,14.3
language_format,language_first=FRENCH | format_group=quarto,language_first + format_group,13,4.15,1.23,11.0,7.58,0,0.0,0,0.0,7,53.8
period_language_bookgroup,period=1600-1649 | language_first=FRENCH | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,12,5.5,1.75,13.33,9.92,0,0.0,0,0.0,1,8.3
period_language_bookgroup,period=1550-1599 | language_first=LATIN | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,11,4.64,0.55,13.18,7.82,0,0.0,0,0.0,7,63.6
period_language,period=1600-1649 | language_first=DUTCH,period + language_first,10,5.9,2.0,11.6,10.22,0,0.0,0,0.0,3,30.0
period_language,period=1700+ | language_first=ENGLISH,period + language_first,10,5.5,2.1,12.9,10.18,0,0.0,0,0.0,1,10.0
