natural_dominant_mode,plain_1_6_count,plain_1_6_pct,plus_solids_count,plus_solids_pct,delta_plus_solids_minus_plain
practical-pedagogical,18,22.2,18,46.2,23.9
institutional/authority,1,1.2,3,7.7,6.5
sparse/canonical,6,7.4,3,7.7,0.3
composite/apparatus,1,1.2,0,0.0,-1.2
pedagogical/method,11,13.6,4,10.3,-3.3
humanist/vernacular transfer,9,11.1,3,7.7,-3.4
low-signal/other,6,7.4,0,0.0,-7.4
institutional-composite,29,35.8,8,20.5,-15.3
