bucket,classification_key,year,city,language,elements_books_group,dominant_mode,mode_count,primary_classes,metadata_title_page_keys,claim_text,social_text,additional_content
many_modes_fuzzy_center,Rotterdam_1647,1647,Rotterdam,DUTCH,books_1_6,practical-pedagogical,7,,Rotterdam_1647 | Utrecht_1647,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt …,alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,
many_modes_fuzzy_center,Amsterdam_1662,1662,Amsterdam,DUTCH,near_complete_or_expanded_enunciations,practical-pedagogical,7,Theoretical Mathematics,Amsterdam_1662,Overgeset | Vertaelt | vergroot | verrijckt | De 15 Boecken der ELEMENTEN Van Euclidis | Met korte verk-laringen eeniger Propositien | En nu vergroot deor J. V. L | in sijn leven Professer Matheseos der Hooge Schoole tot Leyden | Christophoro Clavio | De 15 Boecken der ELEMENTEN Van Euclidis | Met korte verk-laringen eeniger Propositien | een Aenhanghsel der Fondamenten vande Mathematische Namen ende Coracteren | he…,Hooge Schoole tot Leyden | in sijn leven Professer Matheseos der Hooge Schoole tot Leyden | Christophoro Clavio,
many_modes_fuzzy_center,Madrid_1665,1665,Madrid,SPANISH,mixed_or_other_books,practical-pedagogical,7,Architecture | Practical Geometry | Theoretical Mathematics,Madrid_1665,traduci-dos | aprobadas | Confirmadas | COMPVESTO | QVINTO Y SEPTIMO libros de Euclides | traduci-dos de latín en Romance | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | Bouedas | Pichinas | QVINTO Y SEPTIMO libros de Euclides | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad d…,La Imperial Ciudad de Toledo | Villa de Madrid | San Nicolas | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | MI REDEMPTOR IESV CHRISTO | Bouedas | Pichinas,
many_modes_fuzzy_center,Rouen_1676,1676,Rouen,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Rouen_1676,Traduits | reveus & corrigez | traduit | LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE | Traduits en François par D. HENRION | reveus & corrigez | aussi traduit en François par ledit Henrion | Professeur és Mathematiques | LES QUINZE LIVRES DES ELEMENTS D’EUCLIDE | avec des Commentaires beaucoup plus amples & faciles | des figures en plus grand nombre | le Livre des DONNEZ du même Euclide | DONNEZ | François | D’EUCLIDE …,Professeur és Mathematiques,Data
sparse_canonical_edge,Venice_1482,1482,Venice,LATIN,near_complete_or_expanded,sparse/canonical,2,Theoretical Mathematics,Venice_1482,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,,
sparse_canonical_edge,TTORPR,1528,Vienna,LATIN,unknown_books,sparse/canonical,2,,TTORPR,"decerp- tum | Continet | ad omnium Mathemati- ces candidatorum | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis | ELEMENTA- LE GEOMETRICVM, EX EV- clidis Geometria | EV- clidis",ad omnium Mathemati- ces candidatorum | collegij Viennẽsis | Haylpronnẽsi Colle- ga ciuilis collegij Viennẽsis,
sparse_canonical_edge,Paris_1545,1545,Paris,LATIN,near_complete_or_expanded,sparse/canonical,2,,Paris_1545,Euclides,,
sparse_canonical_edge,Rome_1545,1545,Rome,"GREEK, LATIN",unknown_books,sparse/canonical,2,Theoretical Mathematics,Rome_1545,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV | ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV | ΕΥ’ΚΛΕΙΔΟΥ | EVCLIDIS,,
sparse_canonical_edge,Paris_1549,1549,Paris,LATIN,unknown_books,sparse/canonical,2,Theoretical Mathematics,Paris_1549 | Paris_1558a,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDIS,,
sparse_canonical_edge,FA6MQ0,1551,London,ENGLISH,unknown_books,sparse/canonical,2,Instrument Use | Practical Geometry,FA6MQ0,"CONTAINING | for all sortes of men | THE FIRST PRINciples of Geometrie | as they may moste aptly be applied vnto practise, bothe for vse of instrumentes Geometricall, and astronomicall and also for proiection of plattes in euerye kinde, and therfore much necessary",for all sortes of men,
sparse_canonical_edge,Arnhem_1605,1605,Arnhem,LATIN,selected_later_books,sparse/canonical,2,Arithmetic,Arnhem_1605,"comprehenſam | ARITHMETICAM RATIO- NALIVM EVCLIDIS | Septimo, Octavo & Nono Elementorum libris | ARITHMETICAM RATIO- NALIVM EVCLIDIS | EVCLIDIS",IACOBVM I. Magnæ Britanniæ Franciæ & Hyberniæ Regem,
sparse_canonical_edge,Venice_1641,1641,Venice,LATIN,books_1_6,sparse/canonical,2,Theoretical Mathematics,Venice_1641,EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS ELEMENTORVM Libri VI | EVCLIDIS,D. Ioannem Libiolam,
sparse_canonical_edge,Lyon_1669,1669,Lyon,LATIN,unknown_books,sparse/canonical,2,Theoretical Mathematics | Trigonometry,Lyon_1669,"SYNOPSIS GEOMETRICA | De linea sinuum & Cycloide, De maximis & minimis, centuria, Et Synopsis Trigonometriæ planæ | HONORATO",Societatis IESV | HONORATO,
sparse_canonical_edge,Milan_1671,1671,Milan,ITALIAN,books_1_6,sparse/canonical,2,Theoretical Mathematics,Milan_1671,TRATTI | I PRIMI SEI LIBRI D’EVCLIDE | I PRIMI SEI LIBRI D’EVCLIDE | EVCLIDE,"CONTE VITALIANO BORROMEO Generale dell’Artiglieria, e del Consiglio Segreto di S. M. Cattolica, e Commessario Imperiale della Maestà dell’Imperatore in Italia",
sparse_canonical_edge,Naples_1702,1702,Naples,LATIN,books_1_6,sparse/canonical,2,Theoretical Mathematics,Naples_1702,EVCLIDIS ELEMENTA | EVCLIDIS ELEMENTA | EVCLIDIS,,
sparse_canonical_edge,Uppsala_1741,1741,Uppsala,LATIN,books_1_6_plus_solids,sparse/canonical,2,Theoretical Mathematics,Uppsala_1741,EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | EUCLIDIS ELEMENTORUM LIBRI SEX PRIORES | EUCLIDIS,,
sparse_canonical_edge,Lund_1855,1855,Lund,SWEDISH,selected_later_books,sparse/canonical,2,Theoretical Mathematics,Lund_1855,"Öfversättning | bearbetning | sjunde, åttonde, nionde och tionde böckerna af Euclids Elementer | Euclids Elementer | Euclids",,
sparse_canonical_edge,Leipzig_1883,1883,Leipzig,"GREEK, LATIN",books_1_13,sparse/canonical,2,Theoretical Mathematics,Leipzig_1883,EDIDERUNT | EUCLIDIS OPERA OMNIA | EUCLIDIS,,
practical_public_elements,Venice_1505,1505,Venice,LATIN,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Venice_1505 | Venice_1510,sumpta | addita | subuersa | voluta | ordinata | digesta | castigata | addita | subuersa | prepostere | voluta | ordinata | digesta | castigata | adiuncta | quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | elementorum libros. xiij | cum expositione Theonis insignis mathematici | voluta in Campani interpretatione: ordinata digesta et castigata | voluta in Campani int…,quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | Interprete | Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho,"Phaenomena, Optica, Catoptrica, Data"
practical_public_elements,Paris_1565,1565,Paris,FRENCH,selected_later_books,practical-pedagogical,7,Theoretical Mathematics,Paris_1565 | Paris_1565a,"COMPRENANS | traduits | com- mentez | TRADVICT | COMMENté | intitulé | LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide | COMPRENANS TOVTE LA SCIEN- ce des nombres | du leger & du pesant | TRADVICT ET COMMENté | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris | LES SEPTIEME, HVICTIEME ET NE…","vni- uersité de Paris | l’Vniuersité de Paris | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris",De levi et ponderoso
practical_public_elements,Rome_1591,1591,Rome,LATIN,unknown_books,practical-pedagogical,7,Astronomy,Rome_1591,conuersa | illustrata | ad-ditæ sunt | EVCLIDIS PHAENOMENA | Scholijs antiquis: & figuris optimis illustrata: & de Græca lingua in Latinam conuersa | Post Zamberti: & Maurolyci edi-tionem | EVCLIDIS PHAENOMENA | Scholijs antiquis | figuris optimis | de Græca lingua in Latinam conuersa | Maurolyci breues aliquot annotationes | de Græca lingua | in Latinam | EVCLIDIS,VATICANA. BIBLIOTHECA | BIBLIOTHE-CARIVM | ANTONIVM. COLVMNAM. S.R.E. CARD. EPISCOPVM. PRAENESTINVM,Phaenomena
practical_public_elements,Paris_1609,1609,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1609,"Traduits | restitués | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | Traduits & restitués à leur ancienne breueté, selon l’ordre de Theon | Docteur ès Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | Theon | Ipsicles Alexandrie | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | les quatorze & quinziesme d’Ipsicles Alexandrien | les quatorze & quinziesme d’Ipsicles Alexandrien |…","Academies du Roy | Docteur ès Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | Theon | Ipsicles Alexandrie",
practical_public_elements,Rome_1609,1609,Rome,LATIN,unknown_books,practical-pedagogical,7,Astronomy | Theoretical Mathematics,Rome_1609,"deprompta | illustrata | conuersa | addita sunt | EVCLIDIS PHAENOMENA | Post Zamberti, & Maurolyci edi-tionem | His addita sunt Maurolyci breues aliquot annotationes | NEAPOLITANO | Zamberti | Maurolyci | EVCLIDIS PHAENOMENA | Scholijs antiquis, & figuris optimis illustrata | Maurolyci breues aliquot annotationes | de Græca lingua | in Latinam | EVCLIDIS",NEAPOLITANO | SERENISSIMVM FRANCISCVM MARIAM VRBINI DVCEM VI | Zamberti | Maurolyci,Phaenomena
