social_category,n_social,mode,count,pct,overall_pct,delta
role_royal_official,50,selection_extraction_abridgment,11,22.0,10.7,11.3
role_royal_official,50,sparse_canonical_identity,0,0.0,6.4,-6.4
role_royal_official,50,procedural_pedagogical_identity,15,30.0,26.3,3.7
role_royal_official,50,composite_workshop_book,18,36.0,28.8,7.2
role_royal_official,50,utility_public_book,12,24.0,7.1,16.9
role_royal_official,50,humanist_transfer_book,5,10.0,9.5,0.5
role_royal_official,50,method_access_book,4,8.0,6.2,1.8
role_religious_identity,32,canonical_textual_identity,17,53.1,47.0,6.1
role_religious_identity,32,method_demonstration_order,14,43.8,25.0,18.7
role_religious_identity,32,accessibility_clarity_pedagogy,7,21.9,11.5,10.4
role_religious_identity,32,utility_practice_application,11,34.4,14.4,20.0
role_religious_identity,32,correction_revision_accuracy,9,28.1,15.4,12.7
role_religious_identity,32,augmentation_enrichment_composition,13,40.6,32.9,7.8
role_religious_identity,32,translation_vernacularization_transfer,0,0.0,14.5,-14.5
role_religious_identity,32,ancient_authority_restoration,16,50.0,36.2,13.8
role_religious_identity,32,novelty_modernity_invention,4,12.5,12.1,0.4
role_religious_identity,32,visual_material_aids,2,6.2,14.8,-8.6
role_religious_identity,32,completeness_totality_system,5,15.6,13.5,2.1
role_religious_identity,32,selection_extraction_abridgment,3,9.4,10.7,-1.3
role_religious_identity,32,sparse_canonical_identity,0,0.0,6.4,-6.4
role_religious_identity,32,procedural_pedagogical_identity,12,37.5,26.3,11.2
role_religious_identity,32,composite_workshop_book,9,28.1,28.8,-0.7
role_religious_identity,32,utility_public_book,11,34.4,7.1,27.3
role_religious_identity,32,humanist_transfer_book,0,0.0,9.5,-9.5
role_religious_identity,32,method_access_book,6,18.8,6.2,12.6
role_engineer_practitioner,16,canonical_textual_identity,10,62.5,47.0,15.5
role_engineer_practitioner,16,method_demonstration_order,5,31.2,25.0,6.2
role_engineer_practitioner,16,accessibility_clarity_pedagogy,1,6.2,11.5,-5.3
role_engineer_practitioner,16,utility_practice_application,4,25.0,14.4,10.6
role_engineer_practitioner,16,correction_revision_accuracy,4,25.0,15.4,9.6
role_engineer_practitioner,16,augmentation_enrichment_composition,10,62.5,32.9,29.6
role_engineer_practitioner,16,translation_vernacularization_transfer,1,6.2,14.5,-8.2
role_engineer_practitioner,16,ancient_authority_restoration,5,31.2,36.2,-4.9
role_engineer_practitioner,16,novelty_modernity_invention,0,0.0,12.1,-12.1
role_engineer_practitioner,16,visual_material_aids,2,12.5,14.8,-2.3
role_engineer_practitioner,16,completeness_totality_system,0,0.0,13.5,-13.5
role_engineer_practitioner,16,selection_extraction_abridgment,7,43.8,10.7,33.1
role_engineer_practitioner,16,sparse_canonical_identity,0,0.0,6.4,-6.4
