field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
has_diagrams_metadata,False,279,67.7,50.9,84.9,76.3,70.6,28.3,15.8,36.6
has_diagrams_metadata,True,7,100.0,28.6,85.7,85.7,57.1,28.6,0.0,57.1
