bucket,classification_key,year,city,language,wardhaugh_classification,elements_books_group,primary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
Elements with practical/instrument/social utility signals,Amsterdam_1701,1701,Amsterdam,DUTCH,DOU,books_1_6,Practical Geometry | Theoretical Mathematics,"by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De zes eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten Druk, van nieuws oversien en verbetert | Lant-meter ende Wijn-roeyer der Stadt LEYDEN | De zes eerste Boecken EUCLIDIS | by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aftrecken, vermeenighvuldigen, ende deelen | Over-geset, verklaert, ende uyt-geleyt tot vorderinge ende oeffeninge van alle leer-gierige Liefhebbers der selver vrye Konste | by-gevoegde nuttigheden, met de specien in Geometrische figuren breeder verklaert ende vermeerdert | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Lant-meter ende Wijn-roeyer der Stadt LEYDEN,Amsterdam_1701
Elements with practical/instrument/social utility signals,Brussels_1701,1701,Brussels,SPANISH,TACQUET,books_1_6_plus_solids,Theoretical Mathematics,"Amplificado | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Amplificado de nuevas Demonstraciones | FAMOSO PHILOSOPHO EUCLIDES MEGARENSE | EUCLIDES MEGARENSE",Academia Real y Militar de los Payses-Bajos | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | Exmo. Señor Marques de BEDMAR,Brussels_1701
Elements with practical/instrument/social utility signals,Oxford_1705,1705,Oxford,ENGLISH,MISSING,books_1_6,Theoretical Mathematics,"Translated | translated | THE ENGLISH EUCLIDE | The English Euclide | OF GEOMETRY | the first six Elements of geometry | Translated out of the GREEK | Chaplain to his Grace the Duke of BUCKINGHAMSHIRE L.d Privy Seal | Prebendary of SARUM | Rector of UPWEY in the County of DORSETT | THE ENGLISH EUCLIDE, BEING The First SIX ELEMENTS OF GEOMETRY | first six Elements of geometry | Annotations and useful Supplements | annotations | useful supplements | GREEK | Greek | ENGLISH | English | EUCLIDE | Euclide",SARUM | UPWEY | Chaplain to his Grace the Duke of BUCKINGHAMSHIRE L.d Privy Seal | Prebendary of SARUM | Rector of UPWEY in the County of DORSETT,F2WVY3 | Oxford_1705
Elements with practical/instrument/social utility signals,Paris_1500,1500,Paris,LATIN,MISSING,unknown_books,Astronomy,adiecta | illustratus | Geometria Euclidis | Academie illustratus | expositione Anuli Astronomici | Johannis de Sacro Bosco | Iacobi Lefranc | Geometria Euclidis | cum additione | adiecta | Nouo commentario nuper coito | De Sphe ra Johannis de Sa- cro bosco | Anuli Astronomici Iacobi Lefranc | Anuli Astronomici | De Sphe ra Johannis de Sa- cro bosco | Nouo commentario nuper coito adutilitate studii philosophici | Lili expositione Anuli Astro- nomici Iacobi Lefranc | Euclidis,Academie | Academie illustratus | expositione Anuli Astronomici | Johannis de Sacro Bosco | Iacobi Lefranc,Paris_1500
Elements with practical/instrument/social utility signals,Paris_1605,1605,Paris,FRENCH,FOIX,partial_from_book_1,Theoretical Mathematics,TRADVITS | commentez | Dediez | Reueus | corrigez | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Reueus & corrigez | Ingenieur du Tres- chrestien ROY de France & de Nauarre | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | commentez | D’EVCLIDE,Ingenieur du Tres- chrestien ROY de France & de Nauarre | sa MAIESTÉ,Paris_1605
Elements with no primary subject classification,Rotterdam_1647,1647,Rotterdam,DUTCH,DOU,books_1_6,,"bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroyer | De ses eerste Boecken EUCLIDIS | eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren | EUCLIDIS",alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,Rotterdam_1647 | Utrecht_1647
Elements with no primary subject classification,Amsterdam_1626,1626,Amsterdam,DUTCH,DOU,books_1_6,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer,Amsterdam_1626
Elements with no primary subject classification,Oxford_London_1700,1700,"Oxford, London",ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
Elements with no primary subject classification,Paris_1622,1622,Paris,"FRENCH, LATIN",COMMANDINO,near_complete_or_expanded,,"Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Traduicts de Grec en François, et augmentez de plusieurs figures et demonstrations, auec la correction des erreurs commises es autres traductions | Professeur es Mathematiques | QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE",Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de la ROCHEFOVCAVLT,Paris_1622
Elements with no primary subject classification,Paris_1632a,1632,Paris,FRENCH,COMMANDINO,near_complete_or_expanded,,Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | seconde edition | Professeur es Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE,Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de Lÿon,Paris_1632a
Elements with no primary subject classification,Rotterdam_1681,1681,Rotterdam,DUTCH,DOU,books_1_6,,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieuws oversien ende verbetert | Landt-meter ende Wijn-roeyer der Stadt LEYDEN | De ses eerste Boecken EUCLIDIS | eenige nut-tigheden | Specien in Geometrische figuren | by-gevoegde nuttigheden | EUCLIDIS",alle leer-gierige Liefhebbers der selver vrye Konste | Landt-meter ende Wijn-roeyer der Stadt LEYDEN,Rotterdam_1681
Elements with no primary subject classification,London_1685a,1685,London,ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite,London_1685a
Elements with no primary subject classification,Paris_1690,1690,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1690
Elements with no primary subject classification,Cambridge_1703,1703,Cambridge,LATIN,TACQUET,books_1_6_plus_solids,,accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE,Cambridge_1703
Elements with no primary subject classification,London_1703,1703,London,ENGLISH,CLAVIUS,books_1_6_plus_solids,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Done out of FRENCH | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID,a Jesuite,London_1703
Elements with no primary subject classification,Lyon_1557,1557,Lyon,LATIN,D’ÉTAPLES,books_1_6,,"auctior | emendatior | additus | contulerit | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | Secunda editio, auctior & emendatior | CENOM | CENOMANI | IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex | Euclidis Elementa Ge-ometrica Demonstrationum Libri sex | cui & textus Euclidis Græcus additus est | Quid autem præcipuè ad Euclidem contulerit Peletarius | Euclidis Græcus | Græcus | Euclidis | Euclidem | Euclidis","CENOM | CENOMANI | Carolum Lothar-ingum, Principem, Cardinalémque amplissimum | Carolum Lotharingum, Principem, Cardinalemque",Geneva_1610 | Lyon_1557
Elements with no primary subject classification,Paris_1682,1682,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1682
Elements with no primary subject classification,Paris_1683,1683,Paris,FRENCH,CLAVIUS,books_1_6_plus_solids,,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS,Paris_1683
Elements with no primary subject classification,Paris_1536,1536,Paris,"LATIN, GREEK",ZAMBERTI/GRYNAEUS (THEON),books_1_6,,insertus est | recognita | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | Demonstrationes | REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti | SEX PRIORES LIBROS geometricorum elementorum Euclidis Megarensis | ipsius Euclidis textus græcus | interpretatione latina Bartholamæi Zamberti Veneti | Euclidis Megarensis | græcus | latina | Euclidis Megarensis | ipsius Euclidis,REGII Mathematicarum professoris | Bartholamæi Zamberti Veneti,Paris_1536
Elements with no primary subject classification,Paris_1564,1564,Paris,FRENCH,MAGNIENUS/GRACILIS and DASYPODIUS,books_1_6,,TRADVICTS | COMMENTEZ | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris | LES SIX PREMIERS LIVRES DES ELEMENTS D’EV- CLIDE | EV- CLIDE,l’vniuersité de Paris | Lecteur ordi- naire du Roy és Mathema- tiques en l’vniuersité de Paris,Paris_1564
Elements with no primary subject classification,Paris_1573,1573,Paris,LATIN,MAGNIENUS/GRACILIS and DASYPODIUS,near_complete_or_expanded_enunciations,,"EVCLIDIS ELEMENTORVM  LIBRI XV | Quibus, cùm ad omnem Mathematicae scientiæ partem, tùm ad quamlibet Geometriæ tractatio- nem, facilis comparatur aditus | GRAE- cè & Latinè | EVCLIDIS ELEMENTORVM  LIBRI XV | Ἐπίγραμμα παλαιόν | Σχήματα πέντε Πλάτωνος, ὁ Πυθαγόρας σοφὸς εὗρε | Πυθαγόρας σοφὸς εὗρε, Πλάτων δ’ ἀρίδηλ’ ἐδί- δαξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς | Εὐκλείδης ἐπὶ τοῖσι κλέος σοφιηκαλλὲς ἔτευξεν | GRAE- cè | Latinè | GRAE- cè | Latinè | EVCLIDIS | Εὐκλείδης",,Paris_1573 | Paris_1598
Elements with no primary subject classification,Geneva_1611,1611,Geneva,FRENCH,D’ÉTAPLES,books_1_6,,Traduicts | dediés | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | du Mans | LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | AVEC LES DEMONSTRA- tions | LES DEMONSTRATIONS DE IACQVES PELETIER du Mans | LES DEMONSTRATIONS DE IACQVES PELETIER | françois | EVCLIDE,du Mans | Noblesse françoise,Geneva_1611 | Geneva_1628
Elements with no primary subject classification,Paris_1629,1629,Paris,FRENCH,FOIX,partial_from_book_1,,TRADVITS | commentez | Reueuz | corrigez | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | Reueuz & corrigez par l’Autheur | Ingenieur du Tres- Chrestien Roy de France & de Nauarre | LES NEVF PREMIERS LIVRES DES ELEMENS D’EVCLIDE | D’EVCLIDE,Ingenieur du Tres- Chrestien Roy de France & de Nauarre | sa MAIESTE,Paris_1629
Elements with no primary subject classification,Rouen_and_Paris_1683,1683,"Rouen, Paris",FRENCH,MAGNIENUS/GRACILIS and DASYPODIUS,near_complete_or_expanded,,Traduits | commentez | Reveuë | augmentée | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE | DERNIERE EDITION | Mathematicien | LES QUINZE LIVRES DES ELEMENS GEOMETRIQUES D’EUCLIDE | plusieurs figures | du Livre des DONNEZ du même Auteur | Livre des DONNEZ | D’EUCLIDE,Mathematicien,Rouen_and_Paris_1683
Elements with no primary subject classification,Oxford_1685,1685,Oxford,ENGLISH,CLAVIUS,books_1_6_plus_solids,,"Explain’d | Written | done | purg’d | THE ELEMENTS OF EUCLID | Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks | purg’d from a multitude of Errors, which had escap’d in the Original | Exccellent Math-ematician | of the So-ciety of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",So-ciety of JESUS | Exccellent Math-ematician | of the So-ciety of JESUS,Oxford_1685
Elements without title-page Euclid/Elements signal,Basel_1570,1570,Basel,"DUTCH, LATIN",MISSING,unknown_books,Arithmetic | Music Theory | Theoretical Mathematics,"recognita | emendatiss | prodeunt | ACCESSERVNT | restituit | illustrauit | descripsit | ANITII MANLII SEVERINI BOETHI, PHILOSOPHORVM ET THEOLOGORVM PRINCIPIS OPERA omnia | præter uniuersæ philosophiæ exactissimam doctrinam, pluri-morum in diuinis mysteriorum, & diiciliorum locorum in Platone, Aristotele alijsque Græcis & Latinis autoribus luculentissimæ expli-cationes | nunc denuò per doctos uiros recognita | primùm emendatiss. in lucem prodeunt | Episcopi Pictauiensis | Ioannis Murmelij | Rodolphi Agricolæ | Gilberti Porretæ | HENRICVS LORITVS GLAREANVS | MAR-TIANVS ROTA | Plato | Gilberti Porretæ, Episcopi Pictauiensis | demonstrationibus & figuris | Ioannis Murmelij in v. Lib. De Consolatione Philosophiæ commentaria | Rodolphi Agricolæ Enarrationes | Gilberti Porretæ, Episcopi Pictauiensis in IIII. Lib. de Trinitate commentarij | HENRICVS LORITVS GLAREANVS, Arithmeticam & Musicam demonstrationibus & figuris auctiorem redditam | MAR-TIANVS ROTA, opus de tota differendi ratione, hoc est, organum, Dialecticæ & Rhetoricæ studiosis necessarium | De Consolatione Philosophiæ | Enarrationes | de Trinitate | Arithmeticam & Musicam | opus de tota differendi ratione","monasterio S. Georgij | Episcopi Pictauiensis | Ioannis Murmelij | Rodolphi Agricolæ | Gilberti Porretæ | HENRICVS LORITVS GLAREANVS | MAR-TIANVS ROTA | Plato | Gilberti Porretæ, Episcopi Pictauiensis",Basel_1570
Elements without title-page Euclid/Elements signal,Würzburg_1661,1661,Würzburg,LATIN,CLAVIUS,books_1_6,,"digesta | disposita | Accesserunt | quivis, vel mediocri præditus ingenio | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATE JESU | SOCIETATIS JESU | Gymnasio Matheseos | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA",Würzburg_1661
Elements without title-page Euclid/Elements signal,Frankfurt_1674,1674,Frankfurt,LATIN,CLAVIUS,books_1_6,,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | Libros XXVIII | SIVE ABSOLUTA OMNIUM MATHEMATICARUM DISCIPLINARUM ENCYCLOPÆDIA | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS | Additis Indicibus locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATIS JESU Gymnasio Matheseos | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",Frankfurt_1674
Elements without title-page Euclid/Elements signal,Cologne_1607a,1607,Cologne,LATIN,MISSING,unknown_books,Theoretical Mathematics,"RECOGNITA | AVCTA | distributa | ADDITVS | EDITA | RECOGNITA NOVISSIME AB EODEM, ET AVCTA, & in duos Tomos distributa | TRIPLEX ADDITVS INDEX | PERMISSV AVCTORIS NVNC PRIMVM IN GERMANIA EDITA | TRIPLEX ADDITVS INDEX",SOCIETATIS IESV BIBLIOTHECA SELECTA | SOCIETATIS IESV BIBLIO-THECAE SELECTÆ,Cologne_1607a
Elements without title-page Euclid/Elements signal,Basel_1546a,1546,Basel,"DUTCH, LATIN",MISSING,unknown_books,Arithmetic | Music Theory,emendauimus | illustrauit | restituit | Aristoteles | HENRICHVS LORITVS GLAREANVS | MARTIANVS ROTA | Boëthi,monasterio S. Georgij | Aristoteles | HENRICHVS LORITVS GLAREANVS | MARTIANVS ROTA | Boëthi,Basel_1546a
Elements without title-page Euclid/Elements signal,Bamberg_1677,1677,Bamberg,LATIN,CLAVIUS,books_1_6,Theoretical Mathematics,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | REGIS -CURIANI, E SOCIETATE JESU | Additis INDICIBUS locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | ejusdem SOCIETATIS IESU Gymnasio Matheseos | REGIS -CURIANI, E SOCIETATE JESU",Bamberg_1677
Elements without title-page Euclid/Elements signal,Venice_1603,1603,Venice,LATIN,MISSING,unknown_books,Theoretical Mathematics,"RECOGNITA | AVCTA | distributa | ADDITVS | Mantuani, Societatis Iesu | TRIPLEX  ADDITVS  INDEX | ALTER  LIBRORVM,  ALTER Capitum vniuscuiusq","Societatis Iesu | Mantuani, Societatis Iesu | CLEMENTEM VIII. PONT. MAX",Venice_1603
Elements without title-page Euclid/Elements signal,RH6KEE,1618,Leiden,FRENCH,MISSING,unknown_books,Military Engineering,Descrite | de Bruges,"de Bruges | TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE | DE TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE, par la grace Dieu PRINCE d'Orange, C & c & de Nassau, Catzenellenbogen, Vianden, Dietz, Moors, Bure, Leerdam, Marquis de la Vere, & de Vlissingen, Seigneur & Baron de Breda, &c la Ville de Grave, & du Pays de Cuyck, Dietz, Grinberghen, Arslay, Crainhem, Eindhoven, Lekkerkerk, Niervaert, Turnhout, Propriétaire & Capitaine General de Guelders, Hollande, Zelande, Westfrise, Embden, Utrecht, & Overyffel, &c. Admiral General, &c",1QQS64
Elements without title-page Euclid/Elements signal,Paris_1634,1634,Paris,"FRENCH, LATIN",HÉRIGONE/BARROW,near_complete_or_expanded,Theoretical Mathematics,DEMONSTRATVS | DEMONSTRE | Mathematicien | NOTAS reales & vniuersales | NOTES reelles & vniuerselles,Mathematicien,Paris_1634
Elements without title-page Euclid/Elements signal,Paris_1644b,1644,Paris,"FRENCH, LATIN",HÉRIGONE/BARROW,near_complete_or_expanded,Theoretical Mathematics,DEMONSTRATVS | DEMONSTRÉ | Mathematicien | NOTAS reales & vniuersales | NOTES reelles & vniuerselles,Mathematicien,Paris_1644b
Elements without title-page Euclid/Elements signal,WWE4ON,1656,Leuven,LATIN,MISSING,unknown_books,Arithmetic | Theoretical Mathematics,"ARITHMETICÆ THEORIA ET PRAXIS | ANT.VERPIENSI, E SOCIETATE IESV Matheseos Professore","SOC IETATE IESV | ANT.VERPIENSI, E SOCIETATE IESV Matheseos Professore",WWE4ON
Elements without title-page Euclid/Elements signal,Amsterdam_1697,1697,Amsterdam,FRENCH,CLAVIUS,books_1_6_plus_solids,Arithmetic | Theoretical Mathematics | Trigonometry,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Amsterdam_1697
Elements without title-page Euclid/Elements signal,JTZKPV,1532,Paris,LATIN,MISSING,unknown_books,Construction | Instrument Use | Practical Geometry,"versus | Pictoribus, Fabris æreis ac lignariis, Lapicidis, Statuariis, & universis demum qui circino, gnomone, libella, aut alioqui certa mensura opera sua examinant | Germanica lingua | in Latinam","Pictoribus, Fabris æreis ac lignariis, Lapicidis, Statuariis, & universis demum qui circino, gnomone, libella, aut alioqui certa mensura opera sua examinant",JTZKPV
Elements without title-page Euclid/Elements signal,ZNLALU,1560,Paris,FRENCH,MISSING,unknown_books,Arithmetic,Traduite | illustrée | L'ARITHMETIQVE de Gemme Phrison | professeur ordinaire des Mathe- matiques | de comme- taires | plusieurs inuentions nouuelles dudit Forcadel | en François,professeur ordinaire des Mathe- matiques,ZNLALU
Elements without title-page Euclid/Elements signal,Strasbourg_1572,1572,Strasbourg,LATIN,MISSING,unknown_books,Astronomy | Theoretical Mathematics,editæ | SPHAERICAE DOCTRINÆ PROPOSITIONES GRÆCÆ ET LATInæ | nunc primùm | GRÆCÆ | LATInæ,,Strasbourg_1572
Elements without title-page Euclid/Elements signal,Lyon_1669,1669,Lyon,LATIN,MISSING,unknown_books,Theoretical Mathematics | Trigonometry,"SYNOPSIS GEOMETRICA | De linea sinuum & Cycloide, De maximis & minimis, centuria, Et Synopsis Trigonometriæ planæ | HONORATO",Societatis IESV | HONORATO,Lyon_1669
Elements without title-page Euclid/Elements signal,Venice_1575,1575,Venice,LATIN,MAUROLICUS,selected_later_books,Theoretical Mathematics,ædita | Opuscula Mathematica | cum rerum omnium notatu dignarum | Nunc primùm in lucem ædita | INDICE LOCVPLETISSIMO,"D. FRANCISCI MAVROLYCI, ABBATIS MESSANENSIS",Venice_1575
Elements without title-page Euclid/Elements signal,Rome_1593,1593,Rome,LATIN,MISSING,unknown_books,Theoretical Mathematics,,SOCIETATIS IESV BIBLIO-THECA,Rome_1593
Elements without title-page Euclid/Elements signal,Paris_1626b,1626,Paris,LATIN,MISSING,unknown_books,Astronomy | Theoretical Mathematics,"Theodosii, Menelai et Mavrolyci sphærica | sphærica",D. D. De Frenicle,Paris_1626b
Elements without title-page Euclid/Elements signal,Amsterdam_1652,1652,Amsterdam,LATIN,MISSING,unknown_books,Music Theory,Restiuit | explicavit | Notis | GRÆCE | LATINE | GRÆCE | LATINE,,Amsterdam_1652
Elements sparse/no visible social,Venice_1482,1482,Venice,LATIN,CAMPANUS,near_complete_or_expanded,Theoretical Mathematics,Elementorum Euclidis megarensis | in artem geometrie incipit | Elementorum Euclidis megarensis | Euclidis megarensis | Euclidis,,Venice_1482
Elements sparse/no visible social,Venice_1498,1498,Venice,LATIN,MISSING,unknown_books,Theoretical Mathematics,Interprete | Euclidis quartus decimus elementorum | Nicephori | Hypsiclis | Euclidis quartus decimus elementorum | Hypsiclis interpretatio | Nicephori logica | Georgij valle libellus de argumentis | Nicephori logica | Georgij valle libellus de argumentis | Euclidis | euclidis,Nicephori | Hypsiclis,Venice_1498
Elements sparse/no visible social,Paris_1545,1545,Paris,LATIN,ZAMBERTI/GRYNAEUS (THEON),near_complete_or_expanded,,Euclides,,Paris_1545
Elements sparse/no visible social,Paris_1549,1549,Paris,LATIN,ZAMBERTI/GRYNAEUS (THEON),unknown_books,Theoretical Mathematics,EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDES | EVCLIDIS elementorum libri QVINDECIM | EVCLIDIS,,Paris_1549 | Paris_1558a
