classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
bib-93,1603,Venice,ITALIAN,Lorenzo Forestani,Arithmetic | Commercial Mathematics | Practical Geometry | Surveying,Geometry/Theory | Arithmetic/Commerce | Instruments/Measurement,False,False,False,0.6328132610769011,19,"NUOVAMENTE POSTA IN LVCE | PRATICA D’ARITHMETICA E GEOMETRIA | De Minori conventuali di S. Franc. nella qual si dimostra un ve- ro, & facilissimo modo da risolver ogni sorte di ragioni,  Da misurar tutte le superficie terrene, e corpi regolari, da misurar con l’aspetto le distanze, l’altezze, e le profondità,  Con il modo da leuar le piante senza bussola: si copronsi in essa alcuni errori di certi Autori | NUOVAMENTE POSTA IN LVCE",Minori conventuali di S. Franc | R. P. F. Lorenzo Forestani da Pescia
bib-259,1591,Tours,LATIN,Elie Vinet,Arithmetic | Music Theory | Theoretical Mathematics,Geometry/Theory | Arithmetic/Commerce | Music,False,False,False,0.6322878255989387,22,"Accessit | In usum studiosæ Iuventutis Academiæ Turonensis Societ. Iesv | ARITHMETICA, MVSICA, ET GEO- METRIA | Accessit in hac ultima editione singulorum librorum | interprete | PROCLI SPHAERA | PROCLI SPHAERA",In usum studiosæ Iuventutis Academiæ Turonensis Societ. Iesv | Academiæ Turonensis Societ | interprete
bib-237,1673,London,ENGLISH,"William Leybourn, Edmund Gunter",Instrument Use | Trigonometry,Geometry/Theory | Instruments/Measurement,False,False,False,0.6301409305111306,24,"Containing | added by | added | Diligently Corrected | furnished | THE WORKS OF EDMUND GUNTER | the Description and Use of the Sector, Cross-staff, Bow, Quadrant, And other Instruments | The Fifth Edition, Diligently Corrected, and divers necessary Things and Matters (pertinent thereunto) added | Philomath | Mr. Henry Bond | Mr. Sam. Foster | Mr. Gunter | some Questions in Navigation added | The Description and Use of another Sector and Quadrant | divers necessary Things and Matters (pertinent thereunto) added",Gresham Colledge | Philomath | Mr. Henry Bond | Mr. Sam. Foster | Mr. Gunter
bib-253,1583,Lyon,LATIN,Johannes Stadius,Astronomy,Cosmos/Earth,False,False,False,0.6269878965852362,21,accommodatae | accesserunt | EPHEMERIDES | Secundum Antuerpiae longitudinem ex tabulis Prutenicis supputatae ab anno 1583. usque ad annum 1606 | Et ad S. D. N. Gregorii XIII. anni refor- mationem accuratissime accommodatae | Florentino Sacrae Theologiae Doctore | Schematæ | praedictiones annuæ mundi | Eclipsi- um luminarium | Schematæ | praedictiones annuæ mundi | Eclipsi- um luminarium | Schematæ | praedictiones annuæ mundi | Eclipsi um luminarium,Florentino Sacrae Theologiae Doctore
bib-105,1594,Nuremberg,LATIN,Cornelis Jode,Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,False,False,False,0.6265382653397965,17,"Addita | editus | DE QVADRANTE GEOMETRICO LIBELLVS | IN QVO QVIDQVID AD LINEARVM ET SVPERFICIERUM, VT POTE ALTITVDINVM ET LATITVDINVM, DI= mensiones facit lucidissime demonstratur | Sumptibus & expensis CORNELII DE IUDAEIS editus | Addita figura aenea XXVII. ad maiorem doctrinae intelligentiam & lucem hactenus non ita exposita",
MYFHIS,1584,Venice,ITALIAN,"Sebastiano Serlio, Giovanni Domenico Scamozzi",Architecture | Construction,Visual/Spatial Arts,False,False,False,0.6238403172877368,18,"la aggiunta | ristampate | corrette | gli Architetti | TVTTE L'OPERE D'ARCHITETTVRA, ET PRROSPETIVA | Doue si mettono in disegno tutte le maniere di edificij, e si trattano di quelle cose, che sono più necessarie a sapere gli Architetti | Di nuouo ristampate, e corrette | BOLOGNESE | Con la aggiunta delle inuentioni di cinquanta Porte, e gran numero di palazzi publici, e pri- uati nella Città, & in Villa, e varij accidenti, che possono occorrere nel fabricare | Con vn' Indice copiosissimo con molte Considerationi, & vn breue Discorso sopra questa materia, raccolto",gli Architetti | BOLOGNESE
bib-2,1547,Paris,FRENCH,Charles de Bovelles,Practical Geometry,Geometry/Theory,False,False,False,0.622916430275627,18,"composee | reueue | augmen-  tée | enrichie | Geometrie practique | nou uellement par luy reueue, augmen- tée, & grandement enrichie | le noble Philosophe maistre | augmen-  tée | grandement enrichie",le noble Philosophe maistre
bib-117,1630,Amsterdam,LATIN,Samuel Marolois,Architecture | Military Engineering | Perspective,Visual/Spatial Arts | Applied Mechanics/Military,False,False,False,0.6216563668523687,20,"Beschreven | voor oogen gestelt | oversien | verbeteret | Reueüe | Augmentée | Corrigée | OPERA MATHEMATICA | traitans DE GEOMETRIE, PERSPECTIVE, ARCHITECTURE, ET FORTIFICATION | Van nieuws oversien ende verbeteret | Beschreven en voor oogen gestelt | nouueau Reueüe, Augmentée, et Corrigée | Mathematicus | Mathematicien | Geometrie | Perspe- ctive | Architecture | Fortificatie | Geometrie | Perspe- ctive | Architecture | Fortificatie",Mathematicus | Mathematicien
bib-279,1696,London,ENGLISH,Samuel Jeake,Arithmetic,Arithmetic/Commerce,True,False,True,0.6207531495271257,20,"Surveighed and Reviewed | ARITHMETICK | Wherein the Nature of Numbers absolutely abstract, generally and specially contract, with their Simple and Comparative Elements, are plainly declared, and fully handled | Surveighed and Reviewed | Senior | together with divers Etymologies, Symboles, Characters, and Abbreviations for Artificial Termes, Words, Names, and Denominations | Illustrated by sundry Tables, Diagrams, and very many Examples",Senior
bib-50,1570,Basel,LATIN,"Abel Foullon, Johann Niklaus Stupanus",Instrument Construction | Instrument Use | Practical Geometry,Geometry/Theory | Instruments/Measurement,False,False,False,0.6186337320663453,24,"explicato | Accessit | DE HOLOMETRI FABRICA ET VSU INSTRV MENTO GEO METRICO | vt ad omnis generis dimensiones inue stigandas, & regiones describendas utilissi mum simul & facillimum esse queat | Olim ab Abele Fullonio apud Henricum I I. Galliæ regem inuento | nunc verò Io. Nicol. Stupani Philosophi & Medici opera, sermone la tino ita explicato | Philosophi & Medici | Abele Fullonio | Federici Delphini | sermone latino ita explicato | Federici Delphini, clariss. olim apud Patavinos Mathe matici, secundus disputatio de Aestu Maris, & mo tu octauæ sphaeræ | secundus disputatio de Aestu Maris, & mo tu octauæ sphaeræ | latino",Patavinos Mathematici | Philosophi & Medici | Generosum & Magnificum D. D. Ioannem Oſ molsky de Prawiedunky Po lonum | Abele Fullonio | Federici Delphini
YCXMIJ,1565,Paris,FRENCH,Pierre Forcadel,Mechanics,Applied Mechanics/Military,False,False,False,0.6174417859144917,16,"TRADVICTZ | COM- mentés | DEVX LIVRES DE PROCLVS, DV MOVVE- MENT | lecteur ordinaire du Roy és Mathematiques en l'vniuerfité de Paris | TRADVICTZ ET COM- mentés",l'vniuerfité de Paris | lecteur ordinaire du Roy és Mathematiques en l'vniuerfité de Paris
bib-33,1564,Venice,ITALIAN,Cosimo Bartoli,Perspective | Practical Geometry | Surveying,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,True,True,False,0.6173061918581249,13,"le vere regole d’Euclide | DEL MODO DI MISVRARE le distantie, le superficie, i corpi, le piante, le prouincie, le prospettive, &  tutte le altre cose terrene, che posso­ no occorrere a gli huomini | GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO | d’Euclide","GENTIL’HUOMO, ET | ACCADEMICO FIORENTINO"
