mode,count,pct
humanist_ancient,243,85.0
institutional_authority,219,76.6
pedagogical_method,201,70.3
composite_apparatus,196,68.5
corrected_updated,144,50.3
vernacular_transfer,106,37.1
practical_public,81,28.3
sparse_canonical,44,15.4
