language_first,n,sparse_canonical_pct,sparse_canonical_n,pedagogical_method_pct,pedagogical_method_n,vernacular_transfer_pct,vernacular_transfer_n,institutional_authority_pct,institutional_authority_n,composite_apparatus_pct,composite_apparatus_n,practical_public_pct,practical_public_n,corrected_updated_pct,corrected_updated_n,humanist_ancient_pct,humanist_ancient_n,avg_mode_count
LATIN,139,13.7,19,71.2,99,24.5,34,71.9,100,69.1,96,17.3,24,51.8,72,83.5,116,4.03
FRENCH,53,5.7,3,75.5,40,37.7,20,88.7,47,73.6,39,41.5,22,54.7,29,79.2,42,4.57
DUTCH,21,9.5,2,81.0,17,52.4,11,95.2,20,76.2,16,47.6,10,57.1,12,90.5,19,5.1
ENGLISH,20,10.0,2,90.0,18,50.0,10,90.0,18,70.0,14,70.0,14,55.0,11,85.0,17,5.2
GREEK,16,31.2,5,50.0,8,50.0,8,50.0,8,68.8,11,0.0,0,50.0,8,100.0,16,4.0
GERMAN,13,15.4,2,61.5,8,84.6,11,76.9,10,76.9,10,38.5,5,30.8,4,84.6,11,4.69
ITALIAN,12,58.3,7,41.7,5,58.3,7,66.7,8,33.3,4,25.0,3,41.7,5,100.0,12,4.25
SPANISH,6,16.7,1,66.7,4,50.0,3,100.0,6,83.3,5,50.0,3,16.7,1,100.0,6,4.83
