classification_key,metadata_elements_title_page_keys,year,city,language,author_or_editor,publisher,elements_books,natural_dominant_mode,natural_mode_count,rich_claim_text_raw,rich_social_text_raw
Lausanne_1683,Lausanne_1683,1683,Lausanne,FRENCH,Claude-François Milliet Dechales,David Gentil,"1–6, 11–12",practical-pedagogical,5,EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P
Paris_1683,Paris_1683,1683,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,"1–6, 11–12",practical-pedagogical,6,EXPLIQUEZ | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS
Paris_1690,Paris_1690,1690,Paris,FRENCH,Claude-François Milliet Dechales,Estienne Michallet,"1–6, 11–12",practical-pedagogical,6,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE,Compagnie de JESUS | de la Compagnie de JESUS
Paris_1693,Paris_1693,1693,Paris,FRENCH,Jacques Ozanam,Jean Jombert,"1–6, 11–12",institutional/authority,3,"COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques"
Amsterdam_1697,Amsterdam_1697,1697,Amsterdam,FRENCH,Jacques Ozanam,George Gallet,"1–6, 11–12",institutional/authority,3,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
Amsterdam_1700,Amsterdam_1700,1700,Amsterdam,FRENCH,Claude-François Milliet Dechales,Estienne Roger,"1–6, 11–12",practical-pedagogical,6,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE,Compagnie de JESUS | P
The_Hague_1758,The_Hague_1758,1758,The Hague,FRENCH,"A. Kuypers, Johann Samuel König",Henri Scheurleer,"1-6, 11-12",pedagogical/method,3,Mis dans un Nouvel ordre | Revus | Jeunesse | LES SIX PREMIERS LIVRES D’EUCLIDE | Mis dans un Nouvel ordre | Revus | Le Professeur KOENIG | ELEMENS DE   GEOMETRIE | D’EUCLIDE,Jeunesse | Le Professeur KOENIG
Paris_1697,Paris_1697,1697,Paris,"FRENCH, LATIN",Jacques Ozanam,Jean Jombert,"1–6, 11–12",institutional/authority,4,REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
Vienna_1694,Vienna_1694,1694,Vienna,GERMAN,Anton Ernst Burckhard von Pirckenstein,Philipp Fievets,"1–6, 11–12",humanist/vernacular transfer,3,"bewiesen | Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Auff eine neue und gantz leichte Art | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender | Teutscher | Euclides","Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern"
Lübeck_and_Frankfurt_1699,Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,Anton Ernst Burckhard von Pirckenstein,Johann Wiedemeyer,"1–6, 11–12",humanist/vernacular transfer,3,"eingerichtet | bewiesen | Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Der Meß-Künst | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender Euclides | Teutscher | Euclides","Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern"
