comparison_group,bucket,classification_key,year,city,language_first,author_or_editor,natural_dominant_mode,primary_classes,elements_books,rich_claim_text_raw,rich_social_text_raw
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Antwerp_1665,1665,Antwerp,LATIN,André Tacquet,institutional-composite,Theoretical Mathematics,"1-6, 11-12",ad Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO SECUNDA CORRECTIOR | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | QVIƲS ACCEDVNT SELECTA EX ARCHIMEDE THEOREMATA | EX ARCHIMEDE THEOREMATA,ad Lectorem | SOCIETATIS IESV | SOCIETATIS IESV | Sacerdote & Matheseos Professore | ARCHIMEDE
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Antwerp_1672,1672,Antwerp,LATIN,André Tacquet,institutional-composite,Theoretical Mathematics,"1–6, 11–12",ACCEDVNT | Lectorem | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | EDITIO TERTIA CORRECTIOR | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,Lectorem | SOCIETATIS IESV | SOCIETATIS IESV Sacerdote & Matheseos Professore | ARCHIMEDE
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Cambridge_1703,1703,Cambridge,LATIN,"André Tacquet, William Whiston",institutional-composite,,"1–6, 11-12",accedunt | emendata | illustrata | accommodata | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | in hac nova Editione | Summa cura emendata | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | ARCHIMEDE | ELEMENTA GEOMETRIÆ PLANÆ AC SOLIDÆ | COROLLARIA non pauca illustrandis Elementis accommodata | varios propositionum pluri-marum USUS continentia | XL Schematibus novis æri incisis illustrata | SELECTA EX ARCHIMEDE THEOREMATA | SELECTA EX ARCHIMEDE THEOREMATA,SOC. JESU | CANTABRIGIENSES | A. M. Math-eseωs Professore LUCASIANO apud CANTABRIGIENSES | V. CL. ANDREÆ TACQUET SOC. JESU Sacerdotis | ARCHIMEDE
plus_solids,plus solids Dechales/Tacquet method-ease cluster,Lausanne_1683,1683,Lausanne,FRENCH,Claude-François Milliet Dechales,practical-pedagogical,,"1–6, 11–12",EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P
plus_solids,plus solids Dechales/Tacquet method-ease cluster,London_1685a,1685,London,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",practical-pedagogical,,"1–6, 11–12","Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Corrected and Augmented | a Jesuite | THE ELEMENTS OF EUCLID | Illustrated with Nine Copper Plates | the Effigies of EVCLID | FRENCH | EUCLID | EVCLID",a Jesuite
plus_solids,plus solids Dechales/Tacquet method-ease cluster,London_1696,1696,London,ENGLISH,Claude-François Milliet Dechales,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12","Explain’d | Written | made | Cor-rected | THE ELEMENTS OF EUCLID | in a New, but most Easie method | The Second Edition | Now made English, and a multitude of Errors Cor-rected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS
plus_solids,plus solids military/academy/practical cluster,Amsterdam_1697,1697,Amsterdam,FRENCH,Jacques Ozanam,institutional/authority,Arithmetic | Theoretical Mathematics | Trigonometry,"1–6, 11–12",REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
plus_solids,plus solids military/academy/practical cluster,Brussels_1688,1688,Brussels,SPANISH,Sebastián Fernández de Medrano,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12","Augmentados | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE | el Capitan | Maestro de Mathematicas | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES | Augmentados de muchas Proposiciones curiosas que facilitan su uso | EUCLIDES","Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan | Maestro de Mathematicas | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan DON SEBASTIAN FERNANDEZ DE MEDRANO, Maestro de Mathematicas"
plus_solids,plus solids military/academy/practical cluster,Brussels_1701,1701,Brussels,SPANISH,Sebastián Fernández de Medrano,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12","Amplificado | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Amplificado de nuevas Demonstraciones | FAMOSO PHILOSOPHO EUCLIDES MEGARENSE | EUCLIDES MEGARENSE",Academia Real y Militar de los Payses-Bajos | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | Exmo. Señor Marques de BEDMAR
plus_solids,plus solids military/academy/practical cluster,London_1789,1789,London,ENGLISH,John Bonnycastle,practical-pedagogical,Theoretical Mathematics,"1-6, 11-12","CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH"
plus_solids,plus solids military/academy/practical cluster,Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,Anton Ernst Burckhard von Pirckenstein,humanist/vernacular transfer,Practical Geometry,"1–6, 11–12","eingerichtet | bewiesen | Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Der Meß-Künst | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender Euclides | Teutscher | Euclides","Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern"
plus_solids,plus solids military/academy/practical cluster,Paris_1693,1693,Paris,FRENCH,Jacques Ozanam,institutional/authority,Theoretical Mathematics,"1–6, 11–12","COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques"
plus_solids,plus solids military/academy/practical cluster,Paris_1697,1697,Paris,FRENCH,Jacques Ozanam,institutional/authority,,"1–6, 11–12",REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
plus_solids,plus solids military/academy/practical cluster,Vienna_1694,1694,Vienna,GERMAN,Anton Ernst Burckhard von Pirckenstein,humanist/vernacular transfer,Practical Geometry | Theoretical Mathematics,"1–6, 11–12","bewiesen | Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Auff eine neue und gantz leichte Art | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender | Teutscher | Euclides","Allen Generalen, Ingenieren, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern"
plus_solids,plus solids non-Dechales/Tacquet practical-public,473J72,1726,London,ENGLISH,Henry Hill,practical-pedagogical,,"1-6, 11-12","Demonstrated | THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | Demonstrated after a New, Plain, and Eafie METHOD | A. M | Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | EUCLID's",A. M
plus_solids,plus solids non-Dechales/Tacquet practical-public,Amsterdam_1697,1697,Amsterdam,FRENCH,Jacques Ozanam,institutional/authority,Arithmetic | Theoretical Mathematics | Trigonometry,"1–6, 11–12",REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
plus_solids,plus solids non-Dechales/Tacquet practical-public,Brussels_1688,1688,Brussels,SPANISH,Sebastián Fernández de Medrano,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12","Augmentados | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES MEGARENSE | el Capitan | Maestro de Mathematicas | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE DE LOS ELEMENTOS DE EUCLIDES | Augmentados de muchas Proposiciones curiosas que facilitan su uso | EUCLIDES","Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan | Maestro de Mathematicas | Al Excelentissimo Señor MARQUES DE BEDMAR, Capitan General de la Artilleria del Exercito de los Payses Baxos | el Capitan DON SEBASTIAN FERNANDEZ DE MEDRANO, Maestro de Mathematicas"
plus_solids,plus solids non-Dechales/Tacquet practical-public,Brussels_1701,1701,Brussels,SPANISH,Sebastián Fernández de Medrano,practical-pedagogical,Theoretical Mathematics,"1–6, 11–12","Amplificado | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS | Amplificado de nuevas Demonstraciones | FAMOSO PHILOSOPHO EUCLIDES MEGARENSE | EUCLIDES MEGARENSE",Academia Real y Militar de los Payses-Bajos | Sargento General de Batalla | Director de la Academia Real y Militar de los Payses-Bajos | Exmo. Señor Marques de BEDMAR
plus_solids,plus solids non-Dechales/Tacquet practical-public,London_1680–81,1680/1681,London,ENGLISH,Jonas Moore,practical-pedagogical,Arithmetic | Astronomy | Cartography | Cosmography | Geography | Navigation | Practical Geometry | Theoretical Mathematics | Trigonometry,"1–6, 11–12","CONTAIN-ING | Composed | demonstrated | the first Six Books of Euclid’s ELEMENTS | as also the Eleventh and Twelfth, symbolically demonstrated | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY | the first Six Books of Euclid’s ELEMENTS | Euclid’s ELEMENTS","Royal Foundation of the Mathematical SCHOOL | ROYAL SOCIETY | Late Surveyor General of His MAJESTY’S Ordnance, and Fellow of the ROYAL SOCIETY"
plus_solids,plus solids non-Dechales/Tacquet practical-public,London_1789,1789,London,ENGLISH,John Bonnycastle,practical-pedagogical,Theoretical Mathematics,"1-6, 11-12","CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH"
plus_solids,plus solids non-Dechales/Tacquet practical-public,Lübeck_and_Frankfurt_1699,1699,"Lübeck, Frankfurt",GERMAN,Anton Ernst Burckhard von Pirckenstein,humanist/vernacular transfer,Practical Geometry,"1–6, 11–12","eingerichtet | bewiesen | Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern | Acht Bücher Von Denen An-fängen Der Meß-Künst | Der Meß-Künst | Acht Bücher Von Denen An-fängen Der Meß-Künst | Teutsch-Redender Euclides | Teutscher | Euclides","Allen Generalen, Ingeniern, Natur-und Warheit-Kündigern, Bau-Meistern, Künstlern und Handwerckern"
plus_solids,plus solids non-Dechales/Tacquet practical-public,Paris_1693,1693,Paris,FRENCH,Jacques Ozanam,institutional/authority,Theoretical Mathematics,"1–6, 11–12","COMPREND | contient | à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | les Elemens d’Euclide | Professeur des Mathematiques | les Elemens d’Euclide | Euclide","à un homme de Guerre, & à tous ceux qui se veulent perfectionner dans les Mathematiques | Professeur des Mathematiques"
plus_solids,plus solids non-Dechales/Tacquet practical-public,Paris_1697,1697,Paris,FRENCH,Jacques Ozanam,institutional/authority,,"1–6, 11–12",REVEUE | CORRIGE'E | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | les Elemens d’Euclide | NOUVELLE EDITION REVEUE ET CORRIGE'E | Professeur des Mathematiques | les Elemens d’Euclide | Euclide,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques
plus_solids,plus solids non-Dechales/Tacquet practical-public,RSEIPO,1731,Florence,ITALIAN,Guido Grandi,practical-pedagogical,Theoretical Mathematics,"1-6, 11-13","POSTI BREVEMENTE IN VOLGARE | ILLUSTRATI CON VARIE ANNOTAZIONI | STUDIOSA GIOVENTÙ DELLA SUA SCUOLA | ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE | REVERENDISS. PADRE ABATE | CAMALDOLESE | PROFESSORE DI MATTEMATICA | NELL' UNIVERSITA' DI PISA | CARLO ANDREINI | ELEMENTI GEOMETRICI PIANI, E SOLIDI DI EUCLIDE | ILLUSTRATI CON VARIE ANNOTAZIONI | IN VOLGARE | EUCLIDE",STUDIOSA GIOVENTÙ DELLA SUA SCUOLA | UNIVERSITA' DI PISA | SEMINARIO FIORENTINO | REVERENDISS. PADRE ABATE | CAMALDOLESE | PROFESSORE DI MATTEMATICA | NELL' UNIVERSITA' DI PISA | CARLO ANDREINI
plus_solids,plus solids sparse/counterexamples,473J72,1726,London,ENGLISH,Henry Hill,practical-pedagogical,,"1-6, 11-12","Demonstrated | THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | Demonstrated after a New, Plain, and Eafie METHOD | A. M | Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS | EUCLID's",A. M
plus_solids,plus solids sparse/counterexamples,Florence_1690,1690,Florence,ITALIAN,Vincenzio Viviani,pedagogical/method,Theoretical Mathematics,"1–6, 11–12","distesa | pubblicata | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | OVVERO SCIENZA VNIVERSALE DELLE PROPORZIONI SPIEGATA COLLA DOTTRINA DEL GALILEO | Con nuov’ordine distesa, e pubblicata da Vincenzio Viviani ultimo suo Discepolo | GALILEO | ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE | D’EVCLIDE | DEGLI ELEMENTI D’EVCLIDE",ACCADEMIA DE’ NOBILI | ILLVSTRISSIMI SIG. DELL’ACCADEMIA DE’ NOBILI | GALILEO
plus_solids,plus solids sparse/counterexamples,Lausanne_1683,1683,Lausanne,FRENCH,Claude-François Milliet Dechales,practical-pedagogical,,"1–6, 11–12",EXPLIQVEZ | LES ELEMENS D’EUCLIDE | EXPLIQVEZ D’UNE MANIERE nouvelle & tres facile | AVEC L’VSAGE DE CHAQVE Proposition pour toutes les parties des Mathematiques | P | LES ELEMENS D’EUCLIDE | AVEC L’VSAGE DE CHAQVE Proposition | EUCLIDE,P
plus_solids,plus solids sparse/counterexamples,Lyon_1660,1660,Lyon,LATIN,Claude-François Milliet Dechales,sparse/canonical,Theoretical Mathematics,"1–6, 11–12",accommodati | EVCLIDIS ELEMENTORVM Libri octo | Camberiensi Societ. IESV | EVCLIDIS ELEMENTORVM Libri octo | EVCLIDIS,Camberiensi Societ. IESV | Camberiensi Societ. IESV
plus_solids,plus solids sparse/counterexamples,Lyon_1672,1672,Lyon,FRENCH,Claude-François Milliet Dechales,sparse/canonical,Theoretical Mathematics,"1-6, 11-12",RENDVS | HVICT LIVRES DES ELEMENTS DEVCLIDE | R. P | HVICT LIVRES DES ELEMENTS DEVCLIDE | DEVCLIDE,Compagnie de IESVS | R. P
plus_solids,plus solids sparse/counterexamples,The_Hague_1758,1758,The Hague,FRENCH,"A. Kuypers, Johann Samuel König",pedagogical/method,Theoretical Mathematics,"1-6, 11-12",Mis dans un Nouvel ordre | Revus | Jeunesse | LES SIX PREMIERS LIVRES D’EUCLIDE | Mis dans un Nouvel ordre | Revus | Le Professeur KOENIG | ELEMENS DE   GEOMETRIE | D’EUCLIDE,Jeunesse | Le Professeur KOENIG
plus_solids,plus solids sparse/counterexamples,Uppsala_1741,1741,Uppsala,LATIN,Samuel Klingenstierna,sparse/canonical,Theoretical Mathematics,"1-6, 11-12",EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS ELEMENTORUM   LIBRI SEX PRIORES | EUCLIDIS,
