comparison_group,bucket,classification_key,year,city,language_first,author_or_editor,natural_dominant_mode,primary_classes,elements_books,rich_claim_text_raw,rich_social_text_raw
plain_1_6,plain 1-6 translation/humanist transfer,Bologna_1651,1651,Bologna,ITALIAN,Giovanni Ricci,humanist/vernacular transfer,,1–6,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA
plain_1_6,plain 1-6 translation/humanist transfer,Bologna_1651a,1651,Bologna,ITALIAN,Giovanni Ricci,humanist/vernacular transfer,,1-6,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Tradotti in lingua Italiana | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA
plain_1_6,plain 1-6 sparse/canonical or low-promotion,2L8L55,1719,Bologna,LATIN,Geminiano Rondelli,institutional-composite,Theoretical Mathematics,1-6,"accefferunt | iterum expofita | SEX PRIORA EUCLIDIS ELEMENTA | Quibus accefferunt Undecimum, & Duodecimum | iterum expofita | In Bononienfi Archigymnafio Hydrometriæ Profeffore | SEX PRIORA EUCLIDIS ELEMENTA | Undecimum, & Duodecimum | Hydrometriæ | Hydrometriæ | EUCLIDIS",Bononienfi Archigymnafio | BONONIÆ SENATUS | In Bononienfi Archigymnafio Hydrometriæ Profeffore | BONONIÆ SENATUS PATRIBUS Scientiarum omnium Mæcenatibus
plain_1_6,plain 1-6 sparse/canonical or low-promotion,8DP4C1,1613,Bologna,ITALIAN,Pietro Antonio Cataldi,sparse/canonical,Practical Geometry,1-6,ridotti | I primi sei libri de gl’Elementi d’Euclide | I primi sei libri de gl’Elementi d’Euclide | Euclide,
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Amsterdam_1618,1618,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",institutional-composite,,1–6,"angefüget | verteutscht | Die sechs ersten Bücher EVCLIDIS | Von den anfängen vnd fundamenten der Geometriæ | Niderlandischen andern Edition | H. Ioann Petersz Dou | Die sechs ersten Bücher EVCLIDIS | angefüget seind: sampt den Speciebus inn Geometrischen figurn, als machen, verändern, zusammenfügen, abziehen, vielfältigen vnnd theilen | Per Demonstra-tiones Lineales | Desz höchgelärten weit-berümbten, Griechischen Philosophi und Mathematici | Niderlandischen | Griechischen | EVCLIDIS",Teütschen Schuln in Nurnberg | H. Ioann Petersz Dou
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Amsterdam_1634,1634,Amsterdam,GERMAN,"Jan Pietersz Dou, Sebastian Curtius",institutional-composite,Theoretical Mathematics,1-6,"angefüget | verteutscht | Die sechs ersten Bücher EVCLIDIS | Von den Anfängen vnd fundamenten der Geometriæ | Auss H. Ioann Petersz Dou Niderländischen andern Edition verteutscht | Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg | H. Ioann Petersz | Die sechs ersten Bücher EVCLIDIS | Nutzbarkeiten angefüget | Speciebus in Geometrischen Figuren | Per Demonstra-tiones Lineales | Dess hochgelährten weit-berümbten, Griechischen Philosophi vnd Mathematici | Niderländischen | EVCLIDIS",der Teuschen Schuln in Nürnberg | Arithmeticum & G. Verordneten Inspectorn vnd Visitatorn der Teuschen Schuln in Nürnberg | H. Ioann Petersz
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Amsterdam_1660,1660,Amsterdam,DUTCH,Jacob Willemsz,pedagogical/method,Theoretical Mathematics,1–6,vertaald | EUKLIDES SES EERSTE BOEKKEN | Van de Beginselen der WISKONSTEN | van Haerlem | EUKLIDES SES EERSTE BOEKKEN | Neerduyts | EUKLIDES,van Haerlem
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Ansbach_1610,1610,Ansbach,GERMAN,Simon Marius,practical-pedagogical,Practical Geometry | Theoretical Mathematics,1-6,"übergesetzet | erkläret | jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Die Ersten Sechs Bücher Elementorum EVCLIDIS | In welchen die Anfäng vnd Gründe der Geometria ordenlich gelehret, vnd gründtlich erwiesen werden | Franc. Fürstlichen Brandenb | Die Ersten Sechs Bücher Elementorum EVCLIDIS | mit verständtlichen Exempeln in Linien vnd gemeinen Rational Zahlen | Auch mit Newen Figuren | Griechischer | deutsche | EVCLIDIS","jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Franc. Fürstlichen Brandenb | Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen"
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Basel_1562,1562,Basel,GERMAN,Wilhelm Xylander,institutional-composite,Theoretical Mathematics,1-6,"gebracht | erklärt | geziert | gegeben | genant | den Kunstliebenden Teütschen | Die Sechs Erste Bücher Euclidis | Vom anfang oder grund der Geometrj | von Augspurg | Die Sechs Erste Bücher Euclidis | aigenttlich erklärt | verstentlichen Exempeln, gründlichen Figurn | allerlaj den nutz füraugen stellenden Anhängen | Griechischer | Teütsch | Euclidis",den Kunstliebenden Teütschen | von Augspurg
plain_1_6,plain 1-6 sparse/canonical or low-promotion,Beijing_1607,1607,Beijing,CHINESE,"Xu Guangqi, Matteo Ricci",low-signal/other,,1–6,幾何原本 | 幾何原本,
