language_first,n_language,mode,count,pct,overall_pct,delta
ITALIAN,64,translation_vernacularization_transfer,8,12.5,14.5,-2.0
ITALIAN,64,ancient_authority_restoration,23,35.9,36.2,-0.2
ITALIAN,64,novelty_modernity_invention,4,6.2,12.1,-5.8
ITALIAN,64,visual_material_aids,11,17.2,14.8,2.4
ITALIAN,64,completeness_totality_system,9,14.1,13.5,0.5
ITALIAN,64,selection_extraction_abridgment,1,1.6,10.7,-9.1
ITALIAN,64,sparse_canonical_identity,6,9.4,6.4,3.0
ITALIAN,64,procedural_pedagogical_identity,9,14.1,26.3,-12.3
ITALIAN,64,composite_workshop_book,1,1.6,28.8,-27.3
ITALIAN,64,utility_public_book,2,3.1,7.1,-4.0
ITALIAN,64,humanist_transfer_book,5,7.8,9.5,-1.7
ITALIAN,64,method_access_book,5,7.8,6.2,1.6
LATIN,306,canonical_textual_identity,171,55.9,47.0,8.9
LATIN,306,method_demonstration_order,86,28.1,25.0,3.1
LATIN,306,accessibility_clarity_pedagogy,27,8.8,11.5,-2.7
LATIN,306,utility_practice_application,16,5.2,14.4,-9.1
LATIN,306,correction_revision_accuracy,50,16.3,15.4,0.9
LATIN,306,augmentation_enrichment_composition,110,35.9,32.9,3.1
LATIN,306,translation_vernacularization_transfer,38,12.4,14.5,-2.1
LATIN,306,ancient_authority_restoration,143,46.7,36.2,10.6
LATIN,306,novelty_modernity_invention,28,9.2,12.1,-2.9
LATIN,306,visual_material_aids,40,13.1,14.8,-1.8
LATIN,306,completeness_totality_system,49,16.0,13.5,2.5
LATIN,306,selection_extraction_abridgment,28,9.2,10.7,-1.5
LATIN,306,sparse_canonical_identity,24,7.8,6.4,1.4
LATIN,306,procedural_pedagogical_identity,105,34.3,26.3,8.0
LATIN,306,composite_workshop_book,97,31.7,28.8,2.9
LATIN,306,utility_public_book,7,2.3,7.1,-4.8
LATIN,306,humanist_transfer_book,29,9.5,9.5,-0.0
LATIN,306,method_access_book,14,4.6,6.2,-1.6
