field,value,n,outcome,label,count,pct,overall_pct,delta_vs_overall,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score
primary_subject_family,No primary family,88,sparse_canonical_identity,Sparse-canonical archetype,5,5.7,6.6,-1.0,3.9,0.98,10.52,6.98
format_group,folio,54,sparse_canonical_identity,Sparse-canonical archetype,3,5.6,6.6,-1.1,3.67,1.04,11.72,7.05
elements_books_group,books_1_6_plus_solids,39,sparse_canonical_identity,Sparse-canonical archetype,2,5.1,6.6,-1.5,4.54,1.69,11.95,8.62
elements_books_group,near_complete_or_expanded,67,sparse_canonical_identity,Sparse-canonical archetype,3,4.5,6.6,-2.2,4.55,0.76,12.37,7.79
period,1550-1599,55,sparse_canonical_identity,Sparse-canonical archetype,2,3.6,6.6,-3.0,3.64,1.11,11.36,7.02
period,1650-1699,83,sparse_canonical_identity,Sparse-canonical archetype,3,3.6,6.6,-3.0,3.8,1.1,11.39,7.17
city,Paris,69,sparse_canonical_identity,Sparse-canonical archetype,2,2.9,6.6,-3.7,3.9,1.25,11.22,7.39
format_group,quarto,67,sparse_canonical_identity,Sparse-canonical archetype,2,3.0,6.6,-3.7,3.37,1.27,11.27,6.9
pedagogical_school_arena,1,67,sparse_canonical_identity,Sparse-canonical archetype,2,3.0,6.6,-3.7,4.33,2.55,12.64,9.41
period,1600-1649,75,sparse_canonical_identity,Sparse-canonical archetype,2,2.7,6.6,-4.0,4.29,1.15,11.08,7.66
any_school_or_institution,1,116,sparse_canonical_identity,Sparse-canonical archetype,3,2.6,6.6,-4.1,4.53,2.11,12.45,9.14
