field,value,n,outcome,label,count,pct,overall_pct,delta_vs_overall,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score
language_first,GERMAN,13,mode_sparse_canonical,Natural sparse/canonical mode,2,15.4,15.4,0.0,2.92,0.69,12.15,6.05
language_first,GERMAN,13,sparse_canonical_identity,Sparse-canonical archetype,1,7.7,6.6,1.0,2.92,0.69,12.15,6.05
language_first,GERMAN,13,no_visible_social_arena,No visible social arena,7,53.8,43.7,10.1,2.92,0.69,12.15,6.05
language_first,GREEK,16,mode_sparse_canonical,Natural sparse/canonical mode,5,31.2,15.4,15.9,3.0,0.81,10.81,5.98
language_first,GREEK,16,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,0.81,10.81,5.98
language_first,GREEK,16,no_visible_social_arena,No visible social arena,10,62.5,43.7,18.8,3.0,0.81,10.81,5.98
language_first,ITALIAN,12,mode_sparse_canonical,Natural sparse/canonical mode,7,58.3,15.4,42.9,3.42,0.42,10.83,6.0
language_first,ITALIAN,12,sparse_canonical_identity,Sparse-canonical archetype,2,16.7,6.6,10.0,3.42,0.42,10.83,6.0
language_first,ITALIAN,12,no_visible_social_arena,No visible social arena,9,75.0,43.7,31.3,3.42,0.42,10.83,6.0
language_first,LATIN,139,mode_sparse_canonical,Natural sparse/canonical mode,19,13.7,15.4,-1.7,3.58,1.08,10.73,6.8
language_first,LATIN,139,sparse_canonical_identity,Sparse-canonical archetype,10,7.2,6.6,0.6,3.58,1.08,10.73,6.8
language_first,LATIN,139,no_visible_social_arena,No visible social arena,64,46.0,43.7,2.3,3.58,1.08,10.73,6.8
language_first,PORTUGUESE,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,2.0,18.0,8.6
language_first,PORTUGUESE,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,18.0,8.6
language_first,PORTUGUESE,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,2.0,18.0,8.6
language_first,SPANISH,6,mode_sparse_canonical,Natural sparse/canonical mode,1,16.7,15.4,1.3,3.33,1.83,13.17,7.8
language_first,SPANISH,6,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.33,1.83,13.17,7.8
language_first,SPANISH,6,no_visible_social_arena,No visible social arena,1,16.7,43.7,-27.0,3.33,1.83,13.17,7.8
language_first,SWEDISH,2,mode_sparse_canonical,Natural sparse/canonical mode,2,100.0,15.4,84.6,2.0,1.0,8.5,4.7
language_first,SWEDISH,2,sparse_canonical_identity,Sparse-canonical archetype,2,100.0,6.6,93.4,2.0,1.0,8.5,4.7
language_first,SWEDISH,2,no_visible_social_arena,No visible social arena,1,50.0,43.7,6.3,2.0,1.0,8.5,4.7
city,Alcala,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,3.0,11.0,8.2
city,Alcala,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,3.0,11.0,8.2
city,Alcala,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,3.0,11.0,8.2
city,Amsterdam,15,mode_sparse_canonical,Natural sparse/canonical mode,1,6.7,15.4,-8.7,4.87,1.33,12.53,8.71
city,Amsterdam,15,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.87,1.33,12.53,8.71
city,Amsterdam,15,no_visible_social_arena,No visible social arena,4,26.7,43.7,-17.0,4.87,1.33,12.53,8.71
city,Ansbach,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,0.0,15.0,7.0
city,Ansbach,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,0.0,15.0,7.0
city,Ansbach,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,4.0,0.0,15.0,7.0
city,Antwerp,4,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,3.0,13.25,9.65
city,Antwerp,4,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,3.0,13.25,9.65
city,Antwerp,4,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.0,3.0,13.25,9.65
city,Arnhem,3,mode_sparse_canonical,Natural sparse/canonical mode,1,33.3,15.4,17.9,2.33,0.67,9.33,4.87
city,Arnhem,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.33,0.67,9.33,4.87
city,Arnhem,3,no_visible_social_arena,No visible social arena,1,33.3,43.7,-10.4,2.33,0.67,9.33,4.87
city,Augsburg,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,0.0,14.0,6.8
city,Augsburg,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,0.0,14.0,6.8
city,Augsburg,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,4.0,0.0,14.0,6.8
city,Bamberg,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,2.0,11.0,6.2
city,Bamberg,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,2.0,11.0,6.2
city,Bamberg,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,2.0,11.0,6.2
city,Basel,8,mode_sparse_canonical,Natural sparse/canonical mode,1,12.5,15.4,-2.9,4.0,0.5,12.38,6.98
city,Basel,8,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,0.5,12.38,6.98
city,Basel,8,no_visible_social_arena,No visible social arena,5,62.5,43.7,18.8,4.0,0.5,12.38,6.98
city,Beijing,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,1.0,0.2
city,Beijing,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,1.0,0.2
city,Beijing,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,0.0,0.0,1.0,0.2
city,Berlin,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,0.0,15.0,8.0
city,Berlin,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,0.0,15.0,8.0
city,Berlin,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,5.0,0.0,15.0,8.0
city,Bologna,6,mode_sparse_canonical,Natural sparse/canonical mode,5,83.3,15.4,67.9,3.17,0.0,9.83,5.13
city,Bologna,6,sparse_canonical_identity,Sparse-canonical archetype,1,16.7,6.6,10.0,3.17,0.0,9.83,5.13
city,Bologna,6,no_visible_social_arena,No visible social arena,6,100.0,43.7,56.3,3.17,0.0,9.83,5.13
city,Brussels,3,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.67,2.33,13.0,8.6
city,Brussels,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.67,2.33,13.0,8.6
city,Brussels,3,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.67,2.33,13.0,8.6
city,Cambridge,4,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,1.5,13.0,9.1
city,Cambridge,4,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,1.5,13.0,9.1
city,Cambridge,4,no_visible_social_arena,No visible social arena,2,50.0,43.7,6.3,5.0,1.5,13.0,9.1
city,Cologne,9,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.78,0.33,10.22,7.16
city,Cologne,9,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.78,0.33,10.22,7.16
city,Cologne,9,no_visible_social_arena,No visible social arena,7,77.8,43.7,34.1,4.78,0.33,10.22,7.16
city,Douai,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.5,1.0,12.5,8.0
city,Douai,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.5,1.0,12.5,8.0
city,Douai,2,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.5,1.0,12.5,8.0
city,Edinburgh,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,2.0,13.0,9.6
city,Edinburgh,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,2.0,13.0,9.6
city,Edinburgh,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,2.0,13.0,9.6
city,Ferrara,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,1.0,8.0,5.6
city,Ferrara,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,1.0,8.0,5.6
city,Ferrara,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,1.0,8.0,5.6
city,Florence,3,mode_sparse_canonical,Natural sparse/canonical mode,1,33.3,15.4,17.9,4.0,1.33,14.0,8.13
city,Florence,3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,1.33,14.0,8.13
city,Florence,3,no_visible_social_arena,No visible social arena,1,33.3,43.7,-10.4,4.0,1.33,14.0,8.13
city,Frankfurt,4,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,1.5,10.25,7.55
city,Frankfurt,4,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,1.5,10.25,7.55
city,Frankfurt,4,no_visible_social_arena,No visible social arena,1,25.0,43.7,-18.7,4.0,1.5,10.25,7.55
city,Geneva,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,6.0,1.0,13.0,9.6
city,Geneva,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,6.0,1.0,13.0,9.6
city,Geneva,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,6.0,1.0,13.0,9.6
city,Glasgow,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,2.0,13.5,9.7
city,Glasgow,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,2.0,13.5,9.7
city,Glasgow,2,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,2.0,13.5,9.7
city,Graz,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,1.0,13.0,8.6
city,Graz,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,1.0,13.0,8.6
city,Graz,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,1.0,13.0,8.6
city,Göttingen,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,3.0,0.6
city,Göttingen,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,3.0,0.6
city,Göttingen,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,0.0,0.0,3.0,0.6
city,Halle,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,1.0,0.0,13.0,3.6
city,Halle,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,1.0,0.0,13.0,3.6
city,Halle,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,1.0,0.0,13.0,3.6
city,Hamburg,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,0.0,10.5,4.1
city,Hamburg,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,0.0,10.5,4.1
city,Hamburg,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,2.0,0.0,10.5,4.1
city,"Hamburg, Leipzig",1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,2.0,13.0,7.6
city,"Hamburg, Leipzig",1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,13.0,7.6
city,"Hamburg, Leipzig",1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,2.0,13.0,7.6
city,Ingolstadt,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,3.0,13.0,7.6
city,Ingolstadt,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,3.0,13.0,7.6
city,Ingolstadt,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,3.0,13.0,7.6
city,"Kiel, Leipzig",1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,2.0,13.0,7.6
city,"Kiel, Leipzig",1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,13.0,7.6
city,"Kiel, Leipzig",1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,2.0,13.0,7.6
city,Lausanne,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,6.0,0.0,11.0,8.2
city,Lausanne,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,6.0,0.0,11.0,8.2
city,Lausanne,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,6.0,0.0,11.0,8.2
city,Le Mans,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.0,0.0,11.0,6.2
city,Le Mans,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.0,0.0,11.0,6.2
city,Le Mans,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,4.0,0.0,11.0,6.2
city,Leiden,6,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.5,2.0,10.17,7.53
city,Leiden,6,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.5,2.0,10.17,7.53
city,Leiden,6,no_visible_social_arena,No visible social arena,2,33.3,43.7,-10.4,3.5,2.0,10.17,7.53
city,"Leiden, Amsterdam",1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,3.0,0.0,11.0,5.2
city,"Leiden, Amsterdam",1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,0.0,11.0,5.2
city,"Leiden, Amsterdam",1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,3.0,0.0,11.0,5.2
city,Leipzig,5,mode_sparse_canonical,Natural sparse/canonical mode,3,60.0,15.4,44.6,2.6,0.6,8.6,4.92
city,Leipzig,5,sparse_canonical_identity,Sparse-canonical archetype,1,20.0,6.6,13.4,2.6,0.6,8.6,4.92
city,Leipzig,5,no_visible_social_arena,No visible social arena,3,60.0,43.7,16.3,2.6,0.6,8.6,4.92
city,Leuven,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,3.0,6.0,4.2
city,Leuven,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,3.0,6.0,4.2
city,Leuven,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,0.0,3.0,6.0,4.2
city,Lisbon,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.0,2.0,18.0,8.6
city,Lisbon,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.0,2.0,18.0,8.6
city,Lisbon,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.0,2.0,18.0,8.6
city,Livorno,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,7.0,3.0,9.0,11.8
city,Livorno,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,7.0,3.0,9.0,11.8
city,Livorno,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,7.0,3.0,9.0,11.8
city,London,20,mode_sparse_canonical,Natural sparse/canonical mode,2,10.0,15.4,-5.4,4.8,1.2,11.8,8.36
city,London,20,sparse_canonical_identity,Sparse-canonical archetype,1,5.0,6.6,-1.6,4.8,1.2,11.8,8.36
city,London,20,no_visible_social_arena,No visible social arena,10,50.0,43.7,6.3,4.8,1.2,11.8,8.36
city,Lund,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,2.0,0.0,4.0,2.8
city,Lund,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,2.0,0.0,4.0,2.8
city,Lund,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,2.0,0.0,4.0,2.8
city,Lyon,10,mode_sparse_canonical,Natural sparse/canonical mode,4,40.0,15.4,24.6,3.7,1.2,11.7,7.24
city,Lyon,10,sparse_canonical_identity,Sparse-canonical archetype,2,20.0,6.6,13.4,3.7,1.2,11.7,7.24
city,Lyon,10,no_visible_social_arena,No visible social arena,3,30.0,43.7,-13.7,3.7,1.2,11.7,7.24
city,"Lübeck, Frankfurt",1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,2.0,1.0,12.0,5.4
city,"Lübeck, Frankfurt",1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,2.0,1.0,12.0,5.4
city,"Lübeck, Frankfurt",1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,1.0,12.0,5.4
city,Madrid,2,mode_sparse_canonical,Natural sparse/canonical mode,1,50.0,15.4,34.6,3.5,1.0,13.5,7.2
city,Madrid,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.5,1.0,13.5,7.2
city,Madrid,2,no_visible_social_arena,No visible social arena,1,50.0,43.7,6.3,3.5,1.0,13.5,7.2
city,Mainz,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,1.0,14.0,8.8
city,Mainz,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,1.0,14.0,8.8
city,Mainz,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,1.0,14.0,8.8
city,Messina,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,6.0,0.0,5.0,7.0
city,Messina,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,6.0,0.0,5.0,7.0
city,Messina,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,6.0,0.0,5.0,7.0
city,Milan,2,mode_sparse_canonical,Natural sparse/canonical mode,2,100.0,15.4,84.6,2.0,0.0,8.0,3.6
city,Milan,2,sparse_canonical_identity,Sparse-canonical archetype,1,50.0,6.6,43.4,2.0,0.0,8.0,3.6
city,Milan,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,2.0,0.0,8.0,3.6
city,Naples,4,mode_sparse_canonical,Natural sparse/canonical mode,2,50.0,15.4,34.6,3.5,0.0,9.25,5.35
city,Naples,4,sparse_canonical_identity,Sparse-canonical archetype,2,50.0,6.6,43.4,3.5,0.0,9.25,5.35
city,Naples,4,no_visible_social_arena,No visible social arena,4,100.0,43.7,56.3,3.5,0.0,9.25,5.35
city,Nuremberg,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,3.5,1.5,10.0,7.0
city,Nuremberg,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,3.5,1.5,10.0,7.0
city,Nuremberg,2,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,3.5,1.5,10.0,7.0
city,Osnabrück,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,0.0,12.0,7.4
city,Osnabrück,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,0.0,12.0,7.4
city,Osnabrück,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,5.0,0.0,12.0,7.4
city,Oxford,4,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,4.5,1.75,12.75,8.8
city,Oxford,4,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,4.5,1.75,12.75,8.8
city,Oxford,4,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,4.5,1.75,12.75,8.8
city,"Oxford, London",1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,7.0,3.0,15.0,13.0
city,"Oxford, London",1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,7.0,3.0,15.0,13.0
city,"Oxford, London",1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,7.0,3.0,15.0,13.0
city,Padua,1,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.0,3.0,11.0,10.2
city,Padua,1,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.0,3.0,11.0,10.2
city,Padua,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,5.0,3.0,11.0,10.2
city,Paris,69,mode_sparse_canonical,Natural sparse/canonical mode,4,5.8,15.4,-9.6,3.9,1.25,11.22,7.39
city,Paris,69,sparse_canonical_identity,Sparse-canonical archetype,2,2.9,6.6,-3.7,3.9,1.25,11.22,7.39
city,Paris,69,no_visible_social_arena,No visible social arena,27,39.1,43.7,-4.6,3.9,1.25,11.22,7.39
city,Pesaro,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.5,0.0,13.0,8.1
city,Pesaro,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.5,0.0,13.0,8.1
city,Pesaro,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,5.5,0.0,13.0,8.1
city,Rome,14,mode_sparse_canonical,Natural sparse/canonical mode,3,21.4,15.4,6.0,3.93,0.86,11.64,7.11
city,Rome,14,sparse_canonical_identity,Sparse-canonical archetype,1,7.1,6.6,0.5,3.93,0.86,11.64,7.11
city,Rome,14,no_visible_social_arena,No visible social arena,5,35.7,43.7,-8.0,3.93,0.86,11.64,7.11
city,Rotterdam,4,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,8.75,2.0,13.0,13.35
city,Rotterdam,4,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,8.75,2.0,13.0,13.35
city,Rotterdam,4,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,8.75,2.0,13.0,13.35
city,Rouen,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,6.0,0.5,13.0,9.1
city,Rouen,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,6.0,0.5,13.0,9.1
city,Rouen,2,no_visible_social_arena,No visible social arena,1,50.0,43.7,6.3,6.0,0.5,13.0,9.1
city,"Rouen, Paris",3,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,5.33,0.67,12.33,8.47
city,"Rouen, Paris",3,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,5.33,0.67,12.33,8.47
city,"Rouen, Paris",3,no_visible_social_arena,No visible social arena,1,33.3,43.7,-10.4,5.33,0.67,12.33,8.47
