elements_books_group,count,pct
books_1_6,81,28.3
near_complete_or_expanded,67,23.4
unknown_books,56,19.6
books_1_6_plus_solids,39,13.6
selected_later_books,21,7.3
partial_from_book_1,8,2.8
near_complete_or_expanded_enunciations,7,2.4
books_1_13,5,1.7
mixed_or_other_books,1,0.3
selected_later_books_enunciations,1,0.3
