bucket,classification_key,year,city,language,wardhaugh_classification,elements_books,elements_books_group,additional_content,primary_classes,secondary_classes,rich_claim_text_raw,rich_social_text_raw,metadata_elements_title_page_keys
utility_public_elements,Oxford_1685,1685,Oxford,ENGLISH,CLAVIUS,"1–6, 11–12",books_1_6_plus_solids,,,,"Explain’d | Written | done | purg’d | THE ELEMENTS OF EUCLID | Explain’d, in a new, but most easie method, Together with The Use of every Proposition through all parts of the Mathematicks | purg’d from a multitude of Errors, which had escap’d in the Original | Exccellent Math-ematician | of the So-ciety of JESUS | THE ELEMENTS OF EUCLID | The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",So-ciety of JESUS | Exccellent Math-ematician | of the So-ciety of JESUS,Oxford_1685
utility_public_elements,Madrid_1665,1665,Madrid,SPANISH,COMMANDINO,"5, 7",mixed_or_other_books,,Architecture | Practical Geometry | Theoretical Mathematics,,traduci-dos | aprobadas | Confirmadas | COMPVESTO | QVINTO Y SEPTIMO libros de Euclides | traduci-dos de latín en Romance | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | Bouedas | Pichinas | QVINTO Y SEPTIMO libros de Euclides | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad de Toledo | LAS MEDIDAS DIFICILES DE Bouedas | las superficies y pies cubicos de Pichinas | LAS ORDENAN-ZAS DE La Imperial Ciudad de Toledo | latín | Romance | Euclides,La Imperial Ciudad de Toledo | Villa de Madrid | San Nicolas | DE SAN Nicolas Augustino descalzo Architecto y Maestro de obras natural de la muy noble y coronada Villa de Madrid | MI REDEMPTOR IESV CHRISTO | Bouedas | Pichinas,Madrid_1665
utility_public_elements,Nuremberg_1625,1625,Nuremberg,GERMAN,,1-15,near_complete_or_expanded,,Practical Geometry,Instrument Use,dargegeben | Gedruckt | verlegt | Allen und jeden | EUCLIDIS ELEMENTA PRACTICA | Auszug aller Problematum und Haubarbeiten auß den 15. Büchern Euclidis | Churf. Sächs. Mathematicum und Inspectorn der Kunstkammer zu Dresden | EUCLIDIS ELEMENTA PRACTICA | Teutsche Sprach | EUCLIDIS | Euclidis,Allen und jeden | Kunstkammer zu Dresden | Churf. Sächs. Mathematicum und Inspectorn der Kunstkammer zu Dresden,Nuremberg_1625
institutional_elements,Amsterdam_1616,1616,Amsterdam,DUTCH,DOU,1–6,books_1_6,,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geometrische figueren | bygevouchde nutticheden mette spetien in Geometrische figueren | EVCLIDIS","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",Amsterdam_1616
institutional_elements,Rotterdam_1647,1647,Rotterdam,DUTCH,DOU,1–6,books_1_6,,,Practical Geometry,"bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroyer | De ses eerste Boecken EUCLIDIS | eenige nuttigheden, uyt de selve Boecken getrocken | de Specien in Geometrische figuren, als ’tmaken, veranderen, t’samenvoegen, aftrecken, ver-menigvuldigen ende deelen | de bygevoegde nuttigheden, met de specien in Geometrische figuren | eenige nuttigheden, uyt de selve Boecken getrocken | Specien in Geometrische figuren | bygevoegde nuttigheden, met de specien in Geometrische figuren | EUCLIDIS",alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,Rotterdam_1647 | Utrecht_1647
institutional_elements,Amsterdam_1626,1626,Amsterdam,DUTCH,DOU,1–6,books_1_6,,,Practical Geometry,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | Waer by ghevoecht zijn eenighe nut-ticheden, uyt de selve Boecken ghetrocken; Mitsgaders de Specien in Geometrische figueren, als ’tmaken, veranderen, t’samen-voeghen, af-trecken, vermenichvuldighen, ende deelen | Mitsgaders de byghevoechde nutticheden, mette specien in Geometrische figueren breeder verclaert ende vermeerdert deur den selven Autheur | EVCLIDIS",alle leergierighe liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer,Amsterdam_1626
institutional_elements,Rotterdam_1632,1632,Rotterdam,DUTCH,DOU,1–6,books_1_6,,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien ende verbetert | der stadt Leyden Lant-meter ende Wijnroeyer | De ses eerste Boecken EVCLIDIS | eenighe nut-tigheden | Specien in Geometrische figueren | byghevoeghde nut-tigheden | EVCLIDIS,van alle leergierighe lief hebbers der selver vryer Konste | der stadt Leyden Lant-meter ende Wijnroeyer,Rotterdam_1632
institutional_elements,Leiden_1607,1607,Leiden,DUTCH,DOU,1–6,books_1_6,,Practical Geometry,,"gevoecht | Overgheset | verclaert | uytgheleyt | alle leergierige, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fonda-menten der Geometri | der stadt Leyden Lantmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | by gevoecht sijn eenige nutticheden, uyt de selve Boecken ghetrocken | Mitsgaders de Specien in Geometrische figuren, als ’tmaecken, veranderen, ’t samenvougen, aftrecken, ver-menichvuldigen, ende deelen | Overgheset, verclaert, ende uytgheleyt | EVCLIDIS","alle leergierige, liefhebbers der selver vryer Conste | der stadt Leyden Lantmeter ende Wijnroeyer",Leiden_1607
institutional_elements,Paris_1610,1610,Paris,FRENCH,MAGNIENUS/GRACILIS and DASYPODIUS,1-15,near_complete_or_expanded,,Theoretical Mathematics,,"Traduits | restitués | adioustez | TRADVITS | RESTITVEZ | Reueuë | augmentée | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | ancienne breueté, selon l’ordre de Theon | SECONDE EDITION | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | les quatorze & quinziesme d’Ipsicles Alexandrien | les quatorze & quinziesme d’Ipsicles Alexandrien | Ipsicles Alexandrien | EVCLIDES MEGARIEN | MEGARIEN | EVCLIDES","Academies du Roy | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien",Paris_1610 | Paris_1613
institutional_elements,Oxford_London_1700,1700,"Oxford, London",ENGLISH,CLAVIUS,"1–6, 11–12",books_1_6_plus_solids,,,,"Explain’d | Written in French | Now made English | Errors Corrected | THE ELEMENTS OF EUCLID | Explain’d, In a New, but most Easie Method: Together with The Use of every Proposition through all parts of the Mathematicks | The Third Edition | Now made English, and a multitude of Errors Corrected, which had escap’d in the Original | that Excellent Mathematician | of the Society of JESUS | THE ELEMENTS OF EUCLID | Together with The Use of every Proposition through all parts of the Mathematicks | French | English | EUCLID",Society of JESUS | that Excellent Mathematician | of the Society of JESUS,Oxford_London_1700
institutional_elements,Livorno_1709,1709,Livorno,LATIN,,1-6,books_1_6,,Theoretical Mathematics,,"REFORMATUS | exponuntur | demonstrantur | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | In quo tum alia pleraque, cum præcipuè Rationis, & Proportionis Natura, & proprietates Nova Methodo Clarius, quam antea ab aliis, atque facilius exponuntur, firmiusque, ac evidentius demonstrantur | REFORMATUS | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore | EUCLIDES REFORMATUS, SIVE PLANA, ET SOLIDA GEOMETRIÆ ELEM ENTA OPUS | EUCLIDES",Alma Pisana UNIVERSITATE | REGIÆ CELSITUDINIS FERDINANDI HETRURIÆ PRINCIPIS MATHEMATICO | Ac in Alma Pisana UNIVERSITATE Scientiarum Mechanicarum Professore,Livorno_1709
institutional_elements,London_1789,1789,London,ENGLISH,,"1-6, 11-12",books_1_6_plus_solids,,Theoretical Mathematics,,"CONTAINING | ELEMENTS OF   GEOMETRY | CONTAINING THE PRINCIPAL PROPOSITIONS IN THE FIRST SIX, AND THE ELEVENTH AND TWELFTH BOOKS OF EUCLID | OF THE ROYAL MILITARY ACADEMY, WOOLWICH | ELEMENTS OF   GEOMETRY | WITH NOTES CRITICAL AND EXPLANATORY | EUCLID","THE ROYAL MILITARY ACADEMY, WOOLWICH | OF THE ROYAL MILITARY ACADEMY, WOOLWICH",London_1789
institutional_elements,Paris_1622,1622,Paris,"FRENCH, LATIN",COMMANDINO,1–15,near_complete_or_expanded,,,,"Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Traduicts de Grec en François, et augmentez de plusieurs figures et demonstrations, auec la correction des erreurs commises es autres traductions | Professeur es Mathematiques | QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE",Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de la ROCHEFOVCAVLT,Paris_1622
institutional_elements,Paris_1632a,1632,Paris,FRENCH,COMMANDINO,1–15,near_complete_or_expanded,,,,Traduicts | augmentez | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | seconde edition | Professeur es Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | plusieurs figures et demonstrations | la correction des erreurs commises es autres traductions | Grec | François | D’EVCLIDE,Professeur es Mathematiques | MONSEIGNEVR L’illustrissime & Reuerendissime Cardinal de Lÿon,Paris_1632a
institutional_elements,Paris_1640,1640,Paris,FRENCH,,"10, ?",unknown_books,,Theoretical Mathematics,,"illustré | reduit | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires, & reduit à 62. Propositions | STEVIN | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires | AVEC VN DISCOURS DE LA MANIERE d’expliquer les sciences en François | TRAITE' DES QVANTITEZ INCOMENSVRABLES: OV SONT DECIDEes PLVSIEVRS belles Questions des Nombres Rationaus & Irrationaus | LES ERREVRS DE STEVIN refutées | TRAITE' DES QVANTITEZ INCOMENSVRABLES | LES ERREVRS DE STEVIN | François | EVCLIDE",Meßieurs de L’ACADEMIE FRANCOISE | STEVIN,Paris_1640
elements_without_title_signal,Basel_1570,1570,Basel,"DUTCH, LATIN",,,unknown_books,Geometria,Arithmetic | Music Theory | Theoretical Mathematics,,"recognita | emendatiss | prodeunt | ACCESSERVNT | restituit | illustrauit | descripsit | ANITII MANLII SEVERINI BOETHI, PHILOSOPHORVM ET THEOLOGORVM PRINCIPIS OPERA omnia | præter uniuersæ philosophiæ exactissimam doctrinam, pluri-morum in diuinis mysteriorum, & diiciliorum locorum in Platone, Aristotele alijsque Græcis & Latinis autoribus luculentissimæ expli-cationes | nunc denuò per doctos uiros recognita | primùm emendatiss. in lucem prodeunt | Episcopi Pictauiensis | Ioannis Murmelij | Rodolphi Agricolæ | Gilberti Porretæ | HENRICVS LORITVS GLAREANVS | MAR-TIANVS ROTA | Plato | Gilberti Porretæ, Episcopi Pictauiensis | demonstrationibus & figuris | Ioannis Murmelij in v. Lib. De Consolatione Philosophiæ commentaria | Rodolphi Agricolæ Enarrationes | Gilberti Porretæ, Episcopi Pictauiensis in IIII. Lib. de Trinitate commentarij | HENRICVS LORITVS GLAREANVS, Arithmeticam & Musicam demonstrationibus & figuris auctiorem redditam | MAR-TIANVS ROTA, opus de tota differendi ratione, hoc est, organum, Dialecticæ & Rhetoricæ studiosis necessarium | De Consolatione Philosophiæ | Enarrationes | de Trinitate | Arithmeticam & Musicam | opus de tota differendi ratione","monasterio S. Georgij | Episcopi Pictauiensis | Ioannis Murmelij | Rodolphi Agricolæ | Gilberti Porretæ | HENRICVS LORITVS GLAREANVS | MAR-TIANVS ROTA | Plato | Gilberti Porretæ, Episcopi Pictauiensis",Basel_1570
elements_without_title_signal,Würzburg_1661,1661,Würzburg,LATIN,CLAVIUS,1-6,books_1_6,,,Mechanics,"digesta | disposita | Accesserunt | quivis, vel mediocri præditus ingenio | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATE JESU | SOCIETATIS JESU | Gymnasio Matheseos | REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum ENCYCLOPÆDIA",Würzburg_1661
elements_without_title_signal,Frankfurt_1674,1674,Frankfurt,LATIN,CLAVIUS,1–6,books_1_6,,,Mechanics,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | Libros XXVIII | SIVE ABSOLUTA OMNIUM MATHEMATICARUM DISCIPLINARUM ENCYCLOPÆDIA | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS | Additis Indicibus locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | SOCIETATIS JESU Gymnasio Matheseos | REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS",Frankfurt_1674
elements_without_title_signal,Cologne_1607a,1607,Cologne,LATIN,,,unknown_books,"Introductio harmonica, Sectio canonis",Theoretical Mathematics,,"RECOGNITA | AVCTA | distributa | ADDITVS | EDITA | RECOGNITA NOVISSIME AB EODEM, ET AVCTA, & in duos Tomos distributa | TRIPLEX ADDITVS INDEX | PERMISSV AVCTORIS NVNC PRIMVM IN GERMANIA EDITA | TRIPLEX ADDITVS INDEX",SOCIETATIS IESV BIBLIOTHECA SELECTA | SOCIETATIS IESV BIBLIO-THECAE SELECTÆ,Cologne_1607a
elements_without_title_signal,Basel_1546a,1546,Basel,"DUTCH, LATIN",,,unknown_books,Geometria,Arithmetic | Music Theory,,emendauimus | illustrauit | restituit | Aristoteles | HENRICHVS LORITVS GLAREANVS | MARTIANVS ROTA | Boëthi,monasterio S. Georgij | Aristoteles | HENRICHVS LORITVS GLAREANVS | MARTIANVS ROTA | Boëthi,Basel_1546a
elements_without_title_signal,Bamberg_1677,1677,Bamberg,LATIN,CLAVIUS,1–6,books_1_6,,Theoretical Mathematics,Mechanics,"digesta | disposita | Additis | Accesserunt | quivis, vel mediocri præditus ingenio | REGIS -CURIANI, E SOCIETATE JESU | Additis INDICIBUS locupletissimis | THEORESES MECHANICÆ NOVÆ | THEORESES MECHANICÆ NOVÆ","quivis, vel mediocri præditus ingenio | ejusdem SOCIETATIS IESU Gymnasio Matheseos | REGIS -CURIANI, E SOCIETATE JESU",Bamberg_1677
elements_without_title_signal,Venice_1603,1603,Venice,LATIN,,,unknown_books,"Introductio harmonica, Sectio canonis",Theoretical Mathematics,,"RECOGNITA | AVCTA | distributa | ADDITVS | Mantuani, Societatis Iesu | TRIPLEX  ADDITVS  INDEX | ALTER  LIBRORVM,  ALTER Capitum vniuscuiusq","Societatis Iesu | Mantuani, Societatis Iesu | CLEMENTEM VIII. PONT. MAX",Venice_1603
elements_without_title_signal,RH6KEE,1618,Leiden,FRENCH,,,unknown_books,,Military Engineering,Construction,Descrite | de Bruges,"de Bruges | TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE | DE TRESILLUSTRE. TRES- EXCELLENT PRINCE ET Seigneur MAURICE, par la grace Dieu PRINCE d'Orange, C & c & de Nassau, Catzenellenbogen, Vianden, Dietz, Moors, Bure, Leerdam, Marquis de la Vere, & de Vlissingen, Seigneur & Baron de Breda, &c la Ville de Grave, & du Pays de Cuyck, Dietz, Grinberghen, Arslay, Crainhem, Eindhoven, Lekkerkerk, Niervaert, Turnhout, Propriétaire & Capitaine General de Guelders, Hollande, Zelande, Westfrise, Embden, Utrecht, & Overyffel, &c. Admiral General, &c",1QQS64
elements_without_title_signal,Paris_1634,1634,Paris,"FRENCH, LATIN",HÉRIGONE/BARROW,1-15,near_complete_or_expanded,Data,Theoretical Mathematics,,DEMONSTRATVS | DEMONSTRE | Mathematicien | NOTAS reales & vniuersales | NOTES reelles & vniuerselles,Mathematicien,Paris_1634
elements_without_title_signal,Paris_1644b,1644,Paris,"FRENCH, LATIN",HÉRIGONE/BARROW,1-15,near_complete_or_expanded,Data,Theoretical Mathematics,,DEMONSTRATVS | DEMONSTRÉ | Mathematicien | NOTAS reales & vniuersales | NOTES reelles & vniuerselles,Mathematicien,Paris_1644b
elements_without_title_signal,WWE4ON,1656,Leuven,LATIN,,,unknown_books,,Arithmetic | Theoretical Mathematics,,"ARITHMETICÆ THEORIA ET PRAXIS | ANT.VERPIENSI, E SOCIETATE IESV Matheseos Professore","SOC IETATE IESV | ANT.VERPIENSI, E SOCIETATE IESV Matheseos Professore",WWE4ON
elements_without_title_signal,Amsterdam_1697,1697,Amsterdam,FRENCH,CLAVIUS,"1–6, 11–12",books_1_6_plus_solids,,Arithmetic | Theoretical Mathematics | Trigonometry,,REVUE | CORRIGÉE | un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | NOUVELLE EDITION REVUE ET CORRIGÉE | Professeur des Mathematiques,un homme de Guerre | tous ceux qui se veulent perfectionner dans cette Science | Professeur des Mathematiques,Amsterdam_1697
