field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
period,1550-1599,55,81.8,47.3,87.3,70.9,63.6,20.0,18.2,63.6
period,1600-1649,75,70.7,52.0,85.3,80.0,80.0,29.3,6.7,38.7
period,1650-1699,83,60.2,54.2,83.1,85.5,73.5,32.5,14.5,25.3
period,1700+,40,65.0,55.0,87.5,80.0,75.0,40.0,20.0,30.0
period,pre-1550,32,65.6,37.5,81.2,50.0,46.9,15.6,25.0,25.0
period,unknown,1,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0
