period,n,pedagogical_procedural_pct,pedagogical_procedural_n,composite_workshop_pct,composite_workshop_n,sparse_canonical_pct,sparse_canonical_n,utility_public_pct,utility_public_n,humanist_transfer_pct,humanist_transfer_n,method_access_pct,method_access_n,method_order_pct,method_order_n,accessibility_pct,accessibility_n,utility_practice_pct,utility_practice_n,correction_pct,correction_n,translation_transfer_pct,translation_transfer_n,augmentation_pct,augmentation_n,visual_aids_pct,visual_aids_n,religious_institution_pct,religious_institution_n,pedagogical_school_pct,pedagogical_school_n,learned_scholarly_pct,learned_scholarly_n,professional_practical_pct,professional_practical_n,general_public_pct,general_public_n,no_visible_social_pct,no_visible_social_n,metadata_additional_content_pct,metadata_additional_content_n
1650-1699,83,57.8,48,27.7,23,3.6,3,8.4,7,13.3,11,10.8,9,55.4,46,18.1,15,9.6,8,25.3,21,14.5,12,30.1,25,8.4,7,30.1,25,20.5,17,30.1,25,3.6,3,7.2,6,42.2,35,14.5,12
1600-1649,75,69.3,52,44.0,33,2.7,2,1.3,1,29.3,22,14.7,11,46.7,35,20.0,15,6.7,5,34.7,26,29.3,22,52.0,39,18.7,14,22.7,17,17.3,13,28.0,21,8.0,6,8.0,6,38.7,29,16.0,12
1550-1599,55,47.3,26,32.7,18,3.6,2,1.8,1,47.3,26,1.8,1,30.9,17,9.1,5,1.8,1,9.1,5,50.9,28,40.0,22,14.5,8,18.2,10,20.0,11,32.7,18,1.8,1,5.5,3,49.1,27,32.7,18
1700+,40,57.5,23,30.0,12,15.0,6,10.0,4,12.5,5,17.5,7,45.0,18,25.0,10,15.0,6,25.0,10,12.5,5,37.5,15,17.5,7,15.0,6,45.0,18,40.0,16,2.5,1,5.0,2,37.5,15,2.5,1
pre-1550,32,43.8,14,50.0,16,15.6,5,0.0,0,21.9,7,0.0,0,12.5,4,0.0,0,6.2,2,12.5,4,25.0,8,50.0,16,28.1,9,6.2,2,25.0,8,34.4,11,3.1,1,3.1,1,59.4,19,37.5,12
