mode,classification_key,year,city,language,primary_classes,short_title,rich_claim_text_raw
method_demonstration_order,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
method_demonstration_order,Rotterdam_1681,1681,Rotterdam,DUTCH,,,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieu…"
method_demonstration_order,Rotterdam_1661,1661,Rotterdam,DUTCH,Theoretical Mathematics,,by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Van nieuws ove…
method_demonstration_order,London_1685a,1685,London,ENGLISH,,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Co…"
method_demonstration_order,London_1703,1703,London,ENGLISH,,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Don…
method_demonstration_order,Amsterdam_1700,1700,Amsterdam,FRENCH,Theoretical Mathematics,,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE
method_demonstration_order,Paris_1690,1690,Paris,FRENCH,,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE
accessibility_clarity_pedagogy,Rotterdam_1647,1647,Rotterdam,DUTCH,,,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste…
accessibility_clarity_pedagogy,Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verb…"
accessibility_clarity_pedagogy,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Sim…"
accessibility_clarity_pedagogy,Amsterdam_1626,1626,Amsterdam,DUTCH,,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbe…"
accessibility_clarity_pedagogy,Rotterdam_1632,1632,Rotterdam,DUTCH,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie |…
accessibility_clarity_pedagogy,35H84Y,1642,Bologna,LATIN,Mechanics,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)","traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLI…"
accessibility_clarity_pedagogy,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
accessibility_clarity_pedagogy,bib-284,1687,London,ENGLISH,Arithmetic,,"Added | intermixed | Corrected | Contracted | made | Arithmetick | The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions | Newly Corrected and Contracted, and made more plain and easie | Many RULES and TABLES of Interest, Rebate, and …"
accessibility_clarity_pedagogy,London_1685a,1685,London,ENGLISH,,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Co…"
accessibility_clarity_pedagogy,London_1703,1703,London,ENGLISH,,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Don…
accessibility_clarity_pedagogy,Amsterdam_1700,1700,Amsterdam,FRENCH,Theoretical Mathematics,,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE
accessibility_clarity_pedagogy,Paris_1690,1690,Paris,FRENCH,,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE
utility_practice_application,Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verb…"
utility_practice_application,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Sim…"
utility_practice_application,Amsterdam_1626,1626,Amsterdam,DUTCH,,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbe…"
utility_practice_application,Rotterdam_1632,1632,Rotterdam,DUTCH,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie |…
utility_practice_application,35H84Y,1642,Bologna,LATIN,Mechanics,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)","traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLI…"
utility_practice_application,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
utility_practice_application,bib-284,1687,London,ENGLISH,Arithmetic,,"Added | intermixed | Corrected | Contracted | made | Arithmetick | The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions | Newly Corrected and Contracted, and made more plain and easie | Many RULES and TABLES of Interest, Rebate, and …"
utility_practice_application,Amsterdam_1700,1700,Amsterdam,FRENCH,Theoretical Mathematics,,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE
utility_practice_application,Paris_1690,1690,Paris,FRENCH,,,Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | de la Compagnie de JESUS | LES ELEMENS D’EUCLIDE | D’EUCLIDE
utility_practice_application,bib-215,1653,London,ENGLISH,Gnomonics & Horology | Instrument Use,,"extracted | compil’d | added | Invented | written | Mathematicall RECREATIONS | A Collection of many Problemes, extracted out of the Ancient and Modern Philo­- sophers, as Secrets and Experiments in Arithmetick, Geometry, Cosmographie, Horologiographie, Astro…"
utility_practice_application,YB32U5,1604,Leiden,FRENCH,Perspective,"Perspective c'est a dire, le tresrenommé art du poinct oculaire","Inuenté | pour tous Peintres, Tailleurs en Cuivre, Imaginaires, Orfevres, Architectes, Ingenieurs, Tailleurs de Pierre, Menuisiers, Charpentiers, & tous Amateurs des arts | PERSPECTIVE | C'est a dire, le tresrenommé art du poinct oculaire d'vne veuë dedans où…"
utility_practice_application,bib-218,1634,London,ENGLISH,Arithmetic,,"making | THE PRINCIPLES of Arithmetick | WITH Helpfull Observations, making the Entrance easie, and the Practice pleasant | WITH Helpfull Observations | With new and notable Abridgements | with extraordinarie Helps | some excellent Observations | TEACHING The…"
correction_revision_accuracy,Rotterdam_1647,1647,Rotterdam,DUTCH,,,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste…
