mode,classification_key,year,city,language,primary_classes,short_title,rich_claim_text_raw
correction_revision_accuracy,Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verb…"
correction_revision_accuracy,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Sim…"
correction_revision_accuracy,Amsterdam_1626,1626,Amsterdam,DUTCH,,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbe…"
correction_revision_accuracy,Rotterdam_1632,1632,Rotterdam,DUTCH,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie |…
correction_revision_accuracy,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
correction_revision_accuracy,bib-284,1687,London,ENGLISH,Arithmetic,,"Added | intermixed | Corrected | Contracted | made | Arithmetick | The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions | Newly Corrected and Contracted, and made more plain and easie | Many RULES and TABLES of Interest, Rebate, and …"
correction_revision_accuracy,Rotterdam_1681,1681,Rotterdam,DUTCH,,,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieu…"
correction_revision_accuracy,Rotterdam_1661,1661,Rotterdam,DUTCH,Theoretical Mathematics,,by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Van nieuws ove…
correction_revision_accuracy,London_1685a,1685,London,ENGLISH,,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Co…"
correction_revision_accuracy,London_1703,1703,London,ENGLISH,,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Don…
correction_revision_accuracy,Amsterdam_1700,1700,Amsterdam,FRENCH,Theoretical Mathematics,,EXPLIQUEZ | Reveuë | corrigée | LES ELEMENS D’EUCLIDE | EXPLIQUEZ D’UNE MANIERE nouvelle & tres-facile | AVEC L’USAGE DE CHAQUE Proposition pour toutes les parties des Mathematiques | NOUVELLE EDITION | Reveuë & corrigée | P | LES ELEMENS D’EUCLIDE | EUCLIDE
augmentation_enrichment_composition,Rotterdam_1647,1647,Rotterdam,DUTCH,,,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste…
augmentation_enrichment_composition,Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verb…"
augmentation_enrichment_composition,bib-190,1701,London,ENGLISH,Arithmetic | Commercial Mathematics,,"added | Explain’d | Declared | Handled | Illustrated | digested | delivered | Merchants, and all that would understand ACCOUNTS, or the Mathematical  and Mechanical ARTS and SCIENCES | Body of Arithmetick | WHEREIN THE  Whole Nature of NUMBERS, with their Sim…"
augmentation_enrichment_composition,Amsterdam_1626,1626,Amsterdam,DUTCH,,,"ghevoecht | Overgheset | verclaert | uytgheleyt | over-sien | verbetert | vermeerdert | alle leergierighe liefhebbers der selver vryer Conste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus over-sien, ende verbe…"
augmentation_enrichment_composition,Rotterdam_1632,1632,Rotterdam,DUTCH,Practical Geometry,,ghevoeght | Overgheset | verk-laert | uytgheleyt | oversien | verbetert | byghevoeghde | verklaert | vermeerdert | van alle leergierighe lief hebbers der selver vryer Konste | De ses eerste Boecken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie |…
augmentation_enrichment_composition,35H84Y,1642,Bologna,LATIN,Mechanics,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)","traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLI…"
augmentation_enrichment_composition,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
augmentation_enrichment_composition,bib-284,1687,London,ENGLISH,Arithmetic,,"Added | intermixed | Corrected | Contracted | made | Arithmetick | The perfect Work and Practice of ARITHMETICK both in Whole Numbers & Fractions | Newly Corrected and Contracted, and made more plain and easie | Many RULES and TABLES of Interest, Rebate, and …"
augmentation_enrichment_composition,Rotterdam_1681,1681,Rotterdam,DUTCH,,,"by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fondamenten der Geometrie | Desen laetsten druck, van nieu…"
augmentation_enrichment_composition,Rotterdam_1661,1661,Rotterdam,DUTCH,Theoretical Mathematics,,by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde | alle leer-gierige Liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Van nieuws ove…
augmentation_enrichment_composition,London_1685a,1685,London,ENGLISH,,,"Explained | Demonstrated | Done out of | Corrected | Augmented | Illustrated | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most easie Method. With the USES of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Done out of FRENCH, Co…"
augmentation_enrichment_composition,London_1703,1703,London,ENGLISH,,,Explained | Demonstrated | Corrected | Augmented | Illustrated | Done | THE ELEMENTS OF EUCLID | Explained and Demonstrated in a New and most Easy Method | With the Uses of each PROPOSI-TION In all the Parts of the MATHEMATICKS | Corrected and Augmented | Don…
translation_vernacularization_transfer,Rotterdam_1647,1647,Rotterdam,DUTCH,,,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste…
translation_vernacularization_transfer,Amsterdam_1616,1616,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verb…"
translation_vernacularization_transfer,35H84Y,1642,Bologna,LATIN,Mechanics,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)","traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLI…"
translation_vernacularization_transfer,ustc-26,1627,Paris,FRENCH,Arithmetic | Construction | Instrument Use | Military Engineering | Practical Geometry | Trigonometry,Mémoires mathématiques recueillis et dressez en faveur de la noblesse françoise. Premier [-second] volume,"reueuë | corrigée | augmentée | EN FAVEVR DE LA NOBLESSE FRANÇOISE | MEMOIRES MATHEMATIQVES | De l’Arithmetique militaire ; Conſtruction des tables des Sinus, chanzes & Coupantes ; Doctrine des triangles Recitilignes ; Pratique de diuers problemes Geometrique…"
