field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
format_group,18,1,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0
format_group,6,5,40.0,40.0,100.0,60.0,40.0,20.0,40.0,20.0
format_group,duodecimo,30,60.0,60.0,90.0,90.0,76.7,40.0,16.7,20.0
format_group,folio,54,85.2,55.6,81.5,75.9,72.2,22.2,9.3,38.9
format_group,missing/unknown,18,50.0,50.0,72.2,55.6,55.6,27.8,33.3,22.2
format_group,octavo,111,69.4,50.5,91.0,78.4,79.3,27.9,15.3,34.2
format_group,quarto,67,65.7,43.3,77.6,74.6,58.2,29.9,11.9,53.7
