wardhaugh_classification,n,metric,count,pct,elements_overall_pct,delta
MISSING,88,claim_method_demonstration_order,24,27.3,42.0,-14.7
FOIX,9,claim_translation_vernacularization_transfer,1,11.1,26.2,-15.1
ZAMBERTI/GRYNAEUS (THEON),20,composite_workshop_book,4,20.0,35.7,-15.7
ZAMBERTI/GRYNAEUS (THEON),20,procedural_pedagogical_identity,8,40.0,57.0,-17.0
TACQUET,11,composite_workshop_book,2,18.2,35.7,-17.5
CLAVIUS,61,metadata_has_additional_content,1,1.6,19.2,-17.6
DՃTAPLES,7,Geometry/Theory,3,42.9,62.6,-19.7
DOU,13,no_visible_social_arena,3,23.1,43.7,-20.6
ZAMBERTI/GRYNAEUS (THEON),20,claim_augmentation_enrichment_composition,4,20.0,40.9,-20.9
TACQUET,11,claim_augmentation_enrichment_composition,2,18.2,40.9,-22.7
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_method_demonstration_order,7,18.4,42.0,-23.5
FOIX,9,claim_method_demonstration_order,1,11.1,42.0,-30.8
