subject_family,n_primary_family,feature,count,pct
Cosmos/Earth,80,editor_name,63,78.8
Cosmos/Earth,80,educational_authorities_references,14,17.5
Cosmos/Earth,80,elements_designation,16,20.0
Cosmos/Earth,80,enriched_with,39,48.8
Cosmos/Earth,80,institutions,29,36.2
Cosmos/Earth,80,location_in_imprint,65,81.2
Cosmos/Earth,80,origin_language,3,3.8
Cosmos/Earth,80,printing_privilege,2,2.5
Cosmos/Earth,80,publisher_in_imprint,63,78.8
Cosmos/Earth,80,references_to_euclid,14,17.5
Cosmos/Earth,80,FAMILY:identity,41,51.2
Cosmos/Earth,80,FAMILY:authority,73,91.2
Cosmos/Earth,80,FAMILY:transformation,54,67.5
Cosmos/Earth,80,FAMILY:addition,48,60.0
Cosmos/Earth,80,FAMILY:community,43,53.8
Cosmos/Earth,80,FAMILY:imprint,68,85.0
Applied Mechanics/Military,57,action_verbs,40,70.2
Applied Mechanics/Military,57,audience,19,33.3
Applied Mechanics/Military,57,base_content,20,35.1
Applied Mechanics/Military,57,bound_with,14,24.6
Applied Mechanics/Military,57,bound_with_minimal,14,24.6
Applied Mechanics/Military,57,content_description,21,36.8
Applied Mechanics/Military,57,date_in_imprint,49,86.0
Applied Mechanics/Military,57,dedicatee_name,12,21.1
Applied Mechanics/Military,57,description_of_euclid,0,0.0
Applied Mechanics/Military,57,destination_language,3,5.3
Applied Mechanics/Military,57,edition_details,16,28.1
Applied Mechanics/Military,57,editor_description,36,63.2
Applied Mechanics/Military,57,editor_name,43,75.4
Applied Mechanics/Military,57,educational_authorities_references,5,8.8
Applied Mechanics/Military,57,elements_designation,5,8.8
Applied Mechanics/Military,57,enriched_with,23,40.4
Applied Mechanics/Military,57,institutions,19,33.3
Applied Mechanics/Military,57,location_in_imprint,48,84.2
Applied Mechanics/Military,57,origin_language,1,1.8
Applied Mechanics/Military,57,printing_privilege,6,10.5
Applied Mechanics/Military,57,publisher_in_imprint,47,82.5
Applied Mechanics/Military,57,references_to_euclid,5,8.8
Applied Mechanics/Military,57,FAMILY:identity,20,35.1
Applied Mechanics/Military,57,FAMILY:authority,48,84.2
Applied Mechanics/Military,57,FAMILY:transformation,40,70.2
Applied Mechanics/Military,57,FAMILY:addition,32,56.1
Applied Mechanics/Military,57,FAMILY:community,37,64.9
Applied Mechanics/Military,57,FAMILY:imprint,50,87.7
Music,18,action_verbs,12,66.7
Music,18,audience,3,16.7
Music,18,base_content,8,44.4
Music,18,bound_with,5,27.8
