field,value,n,composite/apparatus,corrected/updated,humanist/ancient,institutional/authority,pedagogical/method,practical/public,sparse/canonical,vernacular/transfer
metadata_has_additional_content,False,231,61.0,48.1,85.3,76.6,70.1,31.2,16.5,34.6
metadata_has_additional_content,True,55,100.0,60.0,83.6,76.4,70.9,16.4,10.9,47.3
