subject_family,feature,n_in,pct_in,pct_out,delta
Geometry/Theory,dedicatee_name,424,21.2,17.7,3.6
Geometry/Theory,description_of_euclid,424,7.1,3.8,3.3
Geometry/Theory,destination_language,424,14.9,11.9,2.9
Geometry/Theory,date_in_imprint,424,85.6,83.5,2.1
Geometry/Theory,origin_language,424,10.8,8.8,2.0
Geometry/Theory,has_imprint,424,90.1,88.3,1.8
Geometry/Theory,audience,424,25.0,23.6,1.4
Geometry/Theory,location_in_imprint,424,84.2,83.8,0.4
Geometry/Theory,printing_privilege,424,4.7,4.3,0.4
Geometry/Theory,institutions,424,29.2,29.8,-0.6
Geometry/Theory,publisher_in_imprint,424,81.8,83.5,-1.7
Instruments/Measurement,audience,104,39.4,22.2,17.2
Instruments/Measurement,editor_name,104,86.5,75.1,11.4
Instruments/Measurement,enriched_with,104,51.0,40.2,10.8
Instruments/Measurement,date_in_imprint,104,93.3,83.4,9.9
Instruments/Measurement,has_addition,104,56.7,48.6,8.2
Instruments/Measurement,editor_description,104,64.4,56.6,7.9
Instruments/Measurement,location_in_imprint,104,90.4,83.1,7.3
Instruments/Measurement,content_description,104,48.1,41.5,6.5
Instruments/Measurement,has_community,104,61.5,55.6,5.9
Instruments/Measurement,publisher_in_imprint,104,87.5,82.0,5.5
Instruments/Measurement,has_imprint,104,93.3,88.6,4.6
Instruments/Measurement,action_verbs,104,69.2,66.0,3.2
Instruments/Measurement,has_authority,104,90.4,87.7,2.7
Instruments/Measurement,printing_privilege,104,5.8,4.3,1.4
Instruments/Measurement,has_transformation,104,69.2,68.3,0.9
Instruments/Measurement,dedicatee_name,104,20.2,19.4,0.8
Instruments/Measurement,edition_details,104,32.7,33.7,-1.0
Instruments/Measurement,description_of_euclid,104,3.8,5.7,-1.8
Instruments/Measurement,bound_with_minimal,104,17.3,19.9,-2.6
Instruments/Measurement,bound_with,104,17.3,20.2,-2.9
Instruments/Measurement,educational_authorities_references,104,11.5,15.2,-3.6
Instruments/Measurement,origin_language,104,4.8,10.6,-5.7
Instruments/Measurement,institutions,104,21.2,30.7,-9.6
Instruments/Measurement,destination_language,104,3.8,14.7,-10.9
Instruments/Measurement,base_content,104,49.0,67.1,-18.1
Instruments/Measurement,has_identity,104,49.0,67.8,-18.8
Instruments/Measurement,references_to_euclid,104,7.7,38.6,-30.9
Instruments/Measurement,elements_designation,104,6.7,40.2,-33.5
Music,institutions,18,38.9,29.3,9.6
Music,bound_with_minimal,18,27.8,19.4,8.4
Music,bound_with,18,27.8,19.6,8.1
Music,has_authority,18,94.4,87.9,6.6
Music,educational_authorities_references,18,16.7,14.7,2.0
Music,editor_name,18,77.8,76.5,1.3
Music,action_verbs,18,66.7,66.4,0.2
Music,has_transformation,18,66.7,68.5,-1.8
Music,destination_language,18,11.1,13.5,-2.3
Music,origin_language,18,5.6,9.9,-4.4
Music,printing_privilege,18,0.0,4.6,-4.6
Music,publisher_in_imprint,18,77.8,82.8,-5.0
Music,description_of_euclid,18,0.0,5.6,-5.6
Music,edition_details,18,27.8,33.7,-5.9
Music,location_in_imprint,18,77.8,84.1,-6.3
Music,has_community,18,50.0,56.5,-6.5
Music,audience,18,16.7,24.5,-7.8
Music,dedicatee_name,18,11.1,19.6,-8.5
Music,has_addition,18,38.9,49.8,-10.9
Music,has_imprint,18,77.8,89.5,-11.7
Music,editor_description,18,44.4,57.8,-13.4
Music,date_in_imprint,18,66.7,85.0,-18.3
Music,references_to_euclid,18,16.7,35.2,-18.5
Music,enriched_with,18,22.2,41.9,-19.7
Music,elements_designation,18,16.7,36.5,-19.8
Music,content_description,18,22.2,42.8,-20.6
Music,base_content,18,44.4,65.3,-20.9
Music,has_identity,18,44.4,65.9,-21.5
Visual/Spatial Arts,audience,110,33.6,22.9,10.7
Visual/Spatial Arts,printing_privilege,110,12.7,3.3,9.5
Visual/Spatial Arts,has_community,110,60.0,55.8,4.2
