portfolio_kind,name,total_representative_cases,metadata_elements_cases,non_elements_cases,elements_share_pct,cities,languages_first,formats,periods,elements_bookgroups,primary_subject_families,elements_keys,non_elements_keys,elements_only_claims,non_elements_only_claims,shared_claims,elements_only_social,non_elements_only_social,shared_social,claim_method_demonstration_order_elements_pct,claim_method_demonstration_order_non_elements_pct,claim_accessibility_clarity_pedagogy_elements_pct,claim_accessibility_clarity_pedagogy_non_elements_pct,claim_utility_practice_application_elements_pct,claim_utility_practice_application_non_elements_pct,claim_correction_revision_accuracy_elements_pct,claim_correction_revision_accuracy_non_elements_pct,claim_augmentation_enrichment_composition_elements_pct,claim_augmentation_enrichment_composition_non_elements_pct,claim_translation_vernacularization_transfer_elements_pct,claim_translation_vernacularization_transfer_non_elements_pct,claim_ancient_authority_restoration_elements_pct,claim_ancient_authority_restoration_non_elements_pct,claim_visual_material_aids_elements_pct,claim_visual_material_aids_non_elements_pct,claim_selection_extraction_abridgment_elements_pct,claim_selection_extraction_abridgment_non_elements_pct,pedagogical_school_arena_elements_pct,pedagogical_school_arena_non_elements_pct,court_state_service_arena_elements_pct,court_state_service_arena_non_elements_pct,military_fortification_arena_elements_pct,military_fortification_arena_non_elements_pct,professional_practical_arena_elements_pct,professional_practical_arena_non_elements_pct,religious_institutional_arena_elements_pct,religious_institutional_arena_non_elements_pct,learned_scholarly_arena_elements_pct,learned_scholarly_arena_non_elements_pct,general_public_lovers_arena_elements_pct,general_public_lovers_arena_non_elements_pct,patronage_prestige_arena_elements_pct,patronage_prestige_arena_non_elements_pct,no_visible_social_arena_elements_pct,no_visible_social_arena_non_elements_pct,sparse_canonical_identity_elements_pct,sparse_canonical_identity_non_elements_pct,procedural_pedagogical_identity_elements_pct,procedural_pedagogical_identity_non_elements_pct,composite_workshop_book_elements_pct,composite_workshop_book_non_elements_pct,utility_public_book_elements_pct,utility_public_book_non_elements_pct,humanist_transfer_book_elements_pct,humanist_transfer_book_non_elements_pct,method_access_book_elements_pct,method_access_book_non_elements_pct
split_person,Juan de la Rocha,1,1,0,100.0,Madrid,SPANISH,2,1650-1699,"5, 7",Geometry/Theory | Visual/Spatial Arts,Madrid_1665,,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer; claim_utility_practice_application,,,patronage_prestige_arena; professional_practical_arena,,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,
split_person,Jörg Glockendon,1,0,1,0.0,Nuremberg,GERMAN,2,pre-1550,,Visual/Spatial Arts,,XXI4KS,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Karl Friedrich Hauber,1,1,0,100.0,Berlin,GREEK,8,1700+,1-6,No primary family,Berlin_1824,,claim_ancient_authority_restoration; claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer; claim_visual_material_aids,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,100.0,,0.0,,100.0,,0.0,
split_person,Kaspar Peucer,1,0,1,0.0,Heidelberg,LATIN,8,1550-1599,,Geometry/Theory | Arithmetic/Commerce | Music,,YUHFFF,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Leonardo Achati,1,1,0,100.0,Vicenza,LATIN,2,pre-1550,1–15,No primary family,Vicenza_1491,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Leonardo Fioravanti,1,1,0,100.0,Naples,LATIN,8,1650-1699,1–6,No primary family,Naples_1679,,claim_ancient_authority_restoration,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Levinus Hulsius,1,0,1,0.0,Frankfurt,GERMAN,,1600-1649,,Geometry/Theory | Instruments/Measurement,,bib-103,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Li Zhizao,1,1,0,100.0,Beijing,CHINESE,,1600-1649,1–6,Geometry/Theory,Beijing_1629,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
split_person,Lorenz Stör,1,0,1,0.0,Augsburg,GERMAN,2,1550-1599,,Geometry/Theory | Visual/Spatial Arts,,K7DERJ,,,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Lorenzo Sirigatti,1,0,1,0.0,Venice,ITALIAN,2,1550-1599,,Visual/Spatial Arts,,GGD02E,,,,,court_state_service_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Lucas Tremblay,1,0,1,0.0,Paris,FRENCH,8,1550-1599,,Arithmetic/Commerce,,TJONV6,,claim_augmentation_enrichment_composition; claim_translation_vernacularization_transfer,,,no_visible_social_arena,,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0
split_person,Luigi Colliado,1,0,1,0.0,Milan,ITALIAN,,1600-1649,,Applied Mechanics/Military,,bib-149,,,,,professional_practical_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
split_person,Luis Carducci,1,1,0,100.0,Alcala,DUTCH,4,1600-1649,1–6,No primary family,Alcala_1637,,claim_ancient_authority_restoration; claim_translation_vernacularization_transfer,,,court_state_service_arena; learned_scholarly_arena; patronage_prestige_arena,,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,100.0,,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,100.0,,0.0,
