language_first,n,pedagogical_procedural_pct,pedagogical_procedural_n,composite_workshop_pct,composite_workshop_n,sparse_canonical_pct,sparse_canonical_n,utility_public_pct,utility_public_n,humanist_transfer_pct,humanist_transfer_n,method_access_pct,method_access_n,method_order_pct,method_order_n,accessibility_pct,accessibility_n,utility_practice_pct,utility_practice_n,correction_pct,correction_n,translation_transfer_pct,translation_transfer_n,augmentation_pct,augmentation_n,visual_aids_pct,visual_aids_n,religious_institution_pct,religious_institution_n,pedagogical_school_pct,pedagogical_school_n,learned_scholarly_pct,learned_scholarly_n,professional_practical_pct,professional_practical_n,general_public_pct,general_public_n,no_visible_social_pct,no_visible_social_n,metadata_additional_content_pct,metadata_additional_content_n
LATIN,139,57.6,80,36.0,50,7.2,10,0.0,0,18.7,26,4.3,6,39.6,55,10.8,15,2.2,3,22.3,31,20.9,29,41.0,57,12.9,18,30.2,42,25.9,36,34.5,48,1.4,2,2.2,3,46.0,64,25.9,36
FRENCH,53,67.9,36,47.2,25,1.9,1,7.5,4,35.8,19,17.0,9,45.3,24,22.6,12,9.4,5,35.8,19,37.7,20,58.5,31,15.1,8,17.0,9,11.3,6,30.2,16,5.7,3,11.3,6,37.7,20,18.9,10
DUTCH,21,61.9,13,47.6,10,4.8,1,0.0,0,33.3,7,23.8,5,71.4,15,28.6,6,19.0,4,47.6,10,33.3,7,47.6,10,38.1,8,9.5,2,38.1,8,19.0,4,19.0,4,42.9,9,19.0,4,9.5,2
ENGLISH,20,85.0,17,40.0,8,5.0,1,25.0,5,20.0,4,35.0,7,65.0,13,45.0,9,30.0,6,25.0,5,20.0,4,45.0,9,10.0,2,25.0,5,35.0,7,40.0,8,10.0,2,0.0,0,30.0,6,5.0,1
GREEK,16,31.2,5,37.5,6,0.0,0,0.0,0,50.0,8,0.0,0,18.8,3,0.0,0,0.0,0,0.0,0,50.0,8,37.5,6,12.5,2,6.2,1,18.8,3,37.5,6,0.0,0,0.0,0,62.5,10,25.0,4
GERMAN,13,38.5,5,7.7,1,7.7,1,15.4,2,0.0,0,0.0,0,23.1,3,0.0,0,15.4,2,0.0,0,0.0,0,15.4,2,38.5,5,0.0,0,23.1,3,30.8,4,0.0,0,0.0,0,53.8,7,0.0,0
ITALIAN,12,33.3,4,8.3,1,16.7,2,0.0,0,41.7,5,8.3,1,33.3,4,16.7,2,0.0,0,8.3,1,41.7,5,8.3,1,16.7,2,0.0,0,8.3,1,8.3,1,0.0,0,0.0,0,75.0,9,8.3,1
SPANISH,6,50.0,3,16.7,1,0.0,0,33.3,2,33.3,2,0.0,0,33.3,2,16.7,1,33.3,2,0.0,0,33.3,2,16.7,1,0.0,0,0.0,0,16.7,1,66.7,4,16.7,1,0.0,0,16.7,1,16.7,1
