natural_dominant_mode,n,sparse_canonical_pct,sparse_canonical_n,pedagogical_method_pct,pedagogical_method_n,vernacular_transfer_pct,vernacular_transfer_n,institutional_authority_pct,institutional_authority_n,composite_apparatus_pct,composite_apparatus_n,practical_public_pct,practical_public_n,corrected_updated_pct,corrected_updated_n,humanist_ancient_pct,humanist_ancient_n,avg_mode_count
institutional-composite,113,9.7,11,77.9,88,43.4,49,100.0,113,100.0,113,0.9,1,62.8,71,90.3,102,4.85
practical-pedagogical,72,0.0,0,100.0,72,36.1,26,90.3,65,84.7,61,100.0,72,62.5,45,95.8,69,5.69
pedagogical/method,29,13.8,4,100.0,29,6.9,2,58.6,17,31.0,9,0.0,0,41.4,12,79.3,23,3.31
humanist/vernacular transfer,23,30.4,7,52.2,12,100.0,23,52.2,12,26.1,6,8.7,2,39.1,9,100.0,23,4.09
sparse/canonical,21,100.0,21,0.0,0,9.5,2,19.0,4,4.8,1,9.5,2,4.8,1,85.7,18,2.33
low-signal/other,12,0.0,0,0.0,0,8.3,1,0.0,0,0.0,0,8.3,1,8.3,1,0.0,0,0.25
institutional/authority,8,0.0,0,0.0,0,12.5,1,100.0,8,0.0,0,37.5,3,25.0,2,50.0,4,2.25
composite/apparatus,6,16.7,1,0.0,0,33.3,2,0.0,0,100.0,6,0.0,0,33.3,2,33.3,2,2.17
ancient/canonical,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,1,100.0,2,1.5
