classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
Venice_1565,1565,Venice,LATIN,Theoretical Mathematics,EVCLIDE MEGARENSE PHILOSOPHO | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO SOLO INTRODVTTORE DELLE SCIENTIE MATHEMATICE | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO,EVCLIDE MEGARENSE PHILOSOPHO | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO SOLO INTRODVTTORE DELLE SCIENTIE MATHEMATICE | EVCLIDE MEGARENSE ACVTISSIMO PHILOSOPHO,EVCLIDE
Venice_1575,1575,Venice,LATIN,Theoretical Mathematics,Opuscula Mathematica,,
Venice_1641,1641,Venice,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS
WHEESV,1600,Pesaro,LATIN,Perspective,PERSPECTIVAE LIBRI SEX,,
WWE4ON,1656,Leuven,LATIN,Arithmetic | Theoretical Mathematics,ARITHMETICÆ THEORIA ET PRAXIS,,
Wittenberg_1609,1609,Wittenberg,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORUM LIBRI XIII,EVCLIDIS ELEMENTORUM LIBRI XIII,EVCLIDIS
Wittenberg_1661,1661,Wittenberg,LATIN,Theoretical Mathematics,EUCLIDIS ELEMENTORUM LIBRI XIII,EUCLIDIS ELEMENTORUM LIBRI XIII,EUCLIDIS
XP5WU4,1573,Bordeaux,LATIN,Arithmetic,DE LOGISTICA,,
YCXMIJ,1565,Paris,FRENCH,Mechanics,"DEVX LIVRES DE PROCLVS, DV MOVVE- MENT",,
YQDZSW,1565,Paris,FRENCH,Mechanics,LE PREMIER LIVRE D'ARCHIMEDE DES CHOSES EGALEMENT PESANTES,,
YSF4K5,1613,Antwerp,LATIN,Perspective,OPTICORVM LIBRI SEX,,
YUHFFF,1591,Heidelberg,LATIN,Arithmetic | Music Theory | Theoretical Mathematics,"ARITHME- TICÆ, MUSICÆ ET GEOMETRIÆ COM- PENDIA",,
ZGOHUR,1581,Rome,LATIN,Gnomonics & Horology,GNOMONICES LIBRI OCTO,,
ZN24V0,1543,Nuremberg,GERMAN,Architecture | Perspective | Practical Geometry,GEOMETRIA,,
ZNLALU,1560,Paris,FRENCH,Arithmetic,L'ARITHMETIQVE de Gemme Phrison,,
ZQA6JR,1669,Rome,LATIN,,ELEMENTA GEOMETRIAE PLANAE,ELEMENTA GEOMETRIAE PLANAE,
ZYVGSH,1662,Oxford,LATIN,Theoretical Mathematics,ELEMENTI DECIMI EUCLIDIS,ELEMENTI DECIMI EUCLIDIS,EUCLIDIS
bib-1,1542,Paris,FRENCH,Practical Geometry,Liure singulier & vti- le,,
bib-102,1652,Jena,GERMAN,,Teutscher EuCLIDES,ELEMENTEN,Eu- CLIDES
bib-104,1681,Rome,LATIN,,tribus Libris Euclidis,tribus Libris Euclidis,Euclidis
bib-110,1692,Paris,FRENCH,Practical Geometry,ELEMENS DE GEOMETRIE,ELEMENS DE GEOMETRIE,Euclide
bib-111,1682,Paris,FRENCH,Practical Geometry,PRATIQUE DE LA GEOMETRIE,,
bib-113,1690,Paris,FRENCH,,TRAITÉ DE GEOMETRIE,,
bib-120,1648,London,LATIN,Arithmetic | Theoretical Mathematics,decimi elementi Euclidis,decimi elementi Euclidis,Euclidis
bib-122,1689,Naples,LATIN,,EXERCITATIONES,,
bib-124,1624,Rome,ITALIAN,Practical Geometry,gli elementi d’Euclide,gli elementi d’Euclide,Euclide
bib-125,1691,Rome,ITALIAN,Practical Geometry,gl’elementi d’Euclide,gl’elementi d’Euclide,Euclide
bib-126,1667,Rome,ITALIAN,Practical Geometry,gl’elementi d’Euclide,gl’elementi d’Euclide,Euclide
bib-128,1580,Basel,LATIN,Arithmetic | Practical Geometry | Theoretical Mathematics,GEOMETRIAE SEPTEM ET VIGINTI,,
bib-129,1569,Basel,LATIN,Arithmetic,GEOMETRIAE SEPTEM ET VIGINTI,GEOMETRIAE SEPTEM ET VIGINTI,
bib-130,1627,Frankfurt,LATIN,Arithmetic,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,ARITHMETICAE LIBRI DUO ET GEOMETRIAE SEPTEM ET VIGINTI,
bib-134,1641,Nuremberg,GERMAN,Practical Geometry,GEOME-TRIÆ PRACTICÆ NOVÆ ET AUCTÆ,,
bib-138,1641,Louvain,LATIN,,ANNVS POSITIONVM MATHEMATICARVM,,
bib-144,1668,Paris,LATIN,Astronomy | Theoretical Mathematics,LEXICON MATHEMATICUM ASTRONOMICUM GEOMETRICUM,,
bib-145,1678,Madrid,SPANISH,Practical Geometry | Theoretical Mathematics,EVCLIDES NVEVO-ANTIGVO,EVCLIDES NVEVO-ANTIGVO,EVCLIDES
bib-146,1671,Valencia,SPANISH,Practical Geometry | Theoretical Mathematics,"GEOMETRIA ESPECVLATIVA, Y PRATICA DE LOS PLANOS, Y SOLIDOS",,
bib-15,1554,Lyon,FRENCH,Arithmetic,L’ARITHMETI-QUE DE IAQVES,,
bib-152,1583,Venice,ITALIAN,Construction | Military Engineering,DELLA FORTIFICATIONE DELLE CITTA,,
bib-16,1572,Paris,FRENCH,Practical Geometry,"DE VSVO GEOME TRIÆ, LIBER VNVS",,
bib-169,1552,Paris,FRENCH,Astronomy | Cosmography | Geography,L’SPHERE DU MON- DE,,
bib-17,1573,Paris,FRENCH,Practical Geometry,DE L’VSAGE DE GEOMETRIE,,
bib-175,1505,Paris,LATIN,,Primum volumen Contemplationum,,
bib-179,1641,Haarlem,DUTCH,Arithmetic | Commercial Mathematics,ARITHMETICA,,
bib-18,1568,Salamanca,SPANISH,Astronomy | Instrument Use | Practical Geometry,OBRA INTITVLADA FRAGMENTOS MATHEMATICOS,,
bib-180,1628,Rotterdam,DUTCH,Arithmetic | Commercial Mathematics,ARITHMETICA,,
bib-182,1626,Leiden,LATIN,Arithmetic | Military Engineering | Trigonometry,ARITHMETICÆ LIBRI DUO | GEOMETRIA  LIB. VI,GEOMETRIA  LIB. VI,
bib-189,1615,Leiden,DUTCH,Arithmetic | Theoretical Mathematics | Trigonometry,DE   Arithmetische en Geometrische   fondamenten,,
bib-19,1583,Alcala,SPANISH,Practical Geometry | Theoretical Mathematics,TRATADO DE GEO metria,,
bib-20,1599,Rome,ITALIAN,Practical Geometry,Elementi d’Euclide,Elementi d’Euclide,Euclide
bib-203,1690,Utrecht,DUTCH,Arithmetic,t KONSTIGH CYFFER-BOEK,,
bib-212,1603,Amsterdam,DUTCH,Arithmetic | Commercial Mathematics,Arithmetica,,
bib-224,1520,Augsburg,GERMAN,Arithmetic,Rechenbüchlein mitt den Zyffern,,
bib-225,1518,Augsburg,GERMAN,Arithmetic,Rechenbüchlein,,
bib-227,1700,"Paris, Brussels",FRENCH,,"PRATIQUE CURIEUSE, OU LES ORACLES DES SIBYLLES",,
bib-231,1694,The Hague,FRENCH,,"PRATIQUE CURIEUSE, OU LES ORACLES DES SIBYLLES",,
bib-232,1527,Nuremberg,LATIN,Arithmetic,Rudimenta arithmetices,,
bib-24,1575,Bordeaux,LATIN,Theoretical Mathematics,"ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS","ELEMENTI QVINCTI, ET SEXTI, EVCLIDIS",EVCLIDIS
bib-254,1591,Cologne,LATIN,,THESAVRVS PRINCIPVM,,
bib-255,1574,Cologne,LATIN,Cosmography,COSMOGRAPHIA,,
bib-258,1585,Leiden,DUTCH,Arithmetic,DE THIENDE,,
bib-262,1582,Antwerp,FRENCH,Arithmetic,L’ARITHMETIQUE  de Gemme Phrison,,
bib-263,1558,Paris,FRENCH,Arithmetic,L'arithmetique,,
bib-266,1563,Antwerp,FRENCH,Arithmetic,ARITHMETIQVE,,
bib-269,1625,Leiden,FRENCH,Arithmetic,L'ARITHMETIQVE,,
bib-270,1668,Vlissingen,DUTCH,Arithmetic | Commercial Mathematics,PACHT-TAFELEN,,
bib-272,1654,Paris,FRENCH,,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,LES DIX LIVRES DES THEOREMES GEOMETRIQVES,
bib-276,1560,Padua,LATIN,Practical Geometry | Theoretical Mathematics,PRIMUM EUCLIDIS Elementorum librum,PRIMUM EUCLIDIS Elementorum librum,EUCLIDIS
bib-28,1576,Paris,FRENCH,Perspective,LEÇONS DE PERSPECTIVE POSITIVE,,
bib-30,1627,Zurich,GERMAN,Practical Geometry | Theoretical Mathematics,"Geometriae, Theoricae Et Practicae. XII. Bücher","Geometriae, Theoricae Et Practicae. XII. Bücher",Euclidis
bib-31,1646,Zurich,GERMAN,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher,14. Bücher,Euclidis
bib-32,1605,London,ENGLISH,,Tvvoo Bookes of FRANCIS BACON,,
bib-33,1564,Venice,ITALIAN,Perspective | Practical Geometry | Surveying,le vere regole d’Euclide,,d’Euclide
bib-34,1567,Venice,ITALIAN,,RAGIONAMENTI ACCADEMICI,,
bib-45,1587,Venice,ITALIAN,Arithmetic | Cosmography | Gnomonics & Horology | Practical Geometry,OPERE DI ORONTIO FINEO DEL DELFINATO,,
bib-47,1561,Paris,FRENCH,Cartography | Instrument Use | Practical Geometry | Surveying,ET DESCRIPTION DE L’HOLOMETRE,,
bib-49,1567,Paris,FRENCH,Instrument Use | Practical Geometry | Surveying,L’HOLOMETRE,,
bib-51,1643,Paris,FRENCH,Navigation,HYDROGRAPHIE,,
bib-53,1684,Basel,GERMAN,Practical Geometry | Surveying,"Compendium Geometriæ Practicæ, sive, PLANIMETRIA",,
bib-55,1652,Paris,FRENCH,Perspective,LA PERSPECTIVE CVRIEVSE,,
bib-59,1594,Leiden,LATIN,Practical Geometry,CYCLOMETRICA ELEMENTA DUO,CYCLOMETRICA ELEMENTA DUO,
bib-62,1618,Nuremberg,GERMAN,Practical Geometry,GEOMETRIAE PRACTICAE NOVAE,,
bib-63,1605,Leiden,LATIN,Practical Geometry,TOMVS SECVNDVS MATHEMATICORVM HYPOMNEMATVM DE GEOMETRIAE PRAXI,,
bib-64,1579,Paris,LATIN,Practical Geometry | Theoretical Mathematics,CANON MATHEMATICVS,,
bib-68,1615,Paris,LATIN,Theoretical Mathematics,AD ANGVLARIVM SECTIONVM ANALYTICEN,,
bib-71,1567,Venice,LATIN,Architecture,DE ARCHITECTVRA LIBRI DECEM,,
bib-72,1613,Herborn,LATIN,Architecture | Arithmetic | Astronomy | Cosmography | Geography,Novem libros Matheseos universae,,
bib-74,1684,London,ENGLISH,,THE ELEMENTS,THE ELEMENTS,
bib-75,1646,Zurich,GERMAN,Practical Geometry | Surveying | Theoretical Mathematics,GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher,GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher,Euclidis
bib-84,1673,Cremona,ITALIAN,Construction | Practical Geometry,LE DVE PRIME PARTI DELLA GEOMETRIA FAMIGLIARE D’ALESSANDRO CAPRA ARCHITETTO CREMONESE,,
bib-85,1685,Bologna,ITALIAN,Arithmetic | Instrument Construction | Instrument Use,FABRICA ET USO Del Compasso di Proportione,,
bib-87,1584,Brescia,ITALIAN,Practical Geometry | Surveying,DELL’ARTE DEL MISURARE LIBRI DVE,,
bib-9,1544,Strasbourg,LATIN,Practical Geometry,LIBER DE GEOMETRIA PRACTICA,EVCLIDIS elementis,EVCLIDIS
bib-91,1563,Venice,ITALIAN,Arithmetic | Practical Geometry | Theoretical Mathematics,Libro di Arithmetica & Geometria,,
bib-93,1603,Venice,ITALIAN,Arithmetic | Commercial Mathematics | Practical Geometry | Surveying,PRATICA D’ARITHMETICA E GEOMETRIA,,
bib-96,1675,Caen,LATIN,,COSMOGRAPHIA,,
ustc-13,1639,Paris,FRENCH,Mechanics,EXAMEN DU LIVRE DES RECREATIONS MATHEMATIQVES,,
ustc-15,1630,Paris,FRENCH,Practical Geometry | Surveying,LA GEOMETRIE PRATIQVE DES LIGNES DES SVPERFICIES ET DES CORPS,,
ustc-2,1613,Paris,FRENCH,Arithmetic,L'ARITHMETIQVE,,
ustc-21,1624,Paris,FRENCH,Arithmetic | Theoretical Mathematics,L’VSAGE DE LA REIGLE DE PROPORTION,,
ustc-27,1632,Paris,FRENCH,Arithmetic | Commercial Mathematics,ARITHMETIQVE MEMORIALE,,
ustc-29,1602,Paris,FRENCH,Practical Geometry,LA GEOMETRIE ET PRACTIQVE GENERALLE D'ICELLE,,
ustc-3,1617,Paris,FRENCH,Theoretical Mathematics | Trigonometry,TRAICTE' DES TRIANGLES SPHERIQVES,,
ustc-31,1613,Paris,FRENCH,Arithmetic,L'ARITHMETIQVE DE NICOLAS TARTAGLIA BRESCIAN,,
ustc-32,1578,Paris,FRENCH,Arithmetic,L'ARITHMETIQVE DE NICOLAS TARTAGLIA BRESCIAN,,
ustc-39,1621,Paris,FRENCH,Practical Geometry,LA GEOMETRIE ET PRATIQUE GENERALE D'ICELLE,,
ustc-45,1634,Paris,FRENCH,,"LES QVESTIONS THEOLOGIQVES. PHYSIQVES, MORALES, ET MATHEMATIQVES",,
ustc-46,1638,Paris,FRENCH,Arithmetic | Commercial Mathematics,ARITHMETIQVE AVX IETTONS,,
ustc-47,1630,Paris,FRENCH,Theoretical Mathematics,NOVVELLE ALGEBRE DE FRANÇOIS VIETE,,
ustc-48,1630,Paris,FRENCH,Theoretical Mathematics,L'ALGBRE NOVVELLE DE Mr. VIETE Mr DES REQVESTES,,
ustc-49,1630,Paris,FRENCH,Theoretical Mathematics,LES CINQ LIVRES DES ZETETIQVES DE FRANCOIS VIETTE,,
ustc-5,1634,Paris,FRENCH,,"LES QVESTIONS THEOLOGIQVES. PHYSIQVES, MORALES, ET  MATHEMATIQVES",,
ustc-58,1620,Paris,FRENCH,Practical Geometry,QVATRE LIVRES,QVATRE LIVRES,
ustc-60,1623,Paris,FRENCH,Theoretical Mathematics,Elemens Geometriques d'Euclide,Elemens Geometriques d'Euclide,d'Euclide
ustc-7,1639,Paris,FRENCH,Instrument Use,LA FLEVR DES PRATIQVES DV COMPAS DE PROPORTION,,
