group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
1550-1599,8.9,10.0,2.8,6.7,1.7,50.6,40.0,5.6,16.1
1600-1649,8.4,13.9,7.1,8.7,5.6,5.3,4.6,17.6,18.3
1650-1699,4.9,10.8,4.9,5.4,6.9,3.9,3.4,13.3,13.8
1700+,16.4,21.8,16.4,10.9,12.7,0.0,0.0,27.3,27.3
pre-1550,11.1,12.3,1.2,0.0,2.5,38.3,32.1,9.9,16.0
unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
