subject,Architects/builders,Artisans/visual trades,Civic/collective patron,Civic/state institution,Ecclesiastical patron,Engineer/practitioner,Engineering/military schools,General readers/lovers,Jesuit,Math professor/lecturer,Mathematicians/scholars,Merchants/commercial,Military users,Named private patron,Nobility/court audience,Noble patron,Other religious orders,Religious identity,Royal official,Royal/court institution,Royal/princely patron,Students/learners,Surveyors/engineers,Universities/academies
Applied Mechanics/Military,0.0,1.8,1.8,0.0,0.0,5.3,1.8,10.5,5.3,10.5,1.8,1.8,3.5,21.1,5.3,5.3,0.0,3.5,21.1,5.3,3.5,0.0,1.8,5.3
Arithmetic/Commerce,0.0,0.7,0.0,0.0,0.0,1.4,0.0,4.9,3.5,8.3,0.7,0.7,1.4,10.4,2.8,2.1,0.0,1.4,3.5,1.4,1.4,2.8,1.4,2.1
Cosmos/Earth,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.2,6.2,0.0,0.0,0.0,15.0,0.0,0.0,1.2,2.5,7.5,5.0,2.5,1.2,1.2,3.8
Geometry/Theory,0.0,0.0,0.5,0.5,0.9,2.1,0.2,6.6,4.5,7.8,0.7,0.0,1.4,21.2,0.9,3.1,0.2,2.8,6.1,1.9,3.5,2.4,1.7,1.7
Instruments/Measurement,0.0,2.9,0.0,0.0,0.0,2.9,0.0,7.7,3.8,10.6,2.9,1.9,1.0,20.2,1.0,2.9,1.0,2.9,12.5,1.9,6.7,1.0,6.7,1.0
Music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,11.1,0.0,0.0,5.6,5.6,0.0,5.6,0.0,11.1,0.0,0.0
Visual/Spatial Arts,0.0,0.0,0.9,0.0,0.0,3.6,0.9,10.0,0.9,2.7,0.9,0.0,0.9,21.8,2.7,1.8,2.7,4.5,2.7,0.9,4.5,0.0,0.9,1.8
