group,ancient_humanist_scholia,any_commentary_split,clavius_jesuit_commentary,contracted_or_extracted_commentary,notes_annotations_observations,pedagogical_explanation,scholia_general
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duodecimo,3.3,53.3,13.3,13.3,0.0,33.3,3.3
folio,20.4,38.9,1.9,0.0,7.4,11.1,5.6
missing/unknown,11.1,16.7,0.0,0.0,5.6,5.6,0.0
octavo,9.9,28.8,3.6,0.9,5.4,10.8,4.5
quarto,16.4,29.9,1.5,0.0,7.5,11.9,7.5
