group,ancient_humanist_scholia,any_commentary_split,clavius_jesuit_commentary,contracted_or_extracted_commentary,notes_annotations_observations,pedagogical_explanation,scholia_general
composite/apparatus,16.7,33.3,0.0,0.0,33.3,16.7,0.0
humanist/vernacular transfer,30.4,30.4,0.0,0.0,0.0,4.3,0.0
institutional-composite,17.7,39.8,7.1,2.7,8.0,9.7,10.6
institutional/authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low-signal/other,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pedagogical/method,10.3,27.6,0.0,6.9,3.4,10.3,0.0
practical-pedagogical,6.9,41.7,2.8,0.0,5.6,29.2,2.8
sparse/canonical,0.0,0.0,0.0,0.0,0.0,0.0,0.0
