group,demonstration_adapted_to_capacity,demonstration_any,demonstration_easy_clear,demonstration_new,demonstration_order_method,proposition_and_demonstration,proposition_any,proposition_explanation_commentary,proposition_ordering_reduction,proposition_selection_extraction,proposition_use_application
1550-1599,0.0,14.5,1.8,0.0,0.0,3.6,12.7,0.0,1.8,3.6,1.8
1600-1649,2.7,25.3,5.3,0.0,1.3,2.7,4.0,1.3,1.3,0.0,0.0
1650-1699,0.0,27.7,14.5,2.4,2.4,1.2,15.7,8.4,0.0,0.0,7.2
1700+,0.0,15.0,5.0,5.0,10.0,0.0,12.5,5.0,0.0,0.0,5.0
pre-1550,0.0,6.2,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0
