group,demonstration_adapted_to_capacity,demonstration_any,demonstration_easy_clear,demonstration_new,demonstration_order_method,proposition_and_demonstration,proposition_any,proposition_explanation_commentary,proposition_ordering_reduction,proposition_selection_extraction,proposition_use_application
composite/apparatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humanist/vernacular transfer,0.0,8.7,0.0,0.0,0.0,0.0,8.7,0.0,0.0,4.3,0.0
institutional-composite,0.0,26.5,5.3,0.0,0.9,2.7,4.4,0.0,0.0,0.0,0.9
institutional/authority,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low-signal/other,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0
pedagogical/method,0.0,41.4,13.8,3.4,3.4,3.4,24.1,3.4,3.4,3.4,0.0
practical-pedagogical,2.8,19.4,12.5,4.2,6.9,1.4,19.4,12.5,1.4,0.0,11.1
sparse/canonical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
