group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duodecimo,7.9,7.9,0.0,5.3,5.3,2.6,2.6,7.9,7.9
folio,18.1,17.0,3.2,3.2,3.2,23.4,18.1,18.1,23.4
missing/unknown,3.8,12.2,7.8,5.3,5.3,21.3,17.5,13.1,16.8
octavo,20.2,17.7,5.6,16.1,7.3,1.6,1.6,21.0,21.0
quarto,7.5,7.5,0.9,6.6,4.7,19.8,16.0,8.5,12.3
