group,demonstration_adapted_to_capacity,demonstration_any,demonstration_easy_clear,demonstration_new,demonstration_order_method,proposition_and_demonstration,proposition_any,proposition_explanation_commentary,proposition_ordering_reduction,proposition_selection_extraction,proposition_use_application
Clavius,0.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Commandino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dechales/Reeve/Williams,0.0,12.5,12.5,12.5,12.5,0.0,68.8,56.2,0.0,0.0,50.0
Dou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henrion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other / no major cluster,0.9,21.3,7.6,0.4,2.2,1.8,6.7,0.4,0.9,0.9,0.4
Tacquet,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
