group,Access/clarity/pedagogy,Ancient authority/restoration,Any named deductive part,Augmentation/composition,Canonical/textual identity,Completeness/system,Correction/revision,Demonstrations/proofs,Figures/diagrams,General readers/lovers,Jesuit,Math professor/lecturer,Method/demonstration/order,Military users,Novelty/modernity,Operations/constructions,Problems,Propositions,Scholia/commentary,Selection/extraction,Students/learners,Surveyors/engineers,Translation/transfer,Universities/academies,Utility/practice/application,Visual aids
books_1_13,20.0,100.0,60.0,20.0,100.0,20.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
books_1_6,12.3,82.7,63.0,42.0,87.7,6.2,22.2,24.7,12.3,0.0,7.4,6.2,48.1,0.0,12.3,1.2,1.2,1.2,9.9,32.1,11.1,0.0,21.0,0.0,6.2,13.6
books_1_6_plus_solids,35.9,97.4,61.5,25.6,97.4,20.5,30.8,12.8,2.6,20.5,33.3,15.4,64.1,7.7,23.1,0.0,0.0,35.9,0.0,17.9,2.6,0.0,2.6,2.6,28.2,10.3
near_complete_or_expanded,13.4,92.5,61.2,55.2,94.0,34.3,34.3,34.3,13.4,3.0,4.5,14.9,49.3,0.0,3.0,0.0,1.5,9.0,23.9,10.4,0.0,0.0,41.8,1.5,1.5,25.4
near_complete_or_expanded_enunciations,57.1,85.7,42.9,57.1,85.7,57.1,14.3,0.0,0.0,0.0,14.3,14.3,0.0,0.0,0.0,0.0,0.0,28.6,0.0,28.6,0.0,0.0,57.1,14.3,0.0,0.0
partial_from_book_1,12.5,62.5,87.5,50.0,62.5,25.0,37.5,12.5,0.0,0.0,0.0,0.0,25.0,0.0,12.5,0.0,0.0,25.0,25.0,25.0,0.0,0.0,12.5,0.0,0.0,0.0
selected_later_books,0.0,81.0,42.9,23.8,85.7,4.8,4.8,19.0,0.0,4.8,0.0,9.5,38.1,0.0,4.8,4.8,0.0,4.8,14.3,4.8,0.0,0.0,23.8,0.0,4.8,9.5
unknown_books,10.7,64.3,48.2,39.3,71.4,7.1,10.7,8.9,1.8,0.0,3.6,3.6,19.6,0.0,5.4,1.8,3.6,5.4,17.9,10.7,0.0,0.0,32.1,3.6,5.4,19.6
