subject,marker,count,denominator,pct
Cosmos/Earth,Named private patron,12,80,15.0
Applied Mechanics/Military,Students/learners,0,57,0.0
Applied Mechanics/Military,General readers/lovers,6,57,10.5
Applied Mechanics/Military,Mathematicians/scholars,1,57,1.8
Applied Mechanics/Military,Artisans/visual trades,1,57,1.8
Applied Mechanics/Military,Architects/builders,0,57,0.0
Applied Mechanics/Military,Surveyors/engineers,1,57,1.8
Applied Mechanics/Military,Military users,2,57,3.5
Applied Mechanics/Military,Merchants/commercial,1,57,1.8
Applied Mechanics/Military,Nobility/court audience,3,57,5.3
Applied Mechanics/Military,Universities/academies,3,57,5.3
Applied Mechanics/Military,Jesuit,3,57,5.3
Applied Mechanics/Military,Other religious orders,0,57,0.0
Applied Mechanics/Military,Royal/court institution,3,57,5.3
Applied Mechanics/Military,Civic/state institution,0,57,0.0
Applied Mechanics/Military,Engineering/military schools,1,57,1.8
Applied Mechanics/Military,Math professor/lecturer,6,57,10.5
Applied Mechanics/Military,Royal official,12,57,21.1
Applied Mechanics/Military,Religious identity,2,57,3.5
Applied Mechanics/Military,Engineer/practitioner,3,57,5.3
Applied Mechanics/Military,Royal/princely patron,2,57,3.5
Applied Mechanics/Military,Noble patron,3,57,5.3
Applied Mechanics/Military,Ecclesiastical patron,0,57,0.0
Applied Mechanics/Military,Civic/collective patron,1,57,1.8
Applied Mechanics/Military,Named private patron,12,57,21.1
Music,Students/learners,2,18,11.1
Music,General readers/lovers,0,18,0.0
Music,Mathematicians/scholars,0,18,0.0
Music,Artisans/visual trades,0,18,0.0
Music,Architects/builders,0,18,0.0
Music,Surveyors/engineers,0,18,0.0
Music,Military users,0,18,0.0
Music,Merchants/commercial,0,18,0.0
Music,Nobility/court audience,0,18,0.0
Music,Universities/academies,0,18,0.0
Music,Jesuit,2,18,11.1
Music,Other religious orders,1,18,5.6
Music,Royal/court institution,1,18,5.6
Music,Civic/state institution,0,18,0.0
Music,Engineering/military schools,0,18,0.0
Music,Math professor/lecturer,0,18,0.0
Music,Royal official,0,18,0.0
Music,Religious identity,1,18,5.6
Music,Engineer/practitioner,0,18,0.0
Music,Royal/princely patron,0,18,0.0
Music,Noble patron,0,18,0.0
Music,Ecclesiastical patron,0,18,0.0
Music,Civic/collective patron,0,18,0.0
Music,Named private patron,2,18,11.1
