feature,pc1_loading,pc2_loading,pc1_abs,pc2_abs
mode_pedagogical_method,0.3393869410060832,-0.05332339530451798,0.3393869410060832,0.05332339530451798
has_any_deductive_part,0.2825556745108593,-0.16992822521586387,0.2825556745108593,0.16992822521586387
mode_composite_apparatus,0.252913554601103,0.009632899790359058,0.252913554601103,0.009632899790359058
claim_method_demonstration_order,0.23842989223839947,-0.17658303116843221,0.23842989223839947,0.17658303116843221
claim_ancient_authority_restoration,0.2356440110037479,0.355112317021117,0.2356440110037479,0.355112317021117
mode_institutional_authority,0.23261131154059075,0.010940756420464368,0.23261131154059075,0.010940756420464368
mode_corrected_updated,0.23145686562225232,0.048734839131244705,0.23145686562225232,0.048734839131244705
claim_augmentation_enrichment_composition,0.2293129191508579,-0.05461652199427878,0.2293129191508579,0.05461652199427878
mode_humanist_ancient,0.22611836755111342,0.35649218116291226,0.22611836755111342,0.35649218116291226
claim_canonical_textual_identity,0.2218590073800678,0.2998336013103094,0.2218590073800678,0.2998336013103094
claim_correction_revision_accuracy,0.20989943058678232,-0.04547846168721253,0.20989943058678232,0.04547846168721253
claim_visual_material_aids,0.2051582365155654,0.10483672733159959,0.2051582365155654,0.10483672733159959
mode_sparse_canonical,-0.19947865996470504,0.22602163902361844,0.19947865996470504,0.22602163902361844
claim_accessibility_clarity_pedagogy,0.18641634719501365,-0.13862956005085753,0.18641634719501365,0.13862956005085753
mode_practical_public,0.1845571123931327,-0.19975893196445418,0.1845571123931327,0.19975893196445418
part_figures_diagrams,0.1767034590572013,0.05268488577517815,0.1767034590572013,0.05268488577517815
claim_novelty_modernity_invention,0.1610716517504606,-0.15683758631664863,0.1610716517504606,0.15683758631664863
part_demonstrations_proofs,0.15418851772257636,-0.03419118730561048,0.15418851772257636,0.03419118730561048
part_scholia_commentary,0.14691805442892233,0.1381903449663043,0.14691805442892233,0.1381903449663043
claim_utility_practice_application,0.13080260774319893,-0.18007130295582754,0.13080260774319893,0.18007130295582754
claim_selection_extraction_abridgment,0.11098256089046554,-0.11824766233456997,0.11098256089046554,0.11824766233456997
part_propositions,0.1079788225813148,-0.13018575164067328,0.1079788225813148,0.13018575164067328
inst_jesuit,0.07940132768377657,-0.18859818112627777,0.07940132768377657,0.18859818112627777
role_mathematics_professor_lecturer,0.07763659943302914,-0.0005927499566364631,0.07763659943302914,0.0005927499566364631
mode_vernacular_transfer,0.0679752936769216,0.32936189364913565,0.0679752936769216,0.32936189364913565
claim_translation_vernacularization_transfer,0.06649020380633389,0.34295828795306943,0.06649020380633389,0.34295828795306943
claim_completeness_totality_system,0.0566672065190975,0.014177352776515379,0.0566672065190975,0.014177352776515379
aud_students_learners,0.04918995364358569,-0.1536696442180494,0.04918995364358569,0.1536696442180494
aud_military_users,-0.04056807949316286,-0.052338565621218185,0.04056807949316286,0.052338565621218185
aud_general_readers_lovers,-0.019038637894164136,-0.04694223658907255,0.019038637894164136,0.04694223658907255
inst_universities_academies_colleges,0.01803596497390914,-0.05498057940076825,0.01803596497390914,0.05498057940076825
part_problems,0.015293537570120698,-0.1775067324256731,0.015293537570120698,0.1775067324256731
part_operations_constructions,0.00917823732081809,-0.1709263256677967,0.00917823732081809,0.1709263256677967
