group,demonstration_adapted_to_capacity,demonstration_any,demonstration_easy_clear,demonstration_new,demonstration_order_method,proposition_and_demonstration,proposition_any,proposition_explanation_commentary,proposition_ordering_reduction,proposition_selection_extraction,proposition_use_application
6,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duodecimo,3.3,26.7,10.0,6.7,6.7,0.0,33.3,20.0,0.0,0.0,16.7
folio,0.0,11.1,1.9,0.0,0.0,3.7,5.6,0.0,0.0,0.0,1.9
missing/unknown,0.0,22.2,16.7,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0
octavo,0.9,21.6,7.2,0.0,1.8,0.9,10.8,1.8,0.9,1.8,1.8
quarto,0.0,22.4,4.5,1.5,3.0,3.0,6.0,3.0,1.5,0.0,1.5
