group,n,explicit Euclid/book identity,ancient authority/restoration,method/demonstration/order,access/clarity/pedagogy,utility/practice/application,correction/revision,augmentation/composition,translation/transfer,visual aids,students/learners,general readers/lovers,universities/academies,Jesuit,math professor/lecturer,professional/practical arena,no visible social arena
folio,54,75.9,75.9,29.6,5.6,9.3,18.5,57.4,29.6,27.8,5.6,1.9,0.0,7.4,1.9,3.7,46.3
quarto,67,85.1,76.1,38.8,13.4,9.0,7.5,32.8,31.3,9.0,1.5,6.0,1.5,3.0,9.0,7.5,41.8
octavo,111,91.0,90.1,49.5,15.3,6.3,33.3,41.4,30.6,18.9,5.4,5.4,0.0,7.2,14.4,4.5,41.4
duodecimo,30,96.7,90.0,53.3,40.0,13.3,30.0,46.7,10.0,6.7,0.0,0.0,10.0,26.7,3.3,0.0,30.0
6,5,80.0,100.0,20.0,20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0
18,1,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0
missing/unknown,18,83.3,72.2,33.3,16.7,0.0,16.7,22.2,5.6,5.6,0.0,0.0,5.6,5.6,11.1,0.0,66.7
