reason,edition_id,feature_id,feature_name,source_id,source_revision,source_name,value,properties
possible_audience_purpose_in_enriched_with,Amsterdam_1626,enriched_with,Enriched With,exec_8gqxt5,9e1d8f80-7c1a-4b7d-a001-000000000008,llm,"Overgheset, verclaert, ende uytgheleyt, tot vorderinghe, ende oeffeninghe, van alle leergierighe liefhebbers der selver vryer Conste",
possible_audience_purpose_in_enriched_with,Rotterdam_1661,enriched_with,Enriched With,exec_upg5ho,9e1d8f80-7c1a-4b7d-a001-000000000008,llm,vorderinge ende oeffeninge,
