scope_type,scope_value,prompt,manual_rows,exact,covered_exact,unknown,related_precision,related_recall,true_related,false_related,missed_related,unknown_when_related
classification,Gnomonics & Horology,llm_Value_3,142,88.0%,97.7%,9.9%,66.7%,100.0%,6,3,0,0
classification,Gnomonics & Horology,llm_Value_4,142,92.3%,97.8%,5.6%,66.7%,100.0%,6,3,0,0
classification,Instrument Construction,llm_Value_1,142,69.7%,85.3%,18.3%,18.8%,60.0%,3,13,2,0
classification,Instrument Construction,llm_Value_3,142,69.7%,83.2%,16.2%,15.0%,60.0%,3,17,1,1
classification,Instrument Construction,llm_Value_4,142,71.8%,86.4%,16.9%,13.3%,40.0%,2,13,2,1
classification,Instrument Use,llm_Value_1,142,66.2%,79.7%,16.9%,16.0%,66.7%,4,21,2,0
classification,Instrument Use,llm_Value_3,142,67.6%,78.7%,14.1%,14.3%,66.7%,4,24,1,1
classification,Instrument Use,llm_Value_4,142,69.0%,79.0%,12.7%,14.3%,66.7%,4,24,1,1
classification,Mechanics,llm_Value_1,142,82.4%,89.3%,7.7%,33.3%,85.7%,6,12,0,1
classification,Mechanics,llm_Value_3,142,80.3%,87.7%,8.5%,35.0%,100.0%,7,13,0,0
classification,Mechanics,llm_Value_4,142,86.6%,91.8%,5.6%,41.2%,100.0%,7,10,0,0
classification,Military Engineering,llm_Value_1,142,89.4%,94.1%,4.9%,78.6%,84.6%,11,3,2,0
classification,Military Engineering,llm_Value_3,142,87.3%,92.5%,5.6%,71.4%,76.9%,10,4,3,0
classification,Military Engineering,llm_Value_4,142,89.4%,93.4%,4.2%,70.6%,92.3%,12,5,1,0
classification,Music Theory,llm_Value_1,142,93.7%,98.5%,4.9%,66.7%,100.0%,4,2,0,0
classification,Music Theory,llm_Value_3,142,93.0%,98.5%,5.6%,66.7%,100.0%,4,2,0,0
classification,Music Theory,llm_Value_4,142,95.1%,99.3%,4.2%,80.0%,100.0%,4,1,0,0
classification,Navigation,llm_Value_1,142,91.5%,97.7%,6.3%,66.7%,50.0%,2,1,1,1
classification,Navigation,llm_Value_3,142,88.0%,97.7%,9.9%,100.0%,25.0%,1,0,3,0
classification,Navigation,llm_Value_4,142,90.8%,97.0%,6.3%,40.0%,50.0%,2,3,0,2
classification,Perspective,llm_Value_1,142,84.5%,94.5%,10.6%,80.0%,95.2%,20,5,1,0
classification,Perspective,llm_Value_3,142,83.1%,92.9%,10.6%,74.1%,95.2%,20,7,1,0
classification,Perspective,llm_Value_4,142,87.3%,93.9%,7.0%,74.1%,95.2%,20,7,1,0
classification,Practical Geometry,llm_Value_1,142,52.1%,61.7%,15.5%,51.2%,88.0%,44,42,1,5
classification,Practical Geometry,llm_Value_3,142,52.1%,59.2%,12.0%,52.2%,94.0%,47,43,0,3
classification,Practical Geometry,llm_Value_4,142,52.8%,59.5%,11.3%,50.0%,88.0%,44,44,1,5
classification,Surveying,llm_Value_1,142,71.8%,85.7%,16.2%,50.0%,100.0%,13,13,0,0
classification,Surveying,llm_Value_3,142,73.9%,86.1%,14.1%,44.4%,92.3%,12,15,0,1
classification,Surveying,llm_Value_4,142,76.1%,85.7%,11.3%,50.0%,100.0%,13,13,0,0
classification,Theoretical Mathematics,llm_Value_1,142,41.5%,48.0%,13.4%,17.8%,86.7%,13,60,0,2
classification,Theoretical Mathematics,llm_Value_3,142,36.6%,43.0%,14.8%,16.5%,86.7%,13,66,0,2
classification,Theoretical Mathematics,llm_Value_4,142,42.3%,50.4%,16.2%,19.4%,86.7%,13,54,1,1
classification,Trigonometry,llm_Value_1,142,52.8%,77.3%,31.7%,8.7%,100.0%,2,21,0,0
classification,Trigonometry,llm_Value_3,142,50.7%,75.8%,33.1%,8.0%,100.0%,2,23,0,0
classification,Trigonometry,llm_Value_4,142,52.8%,79.8%,33.8%,9.5%,100.0%,2,19,0,0
