group,demonstration_adapted_to_capacity,demonstration_any,demonstration_easy_clear,demonstration_new,demonstration_order_method,proposition_and_demonstration,proposition_any,proposition_explanation_commentary,proposition_ordering_reduction,proposition_selection_extraction,proposition_use_application
books_1_13,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
books_1_6,2.5,23.5,2.5,0.0,0.0,1.2,1.2,0.0,0.0,0.0,1.2
books_1_6_plus_solids,0.0,12.8,10.3,7.7,10.3,0.0,35.9,23.1,0.0,0.0,20.5
near_complete_or_expanded,0.0,32.8,9.0,1.5,3.0,3.0,9.0,0.0,1.5,1.5,0.0
near_complete_or_expanded_enunciations,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0
partial_from_book_1,0.0,12.5,12.5,0.0,12.5,0.0,25.0,0.0,0.0,0.0,0.0
selected_later_books,0.0,19.0,4.8,0.0,0.0,4.8,4.8,0.0,0.0,0.0,0.0
unknown_books,0.0,8.9,5.4,0.0,0.0,1.8,5.4,1.8,1.8,1.8,0.0
