group,Any named deductive part,Axioms/common notions,Corollaries,Definitions,Demonstrations/proofs,Enunciations,Examples,Figures/diagrams,Notes/observations,Operations/constructions,Paradoxes,Principles,Problems,Propositions,Scholia/commentary,Theorems
Metadata Elements,57.7,0.3,1.0,1.4,21.0,2.8,1.0,7.3,3.8,1.0,0.0,9.4,1.4,10.1,13.6,5.9
Non-Elements,34.8,0.2,0.2,0.4,7.5,0.0,2.2,7.7,5.0,4.1,0.4,3.1,3.8,4.5,6.5,3.8
