group,ancient_humanist_scholia,any_commentary_split,clavius_jesuit_commentary,contracted_or_extracted_commentary,notes_annotations_observations,pedagogical_explanation,scholia_general
books_1_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
books_1_6,6.2,30.9,3.7,6.2,6.2,14.8,2.5
books_1_6_plus_solids,2.6,38.5,0.0,0.0,2.6,33.3,0.0
near_complete_or_expanded,17.9,34.3,9.0,0.0,6.0,1.5,11.9
near_complete_or_expanded_enunciations,0.0,28.6,14.3,0.0,0.0,14.3,0.0
partial_from_book_1,12.5,25.0,0.0,0.0,12.5,0.0,0.0
selected_later_books,28.6,38.1,0.0,0.0,4.8,9.5,4.8
unknown_books,19.6,30.4,0.0,0.0,7.1,14.3,5.4
