group,Access/clarity/pedagogy,Ancient authority/restoration,Any named deductive part,Augmentation/composition,Canonical/textual identity,Completeness/system,Correction/revision,Demonstrations/proofs,Figures/diagrams,General readers/lovers,Jesuit,Math professor/lecturer,Method/demonstration/order,Military users,Novelty/modernity,Operations/constructions,Problems,Propositions,Scholia/commentary,Selection/extraction,Students/learners,Surveyors/engineers,Translation/transfer,Universities/academies,Utility/practice/application,Visual aids
composite/apparatus,0.0,16.7,33.3,33.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0
humanist/vernacular transfer,0.0,100.0,21.7,8.7,100.0,21.7,4.3,8.7,0.0,8.7,0.0,0.0,21.7,0.0,0.0,0.0,0.0,8.7,0.0,4.3,0.0,0.0,78.3,0.0,0.0,0.0
institutional-composite,0.0,88.5,66.4,56.6,88.5,18.6,28.3,26.5,9.7,2.7,12.4,11.5,45.1,0.0,6.2,0.0,0.0,4.4,23.0,11.5,2.7,0.0,32.7,0.9,0.0,26.5
institutional/authority,0.0,50.0,0.0,0.0,50.0,0.0,25.0,0.0,0.0,37.5,0.0,37.5,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low-signal/other,0.0,0.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0
pedagogical/method,0.0,79.3,79.3,17.2,93.1,20.7,17.2,44.8,0.0,0.0,6.9,3.4,79.3,0.0,3.4,0.0,0.0,24.1,0.0,24.1,10.3,0.0,3.4,3.4,0.0,0.0
practical-pedagogical,62.5,95.8,79.2,61.1,100.0,16.7,36.1,20.8,13.9,4.2,11.1,12.5,56.9,0.0,26.4,4.2,5.6,19.4,18.1,41.7,5.6,0.0,22.2,4.2,30.6,20.8
sparse/canonical,0.0,85.7,4.8,0.0,100.0,9.5,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0
