group,n,sparse authoritative,pedagogical/method,vernacular transfer,institutional authority,composite apparatus,practical/public,corrected/updated,humanist/ancient
folio,54,9.3,72.2,38.9,75.9,85.2,22.2,55.6,81.5
quarto,67,11.9,58.2,53.7,74.6,65.7,29.9,43.3,77.6
octavo,111,15.3,79.3,34.2,78.4,69.4,27.9,50.5,91.0
duodecimo,30,16.7,76.7,20.0,90.0,60.0,40.0,60.0,90.0
6,5,40.0,40.0,20.0,60.0,40.0,20.0,40.0,100.0
18,1,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
missing/unknown,18,33.3,55.6,22.2,55.6,50.0,27.8,50.0,72.2
