group,ancient_humanist_scholia,any_commentary_split,clavius_jesuit_commentary,contracted_or_extracted_commentary,notes_annotations_observations,pedagogical_explanation,scholia_general
Metadata Elements,12.6,32.2,3.5,1.7,5.6,12.9,4.9
Non-Elements,1.4,13.8,1.1,0.0,6.6,5.6,0.2
