group,figures as ancient/learned apparatus,figures as edition furnishing,figures as practical operation,figures as proof apparatus,figures as visual pedagogy,metadata diagrams,metadata diagrams but no visual claim,visual claim but no metadata diagrams,visual title claim
metadata Elements,17.5,14.7,3.1,9.8,5.6,3.1,2.8,17.5,17.8
non-Elements,3.8,11.7,7.0,5.2,5.0,24.8,20.1,12.0,16.7
