cluster_key,item_count,earliest_year,latest_year,year_span,city_count,cities,language_count,languages,authors_editors,items
253787,2,1505,1510,5,1,Venice,1,LATIN,Bartolomeo Zamberti,Venice_1505 | Venice_1510
6FAA21,2,1505,1510,5,1,Venice,1,LATIN,Bartolomeo Zamberti,Venice_1505 | Venice_1510
C3FKBW,2,1505,1510,5,1,Venice,1,LATIN,Bartolomeo Zamberti,Venice_1505 | Venice_1510
7BZII3,2,1607,1611,4,1,Beijing,1,CHINESE,"Xu Guangqi, Matteo Ricci",Beijing_1607 | Beijing_1611
2E80DC,2,1610,1613,3,1,Paris,1,FRENCH,Didier Dounot,Paris_1610 | Paris_1613
69662F,2,1610,1613,3,1,Paris,1,FRENCH,Didier Dounot,Paris_1610 | Paris_1613
8FLVS0,2,1610,1613,3,1,Paris,1,FRENCH,Didier Dounot,Paris_1610 | Paris_1613
IJTAW0,2,1691,1692,1,1,Leiden,1,LATIN,Henrick Coets,Leiden_1691 | Leiden_1692
MBTNS7,2,1643,1644,1,1,Paris,1,LATIN,Georges Fournier,Paris_1643b | Paris_1644a
293DF7,2,1565,1565,0,1,Paris,1,FRENCH,Pierre Forcadel,Paris_1565 | Paris_1565a
63B0F2,2,1565,1565,0,1,Paris,1,FRENCH,Pierre Forcadel,Paris_1565 | Paris_1565a
7DF2B5,2,1565,1565,0,1,Paris,1,FRENCH,Pierre Forcadel,Paris_1565 | Paris_1565a
NMR5AW,2,1565,1565,0,1,Paris,1,FRENCH,Pierre Forcadel,Paris_1565 | Paris_1565a
TLOW8P,2,1705,1705,0,1,Oxford,1,ENGLISH,Edmund Scarburgh,F2WVY3 | Oxford_1705
