edition_id,category,accepted_value,previous_value,reason,review_status,review_notes
Paris_1634,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1639,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1643b,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1644b,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1654a,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1682,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1682a,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Paris_1690,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rome_1545,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rome_1545a,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rome_1594,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rotterdam_1647,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rouen_1676,Theoretical Mathematics,primary,unknown,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Rouen_and_Paris_1683,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Siena_1691,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Strasbourg_1566,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Strasbourg_1571,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Venice_1482,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Venice_1543,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Venice_1569,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Venice_1641,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Vicenza_1491,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
Wittenberg_1564,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
s.l_1650,Theoretical Mathematics,primary,unrelated,origin_eip_csv => Theoretical Mathematics::primary accepted by Mia,accepted_rule,
