designation_type,count,denominator,pct
first-six-books Elements,76,286,26.6
Euclid + Elements designation,71,286,24.8
Euclid without Elements wording,41,286,14.3
plane-plus-solid Elements,18,286,6.3
other designation,18,286,6.3
missing/unclear designation,15,286,5.2
selected/later-book Elements,15,286,5.2
Euclid + geometry designation,11,286,3.8
Euclidean corpus beyond Elements,11,286,3.8
geometry-only designation,7,286,2.4
Elements language without Euclid,3,286,1.0
