key,cluster_key,item_key
175D0F_Cologne_1564,175D0F,Cologne_1564
6199F5_Paris_1557,6199F5,Paris_1557
6199F5_Cologne_1564,6199F5,Cologne_1564
290080_Geneva_1610,290080,Geneva_1610
290080_Lyon_1557,290080,Lyon_1557
677374_London_1685,677374,London_1685
677374_London_1678,677374,London_1678
56A581_Oxford_1705,56A581,Oxford_1705
765E15_56DVN2,765E15,56DVN2
57F24C_HZ5UVJ,57F24C,HZ5UVJ
3800A6_HZ5UVJ,3800A6,HZ5UVJ
6D0814_56DVN2,6D0814,56DVN2
21B89B_Pesaro_1619a,21B89B,Pesaro_1619a
21B89B_Urbino_1575,21B89B,Urbino_1575
23A04F_Venice_1510,23A04F,Venice_1510
23A04F_Venice_1505,23A04F,Venice_1505
253787_Venice_1505,253787,Venice_1505
253787_Venice_1510,253787,Venice_1510
511DB1_Paris_1536,511DB1,Paris_1536
1543E2_Basel_1546,1543E2,Basel_1546
1543E2_Basel_1537,1543E2,Basel_1537
488235_Basel_1537,488235,Basel_1537
488235_Basel_1546,488235,Basel_1546
1A8E75_Basel_1537,1A8E75,Basel_1537
1A8E75_Basel_1558,1A8E75,Basel_1558
271C9A_Paris_1558a,271C9A,Paris_1558a
271C9A_Paris_1549,271C9A,Paris_1549
516BE0_Paris_1549,516BE0,Paris_1549
516BE0_Paris_1558a,516BE0,Paris_1558a
433EA3_Geneva_1610,433EA3,Geneva_1610
433EA3_Lyon_1557,433EA3,Lyon_1557
7908FD_Paris_1557,7908FD,Paris_1557
7908FD_Cologne_1564,7908FD,Cologne_1564
7DF2B5_Paris_1565a,7DF2B5,Paris_1565a
7DF2B5_Paris_1565,7DF2B5,Paris_1565
293DF7_Paris_1565,293DF7,Paris_1565
293DF7_Paris_1565a,293DF7,Paris_1565a
63B0F2_Paris_1565,63B0F2,Paris_1565
63B0F2_Paris_1565a,63B0F2,Paris_1565a
1583AD_Pesaro_1619a,1583AD,Pesaro_1619a
1583AD_Urbino_1575,1583AD,Urbino_1575
E87DB8_Urbino_1575,E87DB8,Urbino_1575
E87DB8_Pesaro_1619a,E87DB8,Pesaro_1619a
6E7B7F_Wittenberg_1609,6E7B7F,Wittenberg_1609
6E7B7F_Wittenberg_1634,6E7B7F,Wittenberg_1634
541676_Lyon_1557,541676,Lyon_1557
541676_Geneva_1610,541676,Geneva_1610
69662F_Paris_1613,69662F,Paris_1613
69662F_Paris_1610,69662F,Paris_1610
2E80DC_Paris_1610,2E80DC,Paris_1610
2E80DC_Paris_1613,2E80DC,Paris_1613
1BC688_Paris_1621,1BC688,Paris_1621
1BC688_Paris_1615,1BC688,Paris_1615
3EC771_Paris_1615,3EC771,Paris_1615
3EC771_Paris_1621,3EC771,Paris_1621
3A47AD_Paris_1615,3A47AD,Paris_1615
3A47AD_Paris_1631,3A47AD,Paris_1631
7F0AFC_Bologna_1629,7F0AFC,Bologna_1629
7F0AFC_Ingolstadt_1617,7F0AFC,Ingolstadt_1617
31AD31_Ingolstadt_1617,31AD31,Ingolstadt_1617
31AD31_Bologna_1629,31AD31,Bologna_1629
TLOW8P_F2WVY3,TLOW8P,F2WVY3
IJTAW0_Leiden_1691,IJTAW0,Leiden_1691
1E9FSI_Venice_1543,1E9FSI,Venice_1543
SD2Y3X_L8R7FQ,SD2Y3X,L8R7FQ
IUOBOR_4TJF1A,IUOBOR,4TJF1A
3644E3_S66LMV,3644E3,S66LMV
3644E3_AKQ4ZK,3644E3,AKQ4ZK
790593_7BQW8D,790593,7BQW8D
790593_NK4GX0,790593,NK4GX0
790593_220OQK,790593,220OQK
790593_XLKFZ8,790593,XLKFZ8
3644E3_H5H6K4,3644E3,H5H6K4
790593_2F464H,790593,2F464H
790593_7GBVNE,790593,7GBVNE
790593_FN4YWP,790593,FN4YWP
145D61_FO2GHY,145D61,FO2GHY
5A9AEC_Rome_1629,5A9AEC,Rome_1629
5A9AEC_Rome_1655,5A9AEC,Rome_1655
790593_19DYVJ,790593,19DYVJ
6661CB_5UCE2B,6661CB,5UCE2B
790593_0PU4US,790593,0PU4US
145D61_RC8QCW,145D61,RC8QCW
790593_204SL8,790593,204SL8
790593_YF9WE1,790593,YF9WE1
3644E3_TSQJVT,3644E3,TSQJVT
790593_VSYL9N,790593,VSYL9N
68A965_HGZZ0J,68A965,HGZZ0J
68A965_CXRQO5,68A965,CXRQO5
637BB3_Z03ON6,637BB3,Z03ON6
637BB3_C3JZRM,637BB3,C3JZRM
145D61_0MHR7M,145D61,0MHR7M
3644E3_6ONUG1,3644E3,6ONUG1
29932C_0CXTNP,29932C,0CXTNP
29932C_FRR0IA,29932C,FRR0IA
145D61_5H4T1E,145D61,5H4T1E
29932C_WQOLVK,29932C,WQOLVK
790593_M87KXQ,790593,M87KXQ
790593_MUAMS7,790593,MUAMS7
29932C_DV4325,29932C,DV4325
29932C_WW7RFC,29932C,WW7RFC
29932C_1QD2VS,29932C,1QD2VS
29932C_J3ZMM5,29932C,J3ZMM5
29932C_0HNMAK,29932C,0HNMAK
29932C_OA7UOG,29932C,OA7UOG
29932C_BOPZK9,29932C,BOPZK9
3A5F9A_T68LBI,3A5F9A,T68LBI
40AF89_55STFH,40AF89,55STFH
40AF89_GP6QMY,40AF89,GP6QMY
2EF464_UIEE01,2EF464,UIEE01
2EF464_TR7U9I,2EF464,TR7U9I
63A455_RAIJO7,63A455,RAIJO7
63A455_VYVUFP,63A455,VYVUFP
3EA8F5_362U9V,3EA8F5,362U9V
3EA8F5_WYCKC2,3EA8F5,WYCKC2
6TZUKK_Cologne_1580,6TZUKK,Cologne_1580
EA77ED_bib-6,EA77ED,bib-6
EA77ED_545ZC8,EA77ED,545ZC8
5EA4F8_8DP4C1,5EA4F8,8DP4C1
4D18AD_WFKT56,4D18AD,WFKT56
4D18AD_DTBX0T,4D18AD,DTBX0T
1A91F7_2IJLTN,1A91F7,2IJLTN
1A91F7_M9UQXC,1A91F7,M9UQXC
5AA69C_JAXZ32,5AA69C,JAXZ32
5AA69C_0MWU9Z,5AA69C,0MWU9Z
4966B0_6O1M8T,4966B0,6O1M8T
4966B0_JOKTJ5,4966B0,JOKTJ5
JG2OCV_Paris_1573,JG2OCV,Paris_1573
NU4ARY_London_1678a,NU4ARY,London_1678a
31E054_Halle_1758,31E054,Halle_1758
1E43FB_Naples_1810,1E43FB,Naples_1810
NWKWR7_Paris_1544,NWKWR7,Paris_1544
NWKWR7_Paris_1551,NWKWR7,Paris_1551
1E9FSI_Venice_1565,1E9FSI,Venice_1565
1E9FSI_Venice_1569,1E9FSI,Venice_1569
1E9FSI_Venice_1585,1E9FSI,Venice_1585
1E9FSI_Venice_1586,1E9FSI,Venice_1586
748CCE_Pesaro_1572,748CCE,Pesaro_1572
434B97_bib-2,434B97,bib-2
434B97_ustc-44,434B97,ustc-44
JWV81O_bib-47,JWV81O,bib-47
FOT0ZG_bib-128,FOT0ZG,bib-128
V7DASV_ustc-16,V7DASV,ustc-16
748CCE_Pesaro_1619,748CCE,Pesaro_1619
Y63G5P_Rome_1589,Y63G5P,Rome_1589
ROG81T_bib-4,ROG81T,bib-4
2LJ5VI_Rome_1679,2LJ5VI,Rome_1679
5EA4F8_Bologna_1620,5EA4F8,Bologna_1620
FOT0ZG_bib-21,FOT0ZG,bib-21
JWV81O_bib-46,JWV81O,bib-46
5BXTFG_bib-155,5BXTFG,bib-155
2A86F0_bib-93,2A86F0,bib-93
2A86F0_9D1KT8,2A86F0,9D1KT8
111A7B_MorisS-1-1,111A7B,MorisS-1-1
111A7B_BE73II,111A7B,BE73II
62EB21_MorisS-23-1,62EB21,MorisS-23-1
62EB21_VQDBOK,62EB21,VQDBOK
62EB21_QML2MY,62EB21,QML2MY
62EB21_N4EXXM,62EB21,N4EXXM
62EB21_JQNLSI,62EB21,JQNLSI
5870E1_Paris_1624,5870E1,Paris_1624
