key,elements_books,additional_content
Amsterdam_1660,1–6,
London_1661,1–16,Data
Leiden_and_Amsterdam_1673,1–6,
Rouen_1676,1–15,Data
Rouen_and_Paris_1677,1–15,Data
Naples_1679,1–6,
Rotterdam_1681,1–6,
Paris_1682a,1-6,
Lausanne_1683,"1–6, 11–12",
Rouen_and_Paris_1683,1–15,Data
Bologna_1684,1–6,
Rouen_and_Paris_1685,1–15,Data
The_Hague_1690,1–6,
Leiden_1691,1–6,
Leiden_1692,1–6,
Paris_1693,,
Vienna_1694,,
Amsterdam_1695,1–16,
Amsterdam_1697,"1–6, 11–12",
Paris_1697,"1–6, 11–12",
Lübeck_and_Frankfurt_1699,"1–6, 11–12",
Naples_1701,1–15,
Milan_1702,1–6,
Naples_1702,1–6,
London_1705,1-15,
Kiel_Hamburg_and_Leipzig_1697,1–6,
s.l_1650,1-6,
Oxford_1703,1-15,"Optica, Catoptrica, Introductio harmonica, Sectio canonis, Phaenomena, Data, De Divisionibus, De levi et ponderoso"
Utrecht_n.d,1-15,
Lyon_1603,1–6,
Paris_1667,1-15,
Livorno_1709,1-6,
Uppsala_1741,"1-6, 11-12",
Pisa_1658,1-9,
Paris_1675,1-5,
Rome_1680,1-15,
Paris_1685,1-5,
Nuremberg_1625,1-15,
London_1747,1-6,
Glasgow_1756,1-6,
The_Hague_1758,"1-6, 11-12",
London_1789,"1-6, 11-12",
Paris_1794,1-8,
Edinburgh_1795,1-6,
Paris_1814,1-7,
Nuremberg_1821,1,
Berlin_1824,,
Leipzig_1883,1-13,
Antwerp_1665,"1-6, 11-12",
Rome_1695,1-13,
Uppsala_1642,1-6,
Mainz_1611_1612,1–16,
Paris_1557a,,"Optica, Catoptrica"
Paris_1557b,,"Introductio harmonica, Sectio canonis"
Strasbourg_1557,,Catoptrica
Messina_1558,,Phaenomena (enunciations)
Paris_1565a,,De levi et ponderoso
Paris_1566b,,"Introductio harmonica, Sectio canonis"
Florence_1573,,"Optica, Catoptrica"
Madrid_1585,,"Optica, Catoptrica"
Leiden_1599,,"Optica, Catoptrica (enunciations)"
Paris_1604,,"Optica, Catoptrica"
Le_Mans_1663,,Optica
Venice_1491,,Geometria
Venice_1498,,Geometria
Paris_1500,,Geometria (extract)
Paris_1507,,Geometria
Paris_1511,,Geometria
Paris_1516a,,Geometria
Paris_1521,,Geometria
Paris_1527,,Geometria
Paris_1531,,Geometria
Paris_1534,,Geometria
Paris_1538,,Geometria
Basel_1546a,,Geometria
Strasbourg_1572,,Phaenomena (enunciations)
Rome_1591,,Phaenomena
Rome_1593,,"Introductio harmonica, Sectio canonis"
Venice_1603,,"Introductio harmonica, Sectio canonis"
Basel_1570,,Geometria
Cologne_1607a,,"Introductio harmonica, Sectio canonis"
Leipzig_1607,,"Optica, Catoptrica (enunciations)"
Rome_1609,,Phaenomena
Paris_1625,,Data
Paris_1626b,,Phaenomena
Amsterdam_1652,,"Introductio harmonica, Sectio canonis"
Cambridge_1657,,Data
70Q8M8,,
IC4Y79,,
TTORPR,,
FA6MQ0,,
WWE4ON,,
ZQA6JR,,
F2WVY3,1-6,
2L8L55,1-6,
473J72,"1-6, 11-12",
RSEIPO,"1-6, 11-13",
QX7XH4,"1-6, 11-12",
BQ96WF,,
6XTAVU,,
KVSFF1,1-8,
ZNLALU,,
1QQS64,,
4ZSED7,,
JTZKPV,,
8DP4C1,1-6,
Uppsala_1744,1-6,
Halle_1758,1-6,
56DVN2,1-6,
QIG1E3,1-6,
Naples_1810,1-6,
HZ5UVJ,1-6,
Lund_1855,7-10,
Lisbon_1735,,
Lyon_1669,,
Paris_1739,,
