key,elements_books,additional_content,elements_content
ms_415,1-8,,I - VIII 22
ms_416,10,,"X 24, X 17"
ms_417,10,,X 36-49
ms_418,11,,XI 1-4
ms_419,11,,XI 1-4
ms_420,1-16,,I-XV; scholia I-XIX
ms_421,1-16,,I-XV; scholia I-XVII
ms_422,4-16,,"scholia IV-XVII, XX-XXII"
ms_423,1-10,,I - X 101
ms_424,1-16,,"I - X 109, XIII 11 - XV 5; scholia I-XVII"
ms_425,11-14,,XI 5 - XIV 1
ms_426,3,,"III def., III 1 porism, III 2-7 enunciations"
ms_427,1-10,,I - X 17
ms_428,1,,I - I 5
ms_429,1-16,,I-XV; scholia I-XVII
ms_430,"1-3, 11-15",,XI 5 - XV; scholia I-III
ms_431,"13, 15",,"XV 1-5, XIII 16"
ms_432,1-16,,I-XV; scholia I-XVII
ms_433,"1-3, 5-8",,"I - III 7, V - VIII 5"
ms_434,1,,I - I 20
ms_435,1-15,,I-XV
ms_436,10-11,,X 91 - XI 37
ms_437,1-15,,I - XV 3
ms_438,1-11,,I-XI; repetition of 125-132v; I - V 2; VI 11 - X
ms_439,7-10,,VII 7 - X 36
ms_440,1-6,,I-VI def.
ms_441,1-15,,I-XV
ms_442,7-10,,VII 7 - X 36
ms_443,1-7,,I - VII 6
ms_444,1-7,,I - VII 6
ms_445,"1-3, 7-10",,"excerpts from books I, II, III, VII, VIII, X; IX"
ms_446,1-15,,I - XV
ms_447,1-15,,I-XV
ms_448,1-7,,I - VII 3
ms_449,1-15,,I - XV
ms_450,1-15,,"I-XV, enunciations only"
ms_451,1-15,,I - XV
ms_452,"1, 7, 10, 15",,I 24 end - VII 30 beg.; X 20 end - XV
ms_453,1-6,,I-VI
ms_454,1-15,,I - XV
ms_455,1,,I - I 37
ms_456,1,,I
ms_457,15,,"XV 7-13, enunciations only"
ms_458,1-2,,I - II 12
ms_459,1-15,,I-XV
ms_460,1-6,,I - VI
ms_461,,,
ms_462,1-6,,I - VI 4
ms_463,"5-6, 10-11",,"V-VI; X, XI def. - XI 4"
ms_464,,,pp.7-51
ms_465,,,abridgement
ms_466,,,
ms_467,,,
ms_468,,,
ms_469,,,
ms_470,,,
ms_471,,,
ms_472,,,
ms_473,1-4,,I-IV
ms_474,,,
ms_475,,,
ms_476,,,
ms_477,,,
ms_478,1-6,,"I - VI, diagrams only"
ms_479,,,
ms_480,14-15,,XIV - XV
ms_481,,,
ms_482,1-6,,Commentary to I-VI
ms_483,1-8,,"I-VIII, Enunciations only"
ms_484,,,
ms_485,,,
ms_486,,,
ms_487,14-15,,XIV-XV
ms_488,10,,commentary to book X
ms_489,1-13,,I 2 - XIII 10
GLYTWZ,,,
G8MDPE,,,
SLWQ7N,,,
GJXHA3,,,
85GZV3,,,
LOFE5H,,,
