key,city,languages,compositors,long_title,short_title,short_title_source,year_from,year_to,year_is_approximate,notes,has_diagrams
ms_68,,,,,,,1100,1200,True,"class: Latin Boethius manuscripts
subclass: Mc",
ms_69,,,,,,,1000,1100,True,"class: Latin Boethius manuscripts
subclass: Md",
ms_70,,,,,,,1100,1200,True,"class: Latin Boethius manuscripts
subclass: Md",
ms_71,,,,,,,1500,1600,True,"class: Latin Boethius manuscripts
subclass: Md
copy of Vat.lat.3123",
ms_72,,,,,,,1100,1200,True,"class: Latin Boethius manuscripts
subclass: Md",
ms_73,,,,,,,1100,1200,True,"class: Latin Boethius manuscripts
subclass: Md",
ms_74,,,,,,,500,500,True,"class: Latin manuscripts
subclass: Early texts based upon the Greek",
ms_75,,,,,,,800,900,True,"class: Latin manuscripts
subclass: Early texts based upon the Greek",
ms_76,,,,,,,1100,1300,True,"class: Latin manuscripts
subclass: Greek-Latin Translation from the twelfth century",True
ms_77,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Greek-Latin Translation from the twelfth century",
ms_78,,,,,,,1200,1400,True,"class: Latin manuscripts
subclass: An-Nayrizi's Commentary on Books I-X",
ms_79,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version I (Adelard of Bath)",
ms_80,,,,,,,1300,14,True,"class: Latin manuscripts
subclass: Version I (Adelard of Bath)",
ms_81,,,,,,,1100,1200,True,"class: Latin manuscripts
subclass: Version I (Adelard of Bath)
https://medieval.bodleian.ox.ac.uk/pdfs/trinity/MS_47.pdf",
ms_82,,,,,,,1100,1200,True,"class: Latin manuscripts
subclass: Version I (Adelard of Bath)",
ms_83,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Hermann of Carinthia",
ms_84,,,,,,,1100,1300,True,"class: Latin manuscripts
subclass: Hermann of Carinthia",
ms_85,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_86,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_87,,,,,,,1400,1500,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_88,,,,,,,1300,1500,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_89,,,,,,,1500,1600,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_90,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_91,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_92,,,,,,,1300,1400,True,"class: Latin manuscripts
subclass: Gerard of Cremona",
ms_93,,,,,,,1100,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_94,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_95,,,,,,,1100,1200,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_96,,,,,,,1200,1400,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_97,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
ms_98,,,,,,,1200,1300,True,"class: Latin manuscripts
subclass: Version II (Robert of Chester)",
